1: tournsize='10'
2: tournsize='106'
3: tournsize='184'
4: tournsize='186'
5: tournsize='24'
6: tournsize='123'
7: tournsize='49'
8: tournsize='241'
9: tournsize='50'
10: tournsize='166'
11: tournsize='51'
12: tournsize='14'
13: tournsize='79'
14: tournsize='29'
15: tournsize='11'
16: tournsize='198'
17: tournsize='174'
18: tournsize='118'
19: tournsize='168'
20: tournsize='38'
21: tournsize='117'
22: tournsize='112'
23: tournsize='235'
24: tournsize='5'
25: tournsize='175'
26: tournsize='142'
27: tournsize='115'
28: tournsize='12'
29: tournsize='41'
30: tournsize='116'
31: tournsize='135'
32: tournsize='189'
33: tournsize='97'
