1: crossover='0.9', mutation='0.1', n_generations='100'
90: crossover='0.06877789845750376', mutation='0.710628231283778', n_generations='110'
91: crossover='0.050737368710202735', mutation='0.480903097869931', n_generations='102'
92: crossover='0.3750316177277838', mutation='0.7751575828062759', n_generations='70'
93: crossover='0.7997029009333689', mutation='0.0763044313122676', n_generations='72'
94: crossover='0.09837299053256043', mutation='0.9831511235304008', n_generations='82'
95: crossover='0.010533779722956882', mutation='0.6297990473376878', n_generations='199'
96: crossover='0.16522829579685638', mutation='0.3370725930330706', n_generations='134'
97: crossover='0.4275123955840422', mutation='0.05305499300881278', n_generations='179'
98: crossover='0.5111348753805757', mutation='0.7923162341065224', n_generations='89'
99: crossover='0.22942422053362876', mutation='0.6660943431268227', n_generations='247'
100: crossover='0.16933740174129464', mutation='0.6184700788224241', n_generations='139'
101: crossover='0.853007449960287', mutation='0.5736428725033073', n_generations='183'
102: crossover='0.17073275826566925', mutation='0.3207950643126347', n_generations='125'
103: crossover='0.5290589849710595', mutation='0.32980079803712914', n_generations='161'
104: crossover='0.48459873413663357', mutation='0.7942053807259648', n_generations='99'
105: crossover='0.10180765366686051', mutation='0.7629083783058029', n_generations='55'
106: crossover='0.6031735691310625', mutation='0.7924813043974401', n_generations='89'
107: crossover='0.2127676705619258', mutation='0.1589704613971763', n_generations='233'
108: crossover='0.17963674928482476', mutation='0.6407211458437898', n_generations='224'
109: crossover='0.5953615013501689', mutation='0.7729593264273962', n_generations='110'
110: crossover='0.17304149638068256', mutation='0.35731304577096445', n_generations='102'
111: crossover='0.1997913218116475', mutation='0.9127907587486241', n_generations='168'
112: crossover='0.6462787705459211', mutation='0.7928585484924302', n_generations='85'
113: crossover='0.08873111373951692', mutation='0.7180957841623377', n_generations='145'
114: crossover='0.7942130497579158', mutation='0.7927053688761361', n_generations='75'
115: crossover='0.45779571765513405', mutation='0.6271891017338199', n_generations='163'
116: crossover='0.17280611458517903', mutation='0.27760537054069834', n_generations='105'
117: crossover='0.20204876904557278', mutation='0.09085510897535998', n_generations='58'
118: crossover='0.5094546410934258', mutation='0.6143747272271686', n_generations='74'
119: crossover='0.018911148702838054', mutation='0.3483674561365636', n_generations='201'
120: crossover='0.6652253103428273', mutation='0.792731299444336', n_generations='60'
121: crossover='0.43523360055335225', mutation='0.4567880366880488', n_generations='237'
122: crossover='0.8602277686372569', mutation='0.792731299444336', n_generations='86'
123: crossover='0.5125384987961248', mutation='0.8631920694895007', n_generations='147'
124: crossover='0.17132103270760968', mutation='0.40329025534736906', n_generations='128'
125: crossover='0.7355962257064698', mutation='0.8631181443877962', n_generations='100'
126: crossover='0.17200841615991908', mutation='0.6602292800672869', n_generations='182'
127: crossover='0.8858578482796307', mutation='0.2946515472651483', n_generations='220'
128: crossover='0.17280611458517903', mutation='0.5008067610797939', n_generations='168'
129: crossover='0.44402970965606603', mutation='0.11778993714940245', n_generations='104'
130: crossover='0.17280611458517903', mutation='0.27760537054069834', n_generations='194'
131: crossover='0.207475265378814', mutation='0.49216257751456727', n_generations='244'
132: crossover='0.1721964847689167', mutation='0.6016278788180428', n_generations='99'
133: crossover='0.48341471542223924', mutation='0.6658140165962714', n_generations='146'
134: crossover='0.5464871714871289', mutation='0.6611333243384798', n_generations='157'
135: crossover='0.7311810942020223', mutation='0.39914557247759885', n_generations='88'
136: crossover='0.4756456737439819', mutation='0.9484330173569061', n_generations='190'
137: crossover='0.7802261793895228', mutation='0.4895142072084855', n_generations='216'
138: crossover='0.04238781461086549', mutation='0.6630617400844596', n_generations='199'
139: crossover='0.544160554345359', mutation='0.30665238751416624', n_generations='95'
140: crossover='0.8923338241793795', mutation='0.6632763918478122', n_generations='202'
141: crossover='0.647898432052223', mutation='0.5545804196694661', n_generations='191'
142: crossover='0.6079392809552427', mutation='0.6643259535507374', n_generations='75'
143: crossover='0.8007535754808824', mutation='0.7313406537039471', n_generations='162'
144: crossover='0.48034390147508965', mutation='0.9145575666071304', n_generations='155'
145: crossover='0.9775445436323906', mutation='0.1258834064997867', n_generations='83'
146: crossover='0.837002952531627', mutation='0.665211584385901', n_generations='219'
147: crossover='0.973713041513072', mutation='0.27878625688574044', n_generations='227'
148: crossover='0.8403045721407659', mutation='0.6654983837683368', n_generations='138'
149: crossover='0.9993487488083164', mutation='0.2577238805548735', n_generations='141'
150: crossover='0.6931917612138324', mutation='0.6659332897164649', n_generations='71'
151: crossover='0.1339189097050839', mutation='0.5211802716325284', n_generations='60'
152: crossover='0.19941139372565586', mutation='0.6659328327178885', n_generations='128'
153: crossover='0.3719995324902351', mutation='0.9188560282089778', n_generations='196'
154: crossover='0.762879845095084', mutation='0.6655598164361929', n_generations='184'
155: crossover='0.4700377700004338', mutation='0.2008149687682771', n_generations='56'
156: crossover='0.5707525593811528', mutation='0.665883112390886', n_generations='122'
157: crossover='0.7895778399425684', mutation='0.19947602708368917', n_generations='123'
158: crossover='0.7370405918967665', mutation='0.6657204267828175', n_generations='113'
159: crossover='0.9900918843523012', mutation='0.61030578462527', n_generations='169'
160: crossover='0.48371002778039374', mutation='0.7588931622987463', n_generations='182'
161: crossover='0.6789427969892774', mutation='0.6044249280395629', n_generations='211'
162: crossover='0.48259236214572276', mutation='0.5923305477204966', n_generations='108'
163: crossover='0.178949241297094', mutation='0.37763155939576154', n_generations='249'
164: crossover='0.08360585276890009', mutation='0.6652271856299583', n_generations='86'
165: crossover='0.1598149802320875', mutation='0.9931703346717105', n_generations='209'
166: crossover='0.4829739080047172', mutation='0.876947592640092', n_generations='89'
167: crossover='0.1315482107680057', mutation='0.2613356962567941', n_generations='147'
168: crossover='0.8301544124446302', mutation='0.6655919248606864', n_generations='121'
169: crossover='0.5655815809828497', mutation='0.5904287539185306', n_generations='205'
170: crossover='0.4835206895940253', mutation='0.6372705408398821', n_generations='201'
171: crossover='0.9695635096948862', mutation='0.3845981729269782', n_generations='208'
172: crossover='0.18749261105058168', mutation='0.6658904704788172', n_generations='214'
173: crossover='0.38472480033794776', mutation='0.2989015983761292', n_generations='110'
174: crossover='0.11517355766428805', mutation='0.6656213013628502', n_generations='204'
175: crossover='0.6456796805014318', mutation='0.12048591005379239', n_generations='169'
176: crossover='0.4835206895940253', mutation='0.9194474340257786', n_generations='201'
177: crossover='0.6116140789177469', mutation='0.8107210387343479', n_generations='103'
178: crossover='0.48332747342319715', mutation='0.891636796151166', n_generations='148'
179: crossover='0.11089664092219542', mutation='0.9193622610532012', n_generations='206'
180: crossover='0.8667884992528905', mutation='0.6658504895640092', n_generations='228'
181: crossover='0.9540861180355904', mutation='0.11345220413230495', n_generations='225'
