% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
133 +3.909357500e+02 +3.909357500e+02 +4.576457500e+02 +4.576457500e+02 +2.8793e-01 +9.3021e-02 +6.0912e-01 +7.0313e-01 +6.0230e-01 +5.4105e-01 +7.3556e-01 +1.2821e-01 +5.2915e-01 +1.2214e-01 +1.8855e-02 +1.1032e-01 +3.7078e-01 +3.7051e-01 +7.8276e-01 +8.3466e-01 +1.5896e-01 +7.5083e-02 +5.6188e-02 +8.4079e-02
12924 +3.875466254e+02 +3.875466254e+02 +4.542566254e+02 +4.542566254e+02 +5.8238e-01 +7.6446e-01 +5.2640e-02 +8.3919e-01 +2.3410e-01 +9.7661e-01 +2.6376e-01 +4.3230e-01 +9.9978e-01 +2.0550e-01 +1.0547e-01 +5.9333e-02 +7.4171e-01 +9.4267e-01 +6.1301e-01 +5.8223e-01 +1.9097e-01 +2.5795e-01 +6.3807e-02 +8.9651e-04
% function evaluation | noise-free fitness - Fopt (9.416700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +1.340946128e+03 +1.340946128e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +3.927922607e+02 +3.927922607e+02 +1.334462261e+03 +1.334462261e+03 +4.8835e-01 +8.6444e-01 +6.9933e-02 +5.1092e-01 +2.6475e-01 +9.2482e-01 +9.9151e-01 +2.9313e-01 +8.3142e-02 +4.1483e-01 +1.0054e-01 +4.3693e-01 +7.6093e-01 +3.0205e-01 +2.2962e-01 +8.4098e-01 +2.6008e-01 +6.4703e-01 +6.2664e-01 +4.7082e-02
3 +3.848981278e+02 +3.848981278e+02 +1.326568128e+03 +1.326568128e+03 +9.5612e-01 +9.2841e-01 +8.7943e-01 +2.6605e-02 +8.7049e-01 +4.4696e-01 +1.2085e-01 +1.9080e-01 +5.6971e-01 +3.0359e-01 +3.6504e-01 +4.1357e-01 +3.4824e-01 +9.4330e-02 +9.0614e-01 +6.3087e-01 +9.2806e-01 +4.9630e-01 +2.5236e-01 +8.1977e-01
4 +3.775634890e+02 +3.775634890e+02 +1.319233489e+03 +1.319233489e+03 +6.9113e-01 +5.9704e-01 +2.3785e-01 +9.0046e-01 +1.2877e-01 +4.8610e-01 +5.2351e-01 +5.3791e-01 +9.6209e-01 +6.9416e-01 +7.0525e-01 +7.6491e-01 +3.5310e-01 +8.8316e-02 +9.7977e-01 +7.3091e-01 +7.6821e-01 +4.1658e-01 +5.4973e-01 +8.4715e-01
189 +3.689990349e+02 +3.689990349e+02 +1.310669035e+03 +1.310669035e+03 +1.4070e-01 +8.9418e-01 +3.3684e-01 +9.8735e-01 +2.3477e-01 +6.3144e-01 +3.0219e-01 +2.3792e-01 +3.9302e-01 +4.6317e-01 +2.8987e-01 +2.9722e-01 +6.5590e-02 +4.0351e-01 +9.2560e-01 +3.6626e-01 +5.7661e-03 +9.9751e-01 +9.4046e-01 +9.3448e-01
33146 +3.621091763e+02 +3.621091763e+02 +1.303779176e+03 +1.303779176e+03 +3.6957e-01 +1.4574e-01 +8.8954e-01 +4.4138e-01 +3.2792e-01 +3.0973e-02 +2.2734e-02 +1.3865e-01 +5.9278e-01 +8.9265e-02 +9.9400e-01 +9.6867e-01 +1.9859e-01 +6.5459e-01 +2.0639e-01 +9.5217e-01 +5.7661e-03 +9.9943e-01 +9.5477e-01 +9.3448e-01
% function evaluation | noise-free fitness - Fopt (-3.745000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +3.618261284e+02 +3.618261284e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +3.776329891e+02 +3.776329891e+02 +3.401829891e+02 +3.401829891e+02 +4.1004e-01 +9.3292e-01 +1.9781e-01 +5.1840e-01 +8.8653e-01 +7.2510e-01 +7.0562e-01 +7.8341e-01 +7.6763e-02 +5.5873e-01 +9.8628e-01 +5.3441e-01 +6.3263e-01 +7.6484e-02 +9.7729e-01 +3.8895e-01 +7.3131e-01 +8.9143e-01 +9.3509e-01 +8.9625e-02
420 +3.703818619e+02 +3.703818619e+02 +3.329318619e+02 +3.329318619e+02 +1.0710e-01 +5.2438e-01 +9.6426e-01 +2.1962e-01 +3.8471e-01 +5.8998e-01 +3.1597e-01 +7.3082e-01 +9.3375e-01 +5.4467e-01 +9.9620e-01 +1.0990e-01 +9.8430e-04 +5.3996e-02 +7.2658e-01 +5.5893e-01 +1.4499e-01 +7.6032e-01 +9.1292e-01 +1.5496e-02
79951 +3.626790541e+02 +3.626790541e+02 +3.252290541e+02 +3.252290541e+02 +7.2096e-01 +9.4406e-01 +9.3131e-01 +1.6659e-01 +3.2418e-01 +9.9894e-01 +8.3298e-01 +9.0024e-02 +5.5898e-01 +7.2944e-01 +9.9442e-01 +9.1276e-01 +2.8661e-01 +1.8544e-01 +7.8592e-01 +9.5121e-01 +4.1937e-01 +9.8436e-01 +9.9789e-01 +1.0743e-01
% function evaluation | noise-free fitness - Fopt (2.134000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +4.206161284e+02 +4.206161284e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +3.965880608e+02 +3.965880608e+02 +4.179280608e+02 +4.179280608e+02 +1.5265e-02 +2.6438e-02 +7.8110e-01 +7.9533e-02 +5.9902e-01 +6.4828e-01 +1.2025e-01 +7.9639e-02 +1.4435e-01 +4.6909e-01 +5.7456e-01 +4.6138e-01 +3.5531e-01 +7.4919e-01 +6.6851e-01 +9.2181e-01 +1.5895e-01 +1.1803e-01 +3.9536e-01 +7.7571e-01
14 +3.874490988e+02 +3.874490988e+02 +4.087890988e+02 +4.087890988e+02 +7.0544e-01 +6.0095e-02 +4.6830e-01 +6.2992e-01 +3.0841e-01 +7.3490e-01 +2.4870e-01 +9.5216e-01 +2.9123e-01 +6.5809e-01 +5.3506e-01 +6.0463e-01 +3.9270e-02 +9.9230e-01 +3.0274e-01 +9.2559e-01 +2.0039e-01 +5.1210e-01 +5.6701e-01 +4.2499e-01
160 +3.794970305e+02 +3.794970305e+02 +4.008370305e+02 +4.008370305e+02 +2.8040e-01 +3.3477e-01 +8.2711e-01 +6.9157e-01 +2.8352e-01 +7.2494e-01 +7.4362e-01 +7.9567e-01 +3.7019e-02 +4.3574e-01 +6.8203e-01 +4.2073e-01 +3.2315e-01 +6.7277e-01 +8.1475e-02 +7.3607e-01 +9.6858e-01 +7.2049e-01 +9.6767e-01 +1.6088e-02
11501 +3.713682990e+02 +3.713682990e+02 +3.927082990e+02 +3.927082990e+02 +1.8857e-01 +7.8911e-01 +9.9643e-01 +2.3493e-01 +8.7844e-02 +3.6330e-01 +7.0410e-01 +6.6175e-01 +1.6470e-01 +2.9895e-02 +4.8917e-01 +4.8316e-02 +9.3531e-01 +9.0930e-01 +1.1601e-02 +9.5344e-01 +1.1440e-01 +4.3915e-01 +9.8220e-01 +3.7484e-01
% function evaluation | noise-free fitness - Fopt (2.284000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +4.221161284e+02 +4.221161284e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
9 +3.978776041e+02 +3.978776041e+02 +4.207176041e+02 +4.207176041e+02 +9.3275e-01 +6.2967e-02 +7.8727e-01 +5.1789e-01 +9.7009e-01 +5.1762e-01 +7.5814e-01 +9.1824e-01 +2.4769e-01 +1.6630e-01 +5.5510e-01 +8.0985e-01 +7.7387e-01 +5.0794e-02 +8.3318e-01 +2.3771e-01 +8.4298e-01 +2.8351e-01 +6.3410e-01 +9.2732e-02
17 +3.859786695e+02 +3.859786695e+02 +4.088186695e+02 +4.088186695e+02 +3.7283e-01 +9.6945e-01 +6.4135e-03 +4.1782e-01 +4.2040e-01 +4.3415e-01 +2.6951e-01 +8.4296e-02 +9.3524e-01 +3.6598e-01 +3.1381e-01 +6.0138e-02 +7.1852e-01 +9.8166e-01 +7.9029e-01 +4.8128e-01 +9.4039e-01 +9.9865e-01 +2.2211e-01 +1.7917e-01
29553 +3.799275276e+02 +3.799275276e+02 +4.027675276e+02 +4.027675276e+02 +1.0756e-01 +6.0542e-01 +4.8796e-01 +1.1573e-01 +2.8807e-01 +5.8953e-02 +3.8099e-01 +1.1709e-02 +7.6079e-01 +4.1951e-01 +5.8324e-02 +3.9253e-03 +4.4973e-01 +9.0437e-01 +9.5370e-01 +3.7002e-02 +9.9857e-01 +8.8733e-01 +9.7144e-02 +1.1717e-01
% function evaluation | noise-free fitness - Fopt (-1.038100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +2.954661284e+02 +2.954661284e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +3.971935719e+02 +3.971935719e+02 +2.933835719e+02 +2.933835719e+02 +3.7412e-01 +9.9761e-01 +4.3990e-01 +9.8630e-01 +6.1873e-01 +4.5929e-02 +7.9503e-01 +1.9901e-01 +5.0873e-02 +9.0904e-01 +7.8091e-01 +2.2694e-01 +1.4267e-01 +8.2703e-01 +5.8885e-01 +1.0101e-02 +9.1742e-01 +1.2179e-01 +9.4350e-01 +2.7319e-01
4 +3.884494097e+02 +3.884494097e+02 +2.846394097e+02 +2.846394097e+02 +8.5225e-01 +3.7582e-01 +2.8431e-01 +9.5423e-01 +6.0913e-02 +6.7469e-01 +2.5619e-01 +9.0715e-01 +9.4554e-01 +6.2261e-01 +7.1542e-01 +3.6190e-01 +5.9127e-01 +6.4587e-01 +6.4549e-01 +6.8644e-01 +8.5177e-02 +5.8492e-01 +4.5585e-01 +7.5894e-01
29 +3.757543229e+02 +3.757543229e+02 +2.719443229e+02 +2.719443229e+02 +1.5746e-01 +8.0870e-01 +6.2076e-01 +9.5829e-01 +7.5223e-01 +5.3741e-01 +7.6249e-01 +6.2990e-01 +7.6791e-01 +2.2596e-01 +1.5151e-01 +7.1115e-01 +8.9250e-01 +4.6412e-01 +5.1764e-01 +5.0974e-01 +9.1352e-02 +9.9098e-01 +9.3394e-01 +7.8980e-01
8544 +3.689105484e+02 +3.689105484e+02 +2.651005484e+02 +2.651005484e+02 +9.7980e-01 +7.0266e-01 +8.4209e-01 +3.9639e-01 +7.3140e-01 +7.4580e-01 +4.6444e-02 +7.8632e-01 +4.8974e-01 +5.4012e-01 +2.2974e-02 +5.4591e-01 +8.7383e-01 +4.7285e-01 +3.5344e-01 +1.5266e-01 +2.3896e-01 +9.4041e-01 +9.3601e-01 +9.8927e-01
61546 +3.622677001e+02 +3.622677001e+02 +2.584577001e+02 +2.584577001e+02 +4.3362e-01 +9.0459e-01 +2.1755e-01 +7.5319e-01 +8.1771e-01 +7.4580e-01 +9.1589e-02 +6.6954e-01 +3.6804e-02 +5.3969e-01 +1.9253e-01 +8.0973e-01 +8.2996e-01 +7.5746e-04 +9.6056e-03 +2.7992e-01 +4.6582e-02 +9.0165e-01 +9.3996e-01 +9.8927e-01
% function evaluation | noise-free fitness - Fopt (1.237000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
