% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.357246449e+01 +7.357246449e+01 +1.449224645e+02 +1.449224645e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +5.625884216e+01 +5.625884216e+01 +1.276088422e+02 +1.276088422e+02 +2.5874e+00 +4.9433e-01 +2.8526e-01 +8.6165e-01 +2.4398e+00 +1.2045e+00 +9.6129e-01 +4.0510e+00 -4.0782e+00 +4.9885e-01 +4.1172e+00 +4.0699e+00 -3.0803e+00 +2.3522e-01 +7.4229e-01 -4.7117e+00 -1.5570e+00 -2.1809e+00 -4.0640e+00 +2.1878e+00
3 +5.577433949e+01 +5.577433949e+01 +1.271243395e+02 +1.271243395e+02 +1.0968e+00 +4.8778e+00 -4.0957e+00 -9.5527e-01 +3.6096e-01 -4.4842e+00 -8.5786e-01 +3.8633e+00 -1.5655e+00 +1.7798e+00 -5.8787e-01 -3.5231e+00 -5.0949e-01 -2.2125e+00 +3.1495e+00 -3.2028e+00 +3.9263e+00 -6.0638e-01 -4.6584e+00 +4.7258e+00
6 +5.272587378e+01 +5.272587378e+01 +1.240758738e+02 +1.240758738e+02 -4.9230e-01 -1.1045e+00 -1.6310e+00 -1.2548e+00 +9.6845e-01 +1.7516e+00 -2.7982e+00 +6.0131e-01 -1.7492e-02 +1.6103e+00 +4.9739e+00 +4.1784e+00 -1.3031e+00 +1.3612e+00 +2.3890e+00 +2.0041e+00 +3.8187e+00 -1.9642e+00 -1.8342e+00 -5.3674e-01
14 +4.035566444e+01 +4.035566444e+01 +1.117056644e+02 +1.117056644e+02 -4.0510e+00 +3.2264e+00 +8.5530e-01 -1.4609e+00 +9.9317e-01 +1.0684e+00 -3.2804e+00 +6.1453e-01 -2.0512e+00 -3.4142e+00 +2.5192e-01 -2.9067e+00 +1.0663e+00 +2.9845e+00 -4.8161e+00 +9.1121e-02 -4.0390e+00 +3.7226e+00 +3.2205e+00 +2.8347e+00
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.508868155e+01 +6.508868155e+01 -2.901313185e+02 -2.901313185e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
9 +4.597806072e+01 +4.597806072e+01 -3.092419393e+02 -3.092419393e+02 -6.9082e-01 +2.2018e+00 +2.0144e-01 -4.2393e+00 +3.5123e+00 -2.8601e+00 -1.9867e+00 -3.0432e+00 -1.4805e+00 +1.2284e+00 +3.7656e+00 +2.3130e+00 +4.0704e-01 +3.2811e+00 +2.1267e+00 +3.6097e+00 +8.5314e-01 +1.6567e+00 +6.9899e-02 +2.1284e+00
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.985921835e+01 +6.985921835e+01 +1.690292183e+02 +1.690292183e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +6.309420369e+01 +6.309420369e+01 +1.622642037e+02 +1.622642037e+02 +4.7249e+00 -4.9112e+00 -2.7305e+00 -3.8464e+00 +1.4577e+00 +2.2292e+00 -4.3699e+00 -2.1066e+00 +3.4746e+00 +3.2531e+00 +3.7778e+00 -3.8059e+00 -3.6443e+00 +1.6411e+00 +2.6989e+00 +4.2939e+00 +2.9232e-01 -4.2575e+00 -3.5349e+00 +3.5507e+00
5 +3.915519174e+01 +3.915519174e+01 +1.383251917e+02 +1.383251917e+02 +3.9157e+00 +3.0838e+00 -3.6281e+00 +2.2472e+00 -2.0914e+00 +1.0448e+00 -3.1318e+00 -9.0016e-01 +4.2126e+00 +1.6299e+00 +2.3403e+00 +2.8474e+00 -4.6184e+00 -6.9466e-01 +1.3831e+00 -3.3149e+00 +4.1604e+00 -7.3530e-01 -1.5516e+00 -4.2362e+00
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.469127597e+01 +6.469127597e+01 -4.532187240e+02 -4.532187240e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
6 +6.274307249e+01 +6.274307249e+01 -4.551669275e+02 -4.551669275e+02 -9.0664e-01 +1.9360e+00 -3.5309e+00 -4.3750e+00 -4.2067e+00 +4.3403e+00 -3.4280e+00 +8.0369e-01 -8.4519e-01 +4.5886e+00 +2.4125e+00 -1.3965e+00 +2.5222e+00 -1.4262e+00 +2.1142e+00 -4.9228e+00 +2.9207e+00 +2.3106e+00 +2.9824e+00 +4.1818e+00
7 +5.962098289e+01 +5.962098289e+01 -4.582890171e+02 -4.582890171e+02 +1.3450e+00 -2.3049e+00 -3.8619e+00 -1.5564e+00 -3.7828e-01 -4.3847e+00 +4.7717e+00 +4.8403e+00 -2.4770e+00 -3.5912e+00 +9.8640e-01 +1.1651e+00 +4.2179e+00 +1.9423e+00 +3.4988e+00 -2.6164e+00 -3.2335e+00 -8.4860e-01 +3.4043e+00 -1.6772e+00
8 +4.266155636e+01 +4.266155636e+01 -4.752484436e+02 -4.752484436e+02 +3.3507e+00 -4.1061e+00 -1.2140e+00 +3.8772e+00 -4.7262e+00 +4.7036e+00 +2.3835e+00 +3.2413e+00 -1.5538e+00 -3.1157e+00 +9.0117e-01 +1.8473e+00 -2.5813e+00 -4.2311e+00 +4.6771e+00 -4.7890e+00 -4.2180e-01 -6.2062e-01 -4.3678e+00 +3.5425e+00
% function evaluation | noise-free fitness - Fopt (-5.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.082507635e+01 +8.082507635e+01 +2.361507635e+01 +2.361507635e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
6 +4.958656914e+01 +4.958656914e+01 -7.623430858e+00 -7.623430858e+00 -3.0379e+00 -3.1282e-01 -4.6202e+00 +3.5213e+00 +2.9453e+00 -4.8140e+00 +4.5736e+00 +2.9134e+00 -4.6167e+00 -2.7582e+00 +2.9722e+00 -2.9100e-01 +1.8412e+00 +3.9225e+00 +4.8838e+00 +3.6728e+00 -3.3503e-01 +3.0934e+00 +1.8042e+00 -3.3702e+00
23 +4.209931271e+01 +4.209931271e+01 -1.511068729e+01 -1.511068729e+01 +1.0975e+00 -2.7743e-01 -1.8298e+00 -4.9709e+00 -2.3934e+00 +3.5356e+00 -5.1976e-01 +3.2258e+00 -2.8889e-01 +4.4673e+00 -1.1322e+00 -4.5250e+00 +2.9865e+00 +5.1726e-01 -3.3470e+00 +2.7036e+00 -2.1108e+00 +9.6372e-01 +1.0468e+00 -3.3209e+00
