% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.581765120e+02 +1.581765120e+02 +1.412365120e+02 +1.412365120e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.430292889e+02 +1.430292889e+02 +1.260892889e+02 +1.260892889e+02 +4.3947e-01 +6.2459e-01 +3.3410e-01 +1.7600e-01 +1.6888e-01 +6.7975e-01 +5.4087e-01 +8.3160e-01 +7.2164e-01 +3.5401e-01 +4.6935e-01 +7.5244e-01 +2.7307e-01 +9.3825e-01 +1.3396e-01 +3.1290e-01 +9.3527e-01 +3.6224e-01 +2.1361e-01 +7.0373e-01
3 +1.253018817e+02 +1.253018817e+02 +1.083618817e+02 +1.083618817e+02 +8.8256e-01 +4.8437e-02 +1.9377e-01 +1.2479e-01 +2.6670e-02 +8.1580e-01 +6.6710e-01 +8.9468e-01 +3.1698e-01 +2.9186e-01 +6.8022e-01 +9.8091e-01 +5.0145e-01 +7.0660e-01 +8.4505e-01 +5.1663e-01 +6.8576e-01 +1.1275e-01 +9.3440e-02 +2.5942e-02
12 +1.074435130e+02 +1.074435130e+02 +9.050351300e+01 +9.050351300e+01 +6.4932e-02 +6.7291e-01 +6.8873e-01 +5.8635e-01 +2.7042e-01 +9.2511e-01 +9.3446e-02 +2.9217e-01 +5.9965e-01 +1.6582e-02 +8.7960e-01 +2.0082e-01 +5.8451e-01 +2.3935e-02 +5.6508e-01 +1.4691e-02 +5.1940e-03 +9.9270e-01 +4.1363e-01 +3.5375e-01
17 +1.007012401e+02 +1.007012401e+02 +8.376124014e+01 +8.376124014e+01 +1.3521e-01 +6.0697e-01 +2.5327e-02 +2.6419e-02 +6.5381e-01 +9.8100e-01 +7.6506e-01 +3.3201e-01 +5.5699e-01 +4.7212e-01 +9.7080e-01 +8.5422e-01 +8.1530e-02 +5.8274e-01 +9.6746e-01 +1.9590e-01 +7.5564e-01 +4.8715e-01 +5.8009e-02 +9.5855e-01
90 +8.841187077e+01 +8.841187077e+01 +7.147187077e+01 +7.147187077e+01 +5.3702e-01 +8.2083e-01 +9.1226e-02 +1.2612e-01 +6.3956e-01 +7.1233e-01 +7.1759e-01 +5.0940e-01 +6.2747e-01 +2.5491e-01 +3.2146e-01 +5.0003e-01 +6.8127e-01 +4.6271e-01 +8.2410e-01 +3.7095e-02 +8.2659e-01 +8.2525e-01 +2.9889e-02 +7.6037e-01
859 +7.829539927e+01 +7.829539927e+01 +6.135539927e+01 +6.135539927e+01 +9.1713e-01 +5.5343e-01 +6.4844e-01 +5.6232e-01 +2.2963e-01 +7.8953e-01 +8.4943e-01 +2.3874e-01 +9.1644e-01 +5.5356e-02 +8.9152e-01 +2.2962e-01 +6.3669e-02 +6.3882e-02 +8.7496e-01 +4.4248e-01 +6.9334e-01 +6.4878e-01 +2.0325e-02 +7.9928e-01
6311 +7.085618735e+01 +7.085618735e+01 +5.391618735e+01 +5.391618735e+01 +2.1430e-01 +1.6986e-02 +2.0413e-01 +4.6013e-01 +8.6338e-01 +7.3445e-01 +9.3794e-01 +8.4870e-01 +9.8750e-01 +4.1452e-01 +9.7761e-01 +8.6425e-01 +4.9256e-01 +1.6071e-01 +2.1950e-02 +2.7459e-01 +7.5229e-01 +8.8843e-01 +7.1672e-01 +5.5091e-01
63904 +7.075184092e+01 +7.075184092e+01 +5.381184092e+01 +5.381184092e+01 +2.1430e-01 +1.6986e-02 +2.0413e-01 +4.6013e-01 +8.6338e-01 +7.3445e-01 +9.3794e-01 +8.4870e-01 +9.8750e-01 +4.1452e-01 +9.7761e-01 +8.6425e-01 +4.9256e-01 +1.6071e-01 +2.1950e-02 +2.7459e-01 +7.5229e-01 +8.8843e-01 +7.1672e-01 +6.6565e-01
84716 +6.865089059e+01 +6.865089059e+01 +5.171089059e+01 +5.171089059e+01 +2.1430e-01 +1.6986e-02 +2.0413e-01 +4.6013e-01 +8.6338e-01 +7.3445e-01 +9.3794e-01 +8.4870e-01 +9.8750e-01 +2.0897e-01 +9.7761e-01 +9.6853e-01 +3.1821e-01 +4.2451e-01 +9.2091e-01 +2.7459e-01 +7.5229e-01 +8.3941e-01 +3.6917e-01 +9.6455e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.562307111e+01 +5.562307111e+01 +7.443307111e+01 +7.443307111e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 +4.666633084e+01 +4.666633084e+01 +6.547633084e+01 +6.547633084e+01 +5.7840e-01 +5.0857e-01 +4.8573e-01 +1.6557e-01 +3.1816e-01 +8.5422e-01 +5.3690e-01 +7.3347e-01 +5.1552e-01 +4.0175e-02 +1.6591e-01 +6.1117e-01 +2.4197e-02 +6.6428e-01 +4.2796e-01 +3.4697e-01 +7.8723e-01 +9.8497e-01 +3.5407e-01 +4.2290e-01
7 +3.984412215e+01 +3.984412215e+01 +5.865412215e+01 +5.865412215e+01 +3.0386e-01 +9.9424e-01 +2.8935e-01 +6.5527e-01 +5.0069e-01 +1.7765e-01 +8.3118e-01 +5.3034e-01 +6.8450e-02 +8.9236e-01 +6.5743e-01 +2.4536e-01 +4.9712e-01 +3.3164e-01 +9.1763e-01 +7.2277e-02 +2.6629e-01 +4.7209e-01 +7.1783e-01 +5.4291e-01
25 +3.705696243e+01 +3.705696243e+01 +5.586696243e+01 +5.586696243e+01 +2.4308e-02 +2.9838e-01 +6.4666e-01 +6.2631e-01 +8.5805e-02 +5.3170e-01 +9.1412e-01 +8.6201e-01 +4.4517e-01 +4.8764e-01 +5.8513e-01 +5.5680e-01 +7.5129e-01 +4.4841e-01 +2.3296e-01 +7.8973e-01 +5.8665e-01 +8.9365e-01 +4.9629e-01 +7.5912e-01
