% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.288577618e+08 +4.288577618e+08 +4.288571407e+08 +4.288571407e+08 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +3.056643286e+08 +3.056643286e+08 +3.056637075e+08 +3.056637075e+08 +2.3912e-01 +5.9281e-01 +7.2634e-01 +8.4454e-01 +2.4856e-01 +8.3152e-01 +2.8065e-01 +1.5353e-02 +7.3421e-01 +7.3525e-01 +6.7823e-01 +9.9316e-01 +9.1143e-01 +8.6535e-01 +8.0994e-01 +1.6769e-02 +9.1196e-01 +3.0762e-01 +4.4285e-01 +2.6062e-01
7 +2.359230210e+08 +2.359230210e+08 +2.359223998e+08 +2.359223998e+08 +5.8105e-01 +9.2449e-01 +9.7727e-01 +8.2001e-01 +3.1073e-01 +1.4669e-02 +9.2345e-01 +6.1608e-01 +2.9063e-01 +8.0953e-01 +2.4266e-01 +3.8872e-01 +7.4799e-01 +9.0290e-01 +4.1753e-01 +5.6466e-01 +2.7156e-02 +7.5597e-01 +6.9495e-01 +5.5873e-01
21 +2.011570963e+08 +2.011570963e+08 +2.011564752e+08 +2.011564752e+08 +3.9358e-01 +6.1000e-01 +2.3835e-01 +5.3236e-01 +2.7813e-01 +1.7255e-01 +4.5724e-01 +8.0646e-01 +7.0543e-01 +7.7490e-01 +2.5520e-03 +4.2501e-01 +9.2873e-01 +8.0886e-01 +3.5822e-02 +1.0728e-02 +8.8735e-02 +1.5638e-01 +3.3374e-01 +1.4449e-01
28 +1.911072424e+08 +1.911072424e+08 +1.911066213e+08 +1.911066213e+08 +7.1775e-01 +9.9977e-01 +1.1618e-01 +2.8856e-01 +8.3242e-02 +4.1409e-01 +7.8220e-02 +6.9355e-01 +4.5584e-01 +8.6013e-02 +2.8609e-01 +6.5966e-01 +5.5516e-01 +2.8236e-01 +9.3095e-01 +7.3760e-01 +4.4583e-01 +4.6689e-01 +9.8030e-01 +3.5981e-01
68 +1.813145288e+08 +1.813145288e+08 +1.813139077e+08 +1.813139077e+08 +4.1875e-01 +7.7487e-01 +2.4303e-01 +5.4405e-01 +2.3045e-01 +6.1091e-02 +5.0246e-01 +9.7233e-01 +8.0803e-01 +5.8708e-01 +3.4054e-02 +2.4754e-01 +8.2018e-01 +4.6588e-01 +5.9597e-01 +1.3796e-01 +7.2519e-01 +1.4583e-01 +9.4289e-01 +7.8405e-01
83 +1.599494609e+08 +1.599494609e+08 +1.599488398e+08 +1.599488398e+08 +6.0829e-01 +8.1859e-01 +3.4983e-01 +2.5768e-01 +1.9550e-01 +2.6049e-01 +3.8014e-01 +9.0653e-01 +9.0626e-01 +5.5235e-01 +7.5621e-02 +9.7863e-01 +9.3216e-01 +8.1806e-01 +7.1620e-01 +2.2749e-01 +5.0799e-01 +2.0244e-01 +3.3514e-01 +5.4704e-01
1599 +1.500511148e+08 +1.500511148e+08 +1.500504937e+08 +1.500504937e+08 +6.0829e-01 +8.1859e-01 +3.4983e-01 +2.5768e-01 +1.9550e-01 +2.6049e-01 +3.8014e-01 +9.0653e-01 +9.0626e-01 +5.5235e-01 +7.5621e-02 +9.7863e-01 +9.3216e-01 +8.1806e-01 +7.1620e-01 +2.2749e-01 +5.0799e-01 +2.0244e-01 +9.2756e-01 +3.0692e-01
27393 +1.473563865e+08 +1.473563865e+08 +1.473557654e+08 +1.473557654e+08 +1.2347e-02 +9.0882e-01 +2.0934e-01 +3.9074e-01 +1.9550e-01 +2.6049e-01 +3.8014e-01 +9.0653e-01 +9.0626e-01 +5.5235e-01 +7.5621e-02 +9.7863e-01 +9.3216e-01 +8.1806e-01 +7.1620e-01 +2.2749e-01 +5.0799e-01 +2.0244e-01 +9.2756e-01 +3.0692e-01
29266 +1.418046998e+08 +1.418046998e+08 +1.418040786e+08 +1.418040786e+08 +7.3856e-01 +9.5130e-01 +1.8136e-01 +3.8197e-01 +3.8264e-03 +8.5333e-02 +5.5255e-01 +9.0653e-01 +9.0626e-01 +6.3703e-01 +1.4527e-01 +9.0310e-01 +6.6450e-01 +9.6583e-01 +9.4217e-01 +6.9364e-01 +1.0257e-01 +6.9300e-01 +7.4200e-01 +3.9184e-01
