% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.581765120e+02 +1.581765120e+02 +1.412365120e+02 +1.412365120e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.526025236e+02 +1.526025236e+02 +1.356625236e+02 +1.356625236e+02 +8.3127e-01 +7.5980e-01 +7.8134e-01 +4.6039e-01 +9.5310e-01 +2.8264e-01 +5.4527e-01 +6.9134e-02 +8.4123e-01 +2.4969e-02 +1.3568e-01 +5.7611e-01 +4.7916e-01 +5.8671e-01 +6.8215e-01 +9.1338e-02 +2.7615e-01 +3.8436e-01 +4.0161e-02 +6.9657e-01
3 +1.245456947e+02 +1.245456947e+02 +1.076056947e+02 +1.076056947e+02 +5.0142e-01 +9.4513e-01 +7.9006e-01 +5.6154e-01 +6.9569e-01 +2.0001e-01 +3.3748e-01 +3.0285e-02 +2.7910e-01 +4.2636e-01 +6.8157e-01 +4.4179e-01 +6.2963e-01 +7.5311e-01 +9.7690e-01 +1.9466e-01 +8.9145e-01 +7.4844e-01 +8.4984e-01 +3.0806e-01
16 +1.110632681e+02 +1.110632681e+02 +9.412326808e+01 +9.412326808e+01 +6.8803e-01 +7.4928e-01 +2.7078e-01 +6.5676e-01 +2.1107e-02 +7.9988e-01 +4.1567e-01 +2.3404e-01 +8.5424e-01 +2.6028e-02 +5.0103e-01 +2.8249e-01 +4.6550e-01 +4.8201e-02 +6.3363e-01 +3.1047e-01 +9.2792e-01 +7.9916e-01 +9.1425e-01 +6.0103e-01
21 +1.010343792e+02 +1.010343792e+02 +8.409437922e+01 +8.409437922e+01 +9.0370e-01 +5.6390e-01 +5.7339e-01 +4.2872e-01 +9.4291e-01 +9.8333e-01 +5.9662e-01 +8.5716e-01 +8.6078e-01 +1.8875e-01 +7.5175e-01 +7.8123e-01 +2.9859e-01 +3.6726e-01 +1.9690e-01 +4.7634e-02 +4.7454e-01 +8.4668e-01 +6.2368e-01 +7.2396e-01
152 +9.721553453e+01 +9.721553453e+01 +8.027553453e+01 +8.027553453e+01 +8.3955e-01 +3.8325e-01 +2.2316e-01 +4.7411e-01 +3.0426e-01 +5.6553e-01 +8.8045e-01 +5.6795e-02 +1.0821e-01 +1.7717e-01 +2.9077e-01 +7.2015e-01 +2.1070e-02 +2.8241e-04 +4.1931e-01 +2.9120e-01 +6.5749e-01 +6.3344e-01 +7.0325e-01 +2.4686e-01
333 +8.768821667e+01 +8.768821667e+01 +7.074821667e+01 +7.074821667e+01 +3.9860e-01 +3.0435e-01 +6.3655e-01 +1.6280e-01 +9.0046e-01 +7.0326e-01 +8.2070e-01 +5.9810e-01 +5.4054e-01 +2.6736e-01 +7.7812e-01 +2.1836e-01 +1.6311e-01 +9.3400e-01 +9.7132e-01 +2.9906e-01 +9.8041e-01 +3.3595e-01 +3.7265e-01 +1.1678e-01
575 +7.873595999e+01 +7.873595999e+01 +6.179595999e+01 +6.179595999e+01 +7.2761e-01 +1.9204e-01 +6.0847e-02 +1.4207e-03 +2.7468e-01 +9.3512e-01 +7.6087e-01 +3.4120e-01 +5.2832e-01 +8.4118e-01 +9.7992e-01 +6.0619e-01 +4.3803e-01 +7.3643e-01 +5.2127e-01 +7.5301e-01 +8.9670e-01 +4.9964e-01 +4.0046e-01 +8.5677e-01
3806 +7.597658355e+01 +7.597658355e+01 +5.903658355e+01 +5.903658355e+01 +4.5464e-01 +6.1901e-02 +2.4527e-01 +8.0683e-01 +1.2981e-01 +8.4233e-01 +8.1225e-01 +6.4443e-01 +9.9949e-01 +4.4706e-02 +4.1690e-01 +6.5747e-01 +6.9353e-01 +2.3966e-02 +9.5038e-01 +2.9841e-01 +1.3535e-02 +7.0912e-01 +2.3419e-01 +9.2304e-01
17829 +7.384205661e+01 +7.384205661e+01 +5.690205661e+01 +5.690205661e+01 +8.2690e-01 +1.1808e-01 +4.2214e-01 +6.3273e-01 +2.3803e-01 +3.3967e-01 +7.9517e-01 +9.4353e-01 +3.6890e-01 +1.9532e-01 +7.5240e-01 +6.3009e-01 +1.5977e-02 +3.4517e-01 +9.6346e-01 +9.0691e-01 +9.1458e-01 +2.8694e-01 +5.3411e-02 +8.7885e-01
34174 +6.851724758e+01 +6.851724758e+01 +5.157724758e+01 +5.157724758e+01 +1.4877e-01 +1.9046e-01 +7.4800e-01 +1.4778e-01 +2.2504e-01 +7.3356e-01 +8.2017e-01 +8.1786e-01 +4.5304e-01 +2.7441e-02 +4.7363e-01 +6.5747e-01 +2.3554e-02 +1.3129e-02 +8.6330e-01 +4.1828e-01 +8.1008e-01 +6.5721e-01 +1.5093e-01 +1.2647e-01
36175 +6.694420456e+01 +6.694420456e+01 +5.000420456e+01 +5.000420456e+01 +1.4877e-01 +1.9046e-01 +7.4800e-01 +1.4778e-01 +2.2504e-01 +7.3356e-01 +8.2017e-01 +8.1786e-01 +4.5304e-01 +2.7441e-02 +4.7363e-01 +7.0178e-01 +8.4877e-02 +1.3129e-02 +8.6330e-01 +4.1828e-01 +8.1008e-01 +6.5721e-01 +1.5093e-01 +1.2647e-01
77979 +6.387563076e+01 +6.387563076e+01 +4.693563076e+01 +4.693563076e+01 +1.4877e-01 +1.9046e-01 +7.4800e-01 +1.4778e-01 +2.2504e-01 +7.3356e-01 +8.2017e-01 +8.1786e-01 +4.5304e-01 +2.7441e-02 +4.7363e-01 +7.0178e-01 +8.4877e-02 +1.3129e-02 +8.6330e-01 +4.1828e-01 +8.1008e-01 +6.5721e-01 +1.5093e-01 +5.4362e-02
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.562307111e+01 +5.562307111e+01 +7.443307111e+01 +7.443307111e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +4.888038518e+01 +4.888038518e+01 +6.769038518e+01 +6.769038518e+01 +3.4482e-01 +4.6927e-01 +3.6385e-01 +3.2710e-01 +9.1986e-01 +7.8305e-01 +6.2159e-01 +9.4877e-01 +6.3164e-01 +1.2604e-02 +5.8737e-01 +8.2322e-01 +5.0269e-01 +4.8633e-01 +1.7024e-01 +4.2720e-01 +4.3000e-01 +6.1608e-02 +3.2026e-01 +5.6948e-01
