% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.421694309e+01 +1.421694309e+01 +2.108694309e+01 +2.108694309e+01 -2.8244e-01 +3.1817e+00 +3.8699e+00 +1.3132e+00 -1.0243e+00 +2.7529e-01 -1.1810e+00 +2.2099e+00 -1.2350e+00 -3.9550e+00 +1.2872e+00 -1.2036e+00 -6.3880e-01 +1.8159e+00 -2.5931e+00 +2.9127e+00 -4.5346e+00 +4.8971e+00 -1.4434e+00 -2.9431e+00
184 +7.809082439e+00 +7.809082439e+00 +1.467908244e+01 +1.467908244e+01 +2.2013e+00 +9.0691e-01 +2.6187e+00 +3.9508e+00 +3.5881e-01 +5.4360e-01 +2.7300e+00 -4.8663e+00 -6.4226e-01 -4.6264e+00 +5.4478e+00 +2.4533e-01 -2.8738e+00 -6.1828e+00 -4.2921e+00 -1.3012e+00 +3.6644e+00 +5.3189e+00 +3.0869e+00 +2.9724e+00
438 +5.805952557e+00 +5.805952557e+00 +1.267595256e+01 +1.267595256e+01 +2.7747e+00 +4.6271e-01 +2.3239e+00 +4.2815e+00 +2.2462e-01 +8.9997e-01 +2.9909e+00 -4.4690e+00 -7.1473e-01 -4.1573e+00 +5.5546e+00 +2.5158e-01 -2.5445e+00 -5.7184e+00 -5.1074e+00 -1.7142e+00 +4.4614e+00 +5.0105e+00 +2.8815e+00 +2.9599e+00
750 +3.855702697e+00 +3.855702697e+00 +1.072570270e+01 +1.072570270e+01 +2.8360e+00 +5.2788e-01 +2.3954e+00 +4.3773e+00 +1.9610e-01 +9.4315e-01 +2.8988e+00 -4.4318e+00 -6.9720e-01 -4.1030e+00 +5.5449e+00 +4.2052e-01 -2.4736e+00 -5.7222e+00 -4.9846e+00 -1.7376e+00 +4.6438e+00 +5.0174e+00 +2.8056e+00 +2.9132e+00
1068 +2.435425826e+00 +2.435425826e+00 +9.305425826e+00 +9.305425826e+00 +2.8360e+00 +5.3068e-01 +2.3920e+00 +4.3883e+00 +1.9385e-01 +9.3311e-01 +2.9001e+00 -4.4295e+00 -6.9656e-01 -4.0993e+00 +5.5430e+00 +4.2907e-01 -2.4709e+00 -5.7292e+00 -4.9759e+00 -1.7335e+00 +4.6381e+00 +5.0033e+00 +2.8120e+00 +2.9122e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.666443961e+01 +1.666443961e+01 +1.667443961e+01 +1.667443961e+01 -6.8721e-01 +2.6757e+00 +1.6481e+00 -9.2209e-01 -1.6851e-01 -1.3182e+00 -1.7822e-01 +3.4286e-01 +2.3453e+00 -4.9991e+00 -3.5182e+00 -2.8029e+00 +1.8756e+00 +4.6573e+00 +1.6404e+00 +7.0761e-01 -3.2791e+00 +3.2208e+00 -1.3407e+00 -4.1414e+00
34 +1.485432399e+01 +1.485432399e+01 +1.486432399e+01 +1.486432399e+01 -8.6989e-01 -5.0928e+00 +4.0635e+00 -3.7409e+00 +1.2959e+00 -3.9968e+00 -1.8853e+00 +1.5375e+00 +6.9774e+00 -2.6960e+00 -6.1245e+00 -4.2835e+00 +5.4932e+00 +5.0072e+00 -4.9639e+00 +5.1971e+00 -3.0150e+00 -5.3316e+00 +1.9566e+00 -3.3449e+00
197 +9.535166616e+00 +9.535166616e+00 +9.545166616e+00 +9.545166616e+00 -1.3227e+00 -5.7246e+00 +3.6752e+00 -8.3637e-01 +4.0382e+00 -2.5293e+00 -4.9326e+00 -2.9875e-01 +2.9086e+00 -4.8994e+00 -4.9002e+00 -4.3032e+00 +5.5005e+00 +1.6688e+00 -3.1795e+00 +4.2328e+00 +5.2726e-01 -1.2355e+00 +6.5510e-01 +1.9664e+00
421 +6.308472090e+00 +6.308472090e+00 +6.318472090e+00 +6.318472090e+00 -1.4331e+00 -4.3339e+00 +2.0195e+00 -1.8716e+00 +5.8313e+00 -1.8500e+00 -5.0517e+00 +1.7949e+00 +3.5554e+00 -1.7202e+00 -4.8030e+00 -5.6743e+00 +5.8770e+00 +8.5898e-01 -5.1552e+00 +4.8672e+00 +1.1894e+00 -9.8832e-01 +5.7177e-01 +2.6508e+00
