gen	time   	min     	avg     	max     	std    
6  	0.668463	-5990.1 	-4770.57	-4092.3 	776.28 
7  	0.733727	-5800.44	-4718.37	-4092.3 	652.965
8  	0.800474	-4465.25	-4184.21	-4092.3 	143.305
9  	0.896   	-4437.46	-4202.34	-3964.98	173.909
gen	time    	min     	avg     	max     	std    
0  	0.192251	-5237.85	-4771.53	-4526.24	249.212
1  	0.297319	-5035.42	-4748.32	-4526.24	209.626
2  	0.36169 	-4630.45	-4575.8 	-4526.24	34.1695
3  	0.444499	-4767.2 	-4575.45	-4317.83	152.9  
4  	0.512229	-4393.38	-4276.35	-4156.89	87.0505
5  	3.00118 	-88767.6	-21242.5	-4156.89	33762.8
6  	3.08028 	-5556.41	-4526.64	-4156.89	518.418
7  	3.1573  	-4689.73	-4304.62	-4076.54	229.405
8  	3.23862 	-6261.88	-4542.81	-3989.33	866.103
9  	3.32694 	-8413.64	-5029.01	-3931.23	1704.22
gen	time    	min     	avg     	max     	std    
0  	0.13771 	-10224.8	-6324.62	-4985.93	1982.55
1  	0.197767	-7189.65	-5655.44	-4985.93	885.76 
2  	0.270476	-5733.46	-5231.14	-4985.93	266.226
3  	0.352348	-5498.94	-5265.04	-4985.93	191.004
4  	0.432634	-5462.66	-5176.71	-4985.93	176.931
5  	0.47912 	-5282.46	-4946.81	-4570.89	230.321
6  	0.537663	-4839.03	-4671.8 	-4547.54	133.42 
7  	0.566805	-4707.06	-4584.11	-4547.54	62.1355
8  	0.643167	-6003.04	-4972.68	-4479.64	554.607
9  	0.718807	-5351.92	-4890.47	-4479.64	357.391
gen	time    	min     	avg     	max     	std    
0  	0.157209	-5010.67	-4809.15	-4602.76	147.563
1  	0.236873	-5767.98	-5011.81	-4556.01	443.006
2  	0.324159	-5508.04	-4950.49	-4556.01	373.182
3  	0.390275	-11195.8	-5909.75	-4556.01	2643.38
4  	0.467039	-6685.19	-5126.66	-4556.01	786.325
5  	0.529123	-5689.94	-4832.91	-4556.01	432.589
6  	0.590254	-5128.73	-4686.59	-4556.01	222.901
7  	0.63462 	-6180.03	-4905.27	-4556.01	639.138
8  	0.701246	-5497.23	-4818.41	-4556.01	368.54 
9  	0.778156	-4744.9 	-4640.45	-4499.53	95.293 
gen	time    	min     	avg     	max     	std    
0  	0.663783	-6117.39	-5341.64	-4193.63	862.162
1  	0.721451	-5401.82	-4688.9 	-4193.63	494.192
2  	0.797662	-7149.46	-4913.43	-4193.63	1122.82
3  	0.840468	-4616.59	-4339.16	-4193.63	167.268
4  	0.897666	-4582.88	-4339.97	-4193.63	148.715
5  	0.959773	-4849.33	-4438.59	-4193.63	241.603
6  	1.02444 	-5044.17	-4398.3 	-4085.44	347.744
7  	1.08968 	-5048.66	-4350.58	-4085.44	364.491
8  	1.15639 	-5572.92	-4352.8 	-3897.74	615.11 
9  	1.19979 	-4439.69	-4180.77	-3897.74	205.638
gen	time    	min     	avg     	max     	std    
0  	0.13873 	-6279.35	-5308.73	-4847.91	580.746
1  	0.213828	-5221.58	-5027.61	-4847.91	152.843
2  	0.287987	-6105.38	-5520.19	-4847.91	551.785
3  	0.360695	-5464.31	-5091.39	-4847.91	234.561
4  	0.440029	-6080.41	-5219.72	-4660.31	529.869
5  	0.51707 	-5260.75	-4939.49	-4660.31	215.982
6  	0.583582	-11634  	-6177.59	-4660.31	2735.08
7  	0.657306	-5016.18	-4779.78	-4660.31	122.877
8  	0.733952	-5096.29	-4790.06	-4616.43	196.805
9  	0.797771	-6893.66	-5057.34	-4473.46	920.651
gen	time    	min     	avg     	max     	std    
0  	0.152006	-16894.5	-8137   	-4991.03	4582.78
1  	0.232814	-8142.04	-5941.62	-4991.03	1168.3 
2  	0.298267	-6124.43	-5535.75	-4991.03	408.869
3  	0.380375	-6579.57	-5381.58	-4973.54	609.887
4  	0.457722	-6807.69	-5646.86	-4677.12	940.581
5  	0.535609	-6556.18	-5272.9 	-4677.12	659.314
6  	0.583104	-5058.87	-4867.48	-4677.12	144.079
7  	0.64225 	-5092.26	-4863.68	-4677.12	170.678
8  	0.700357	-4913.97	-4738.46	-4669.66	93.0776
9  	0.780011	-5443.16	-4906.56	-4669.66	278.712
gen	time    	min     	avg     	max     	std    
0  	0.168409	-6685.19	-5216.14	-4188.49	934.945
1  	0.226365	-6518.06	-4726.79	-4188.49	899.196
2  	0.283601	-4317.33	-4224.06	-4186.93	50.6612
3  	0.348598	-5645.15	-4445.34	-4080.35	601.268
4  	0.420147	-4472.71	-4162.25	-4023.28	159.299
5  	0.492119	-4263.14	-4075.65	-3893.94	121.761
6  	0.568051	-4391.13	-4177.1 	-3893.94	174.346
7  	0.625857	-5152.45	-4429.33	-3893.94	551.883
8  	0.704703	-5191.86	-4396.4 	-3881.62	510.045
9  	0.764984	-4256.38	-4070.22	-3881.62	154.724
gen	time    	min     	avg     	max     	std    
