avg     	gen	max    	min     	std    	time   
-2025.94	0  	-2025.3	-2050.38	1.93019	19.6298
avg     	gen	max    	min     	std     	time   
-2025.94	0  	-2025.3	-2050.38	1.93019 	19.6298
-2025.37	1  	-2025.3	-2029.52	0.338602	27.285 
avg     	gen	max    	min     	std     	time   
-2025.94	0  	-2025.3	-2050.38	1.93019 	19.6298
-2025.37	1  	-2025.3	-2029.52	0.338602	27.285 
-2025.36	2  	-2025.3	-2035.07	0.567317	34.9238
avg     	gen	max    	min     	std     	time   
-2025.94	0  	-2025.3	-2050.38	1.93019 	19.6298
-2025.37	1  	-2025.3	-2029.52	0.338602	27.285 
-2025.36	2  	-2025.3	-2035.07	0.567317	34.9238
-2025.36	3  	-2025.3	-2035.07	0.567121	42.8442
avg     	gen	max    	min     	std     	time   
-2025.94	0  	-2025.3	-2050.38	1.93019 	19.6298
-2025.37	1  	-2025.3	-2029.52	0.338602	27.285 
-2025.36	2  	-2025.3	-2035.07	0.567317	34.9238
-2025.36	3  	-2025.3	-2035.07	0.567121	42.8442
-2025.37	4  	-2025.3	-2035.07	0.662104	50.6434
avg     	gen	max    	min     	std     	time   
-2025.94	0  	-2025.3	-2050.38	1.93019 	19.6298
-2025.37	1  	-2025.3	-2029.52	0.338602	27.285 
-2025.36	2  	-2025.3	-2035.07	0.567317	34.9238
-2025.36	3  	-2025.3	-2035.07	0.567121	42.8442
-2025.37	4  	-2025.3	-2035.07	0.662104	50.6434
-2025.33	5  	-2025.3	-2031.4 	0.313675	58.5929
avg     	gen	max    	min     	std     	time   
-2025.94	0  	-2025.3	-2050.38	1.93019 	19.6298
-2025.37	1  	-2025.3	-2029.52	0.338602	27.285 
-2025.36	2  	-2025.3	-2035.07	0.567317	34.9238
-2025.36	3  	-2025.3	-2035.07	0.567121	42.8442
-2025.37	4  	-2025.3	-2035.07	0.662104	50.6434
-2025.33	5  	-2025.3	-2031.4 	0.313675	58.5929
-2025.33	6  	-2025.3	-2029.52	0.242559	66.4703
avg     	gen	max    	min     	std     	time   
-2025.94	0  	-2025.3	-2050.38	1.93019 	19.6298
-2025.37	1  	-2025.3	-2029.52	0.338602	27.285 
-2025.36	2  	-2025.3	-2035.07	0.567317	34.9238
-2025.36	3  	-2025.3	-2035.07	0.567121	42.8442
-2025.37	4  	-2025.3	-2035.07	0.662104	50.6434
-2025.33	5  	-2025.3	-2031.4 	0.313675	58.5929
-2025.33	6  	-2025.3	-2029.52	0.242559	66.4703
-2025.35	7  	-2025.3	-2042.02	0.771237	74.5476
avg     	gen	max    	min     	std     	time   
-2025.94	0  	-2025.3	-2050.38	1.93019 	19.6298
-2025.37	1  	-2025.3	-2029.52	0.338602	27.285 
-2025.36	2  	-2025.3	-2035.07	0.567317	34.9238
-2025.36	3  	-2025.3	-2035.07	0.567121	42.8442
-2025.37	4  	-2025.3	-2035.07	0.662104	50.6434
-2025.33	5  	-2025.3	-2031.4 	0.313675	58.5929
-2025.33	6  	-2025.3	-2029.52	0.242559	66.4703
-2025.35	7  	-2025.3	-2042.02	0.771237	74.5476
-2025.32	8  	-2025.3	-2029.52	0.250864	82.4587
avg     	gen	max    	min     	std      	time   
-2025.94	0  	-2025.3	-2050.38	1.93019  	19.6298
-2025.37	1  	-2025.3	-2029.52	0.338602 	27.285 
-2025.36	2  	-2025.3	-2035.07	0.567317 	34.9238
-2025.36	3  	-2025.3	-2035.07	0.567121 	42.8442
-2025.37	4  	-2025.3	-2035.07	0.662104 	50.6434
-2025.33	5  	-2025.3	-2031.4 	0.313675 	58.5929
-2025.33	6  	-2025.3	-2029.52	0.242559 	66.4703
-2025.35	7  	-2025.3	-2042.02	0.771237 	74.5476
-2025.32	8  	-2025.3	-2029.52	0.250864 	82.4587
-2025.31	9  	-2025.3	-2026   	0.0539793	90.264 
avg     	gen	max    	min     	std      	time   
-2025.94	0  	-2025.3	-2050.38	1.93019  	19.6298
-2025.37	1  	-2025.3	-2029.52	0.338602 	27.285 
-2025.36	2  	-2025.3	-2035.07	0.567317 	34.9238
-2025.36	3  	-2025.3	-2035.07	0.567121 	42.8442
-2025.37	4  	-2025.3	-2035.07	0.662104 	50.6434
-2025.33	5  	-2025.3	-2031.4 	0.313675 	58.5929
-2025.33	6  	-2025.3	-2029.52	0.242559 	66.4703
-2025.35	7  	-2025.3	-2042.02	0.771237 	74.5476
-2025.32	8  	-2025.3	-2029.52	0.250864 	82.4587
-2025.31	9  	-2025.3	-2026   	0.0539793	90.264 
-2025.34	10 	-2025.3	-2032.3 	0.396365 	98.3234
avg     	gen	max    	min     	std      	time   
-2025.94	0  	-2025.3	-2050.38	1.93019  	19.6298
-2025.37	1  	-2025.3	-2029.52	0.338602 	27.285 
-2025.36	2  	-2025.3	-2035.07	0.567317 	34.9238
-2025.36	3  	-2025.3	-2035.07	0.567121 	42.8442
-2025.37	4  	-2025.3	-2035.07	0.662104 	50.6434
