avg     	gen	max  	min     	std    	time   
-2027.16	0  	-2025	-2265.61	10.9863	19.5836
avg     	gen	max  	min     	std    	time   
-2027.16	0  	-2025	-2265.61	10.9863	19.5836
-2025.61	1  	-2025	-2047.6 	1.80177	27.7026
avg     	gen	max  	min     	std    	time   
-2027.16	0  	-2025	-2265.61	10.9863	19.5836
-2025.61	1  	-2025	-2047.6 	1.80177	27.7026
-2025.29	2  	-2025	-2047.6 	1.80828	35.5277
avg     	gen	max  	min     	std    	time   
-2027.16	0  	-2025	-2265.61	10.9863	19.5836
-2025.61	1  	-2025	-2047.6 	1.80177	27.7026
-2025.29	2  	-2025	-2047.6 	1.80828	35.5277
-2027.24	3  	-2025	-2265.61	21.5181	43.3335
avg     	gen	max  	min     	std     	time   
-2027.16	0  	-2025	-2265.61	10.9863 	19.5836
-2025.61	1  	-2025	-2047.6 	1.80177 	27.7026
-2025.29	2  	-2025	-2047.6 	1.80828 	35.5277
-2027.24	3  	-2025	-2265.61	21.5181 	43.3335
-2025.1 	4  	-2025	-2032.05	0.570648	51.2462
avg     	gen	max  	min     	std     	time   
-2027.16	0  	-2025	-2265.61	10.9863 	19.5836
-2025.61	1  	-2025	-2047.6 	1.80177 	27.7026
-2025.29	2  	-2025	-2047.6 	1.80828 	35.5277
-2027.24	3  	-2025	-2265.61	21.5181 	43.3335
-2025.1 	4  	-2025	-2032.05	0.570648	51.2462
-2025.3 	5  	-2025	-2091.16	3.23686 	59.1608
avg     	gen	max  	min     	std     	time   
-2027.16	0  	-2025	-2265.61	10.9863 	19.5836
-2025.61	1  	-2025	-2047.6 	1.80177 	27.7026
-2025.29	2  	-2025	-2047.6 	1.80828 	35.5277
-2027.24	3  	-2025	-2265.61	21.5181 	43.3335
-2025.1 	4  	-2025	-2032.05	0.570648	51.2462
-2025.3 	5  	-2025	-2091.16	3.23686 	59.1608
-2025.17	6  	-2025	-2047.6 	1.5021  	67.3035
avg     	gen	max  	min     	std     	time   
-2027.16	0  	-2025	-2265.61	10.9863 	19.5836
-2025.61	1  	-2025	-2047.6 	1.80177 	27.7026
-2025.29	2  	-2025	-2047.6 	1.80828 	35.5277
-2027.24	3  	-2025	-2265.61	21.5181 	43.3335
-2025.1 	4  	-2025	-2032.05	0.570648	51.2462
-2025.3 	5  	-2025	-2091.16	3.23686 	59.1608
-2025.17	6  	-2025	-2047.6 	1.5021  	67.3035
-2025.05	7  	-2025	-2030.15	0.388457	75.1193
avg     	gen	max  	min     	std     	time   
-2027.16	0  	-2025	-2265.61	10.9863 	19.5836
-2025.61	1  	-2025	-2047.6 	1.80177 	27.7026
-2025.29	2  	-2025	-2047.6 	1.80828 	35.5277
-2027.24	3  	-2025	-2265.61	21.5181 	43.3335
-2025.1 	4  	-2025	-2032.05	0.570648	51.2462
-2025.3 	5  	-2025	-2091.16	3.23686 	59.1608
-2025.17	6  	-2025	-2047.6 	1.5021  	67.3035
-2025.05	7  	-2025	-2030.15	0.388457	75.1193
-2025.09	8  	-2025	-2047.6 	1.07232 	83.2987
avg     	gen	max  	min     	std     	time   
-2027.16	0  	-2025	-2265.61	10.9863 	19.5836
-2025.61	1  	-2025	-2047.6 	1.80177 	27.7026
-2025.29	2  	-2025	-2047.6 	1.80828 	35.5277
-2027.24	3  	-2025	-2265.61	21.5181 	43.3335
-2025.1 	4  	-2025	-2032.05	0.570648	51.2462
-2025.3 	5  	-2025	-2091.16	3.23686 	59.1608
-2025.17	6  	-2025	-2047.6 	1.5021  	67.3035
-2025.05	7  	-2025	-2030.15	0.388457	75.1193
-2025.09	8  	-2025	-2047.6 	1.07232 	83.2987
-2025.16	9  	-2025	-2047.6 	1.5744  	91.3699
avg     	gen	max  	min     	std     	time   
