avg  	gen	max  	min    	std    	time   
-2027	0  	-2025	-2148.9	6.48717	19.3694
avg     	gen	max  	min     	std    	time   
-2027   	0  	-2025	-2148.9 	6.48717	19.3694
-2026.08	1  	-2025	-2112.05	6.59712	27.3616
avg     	gen	max  	min     	std    	time   
-2027   	0  	-2025	-2148.9 	6.48717	19.3694
-2026.08	1  	-2025	-2112.05	6.59712	27.3616
-2025.66	2  	-2025	-2061.94	3.59851	35.2622
avg     	gen	max  	min     	std    	time   
-2027   	0  	-2025	-2148.9 	6.48717	19.3694
-2026.08	1  	-2025	-2112.05	6.59712	27.3616
-2025.66	2  	-2025	-2061.94	3.59851	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648	43.2587
avg     	gen	max  	min     	std     	time   
-2027   	0  	-2025	-2148.9 	6.48717 	19.3694
-2026.08	1  	-2025	-2112.05	6.59712 	27.3616
-2025.66	2  	-2025	-2061.94	3.59851 	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648 	43.2587
-2025.06	4  	-2025	-2029.22	0.337314	51.1774
avg     	gen	max  	min     	std     	time   
-2027   	0  	-2025	-2148.9 	6.48717 	19.3694
-2026.08	1  	-2025	-2112.05	6.59712 	27.3616
-2025.66	2  	-2025	-2061.94	3.59851 	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648 	43.2587
-2025.06	4  	-2025	-2029.22	0.337314	51.1774
-2025.35	5  	-2025	-2146.9 	5.47427 	59.2505
avg     	gen	max  	min     	std     	time   
-2027   	0  	-2025	-2148.9 	6.48717 	19.3694
-2026.08	1  	-2025	-2112.05	6.59712 	27.3616
-2025.66	2  	-2025	-2061.94	3.59851 	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648 	43.2587
-2025.06	4  	-2025	-2029.22	0.337314	51.1774
-2025.35	5  	-2025	-2146.9 	5.47427 	59.2505
-2025.05	6  	-2025	-2028.3 	0.295926	67.3746
avg     	gen	max  	min     	std     	time   
-2027   	0  	-2025	-2148.9 	6.48717 	19.3694
-2026.08	1  	-2025	-2112.05	6.59712 	27.3616
-2025.66	2  	-2025	-2061.94	3.59851 	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648 	43.2587
-2025.06	4  	-2025	-2029.22	0.337314	51.1774
-2025.35	5  	-2025	-2146.9 	5.47427 	59.2505
-2025.05	6  	-2025	-2028.3 	0.295926	67.3746
-2025.18	7  	-2025	-2068.34	2.096   	75.4813
avg     	gen	max  	min     	std     	time   
-2027   	0  	-2025	-2148.9 	6.48717 	19.3694
-2026.08	1  	-2025	-2112.05	6.59712 	27.3616
-2025.66	2  	-2025	-2061.94	3.59851 	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648 	43.2587
-2025.06	4  	-2025	-2029.22	0.337314	51.1774
-2025.35	5  	-2025	-2146.9 	5.47427 	59.2505
-2025.05	6  	-2025	-2028.3 	0.295926	67.3746
-2025.18	7  	-2025	-2068.34	2.096   	75.4813
-2025.03	8  	-2025	-2032.05	0.344347	83.4943
avg     	gen	max  	min     	std     	time   
-2027   	0  	-2025	-2148.9 	6.48717 	19.3694
-2026.08	1  	-2025	-2112.05	6.59712 	27.3616
-2025.66	2  	-2025	-2061.94	3.59851 	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648 	43.2587
-2025.06	4  	-2025	-2029.22	0.337314	51.1774
-2025.35	5  	-2025	-2146.9 	5.47427 	59.2505
-2025.05	6  	-2025	-2028.3 	0.295926	67.3746
-2025.18	7  	-2025	-2068.34	2.096   	75.4813
-2025.03	8  	-2025	-2032.05	0.344347	83.4943
-2025.05	9  	-2025	-2033   	0.426005	91.441 
avg     	gen	max  	min     	std     	time   
-2027   	0  	-2025	-2148.9 	6.48717 	19.3694
-2026.08	1  	-2025	-2112.05	6.59712 	27.3616
-2025.66	2  	-2025	-2061.94	3.59851 	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648 	43.2587
-2025.06	4  	-2025	-2029.22	0.337314	51.1774
-2025.35	5  	-2025	-2146.9 	5.47427 	59.2505
-2025.05	6  	-2025	-2028.3 	0.295926	67.3746
-2025.18	7  	-2025	-2068.34	2.096   	75.4813
-2025.03	8  	-2025	-2032.05	0.344347	83.4943
-2025.05	9  	-2025	-2033   	0.426005	91.441 
-2025.16	10 	-2025	-2094.14	3.09548 	99.7155
avg     	gen	max  	min     	std     	time   
-2027   	0  	-2025	-2148.9 	6.48717 	19.3694
-2026.08	1  	-2025	-2112.05	6.59712 	27.3616
-2025.66	2  	-2025	-2061.94	3.59851 	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648 	43.2587
-2025.06	4  	-2025	-2029.22	0.337314	51.1774
-2025.35	5  	-2025	-2146.9 	5.47427 	59.2505
-2025.05	6  	-2025	-2028.3 	0.295926	67.3746
-2025.18	7  	-2025	-2068.34	2.096   	75.4813
-2025.03	8  	-2025	-2032.05	0.344347	83.4943
-2025.05	9  	-2025	-2033   	0.426005	91.441 
-2025.16	10 	-2025	-2094.14	3.09548 	99.7155
-2025.07	11 	-2025	-2047.6 	1.03051 	107.641
avg     	gen	max  	min     	std     	time   
-2027   	0  	-2025	-2148.9 	6.48717 	19.3694
-2026.08	1  	-2025	-2112.05	6.59712 	27.3616
-2025.66	2  	-2025	-2061.94	3.59851 	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648 	43.2587
-2025.06	4  	-2025	-2029.22	0.337314	51.1774
-2025.35	5  	-2025	-2146.9 	5.47427 	59.2505
-2025.05	6  	-2025	-2028.3 	0.295926	67.3746
-2025.18	7  	-2025	-2068.34	2.096   	75.4813
-2025.03	8  	-2025	-2032.05	0.344347	83.4943
-2025.05	9  	-2025	-2033   	0.426005	91.441 
-2025.16	10 	-2025	-2094.14	3.09548 	99.7155
-2025.07	11 	-2025	-2047.6 	1.03051 	107.641
-2025.28	12 	-2025	-2146.9 	5.45245 	115.726
avg     	gen	max  	min     	std     	time   
-2027   	0  	-2025	-2148.9 	6.48717 	19.3694
-2026.08	1  	-2025	-2112.05	6.59712 	27.3616
-2025.66	2  	-2025	-2061.94	3.59851 	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648 	43.2587
-2025.06	4  	-2025	-2029.22	0.337314	51.1774
-2025.35	5  	-2025	-2146.9 	5.47427 	59.2505
-2025.05	6  	-2025	-2028.3 	0.295926	67.3746
-2025.18	7  	-2025	-2068.34	2.096   	75.4813
-2025.03	8  	-2025	-2032.05	0.344347	83.4943
-2025.05	9  	-2025	-2033   	0.426005	91.441 
-2025.16	10 	-2025	-2094.14	3.09548 	99.7155
-2025.07	11 	-2025	-2047.6 	1.03051 	107.641
-2025.28	12 	-2025	-2146.9 	5.45245 	115.726
-2025.02	13 	-2025	-2033   	0.372306	123.889
avg     	gen	max  	min     	std     	time   
-2027   	0  	-2025	-2148.9 	6.48717 	19.3694
-2026.08	1  	-2025	-2112.05	6.59712 	27.3616
-2025.66	2  	-2025	-2061.94	3.59851 	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648 	43.2587
-2025.06	4  	-2025	-2029.22	0.337314	51.1774
-2025.35	5  	-2025	-2146.9 	5.47427 	59.2505
-2025.05	6  	-2025	-2028.3 	0.295926	67.3746
-2025.18	7  	-2025	-2068.34	2.096   	75.4813
-2025.03	8  	-2025	-2032.05	0.344347	83.4943
-2025.05	9  	-2025	-2033   	0.426005	91.441 
-2025.16	10 	-2025	-2094.14	3.09548 	99.7155
-2025.07	11 	-2025	-2047.6 	1.03051 	107.641
-2025.28	12 	-2025	-2146.9 	5.45245 	115.726
-2025.02	13 	-2025	-2033   	0.372306	123.889
-2025.03	14 	-2025	-2030.15	0.314479	131.884
avg     	gen	max  	min     	std     	time   
-2027   	0  	-2025	-2148.9 	6.48717 	19.3694
-2026.08	1  	-2025	-2112.05	6.59712 	27.3616
-2025.66	2  	-2025	-2061.94	3.59851 	35.2622
-2025.2 	3  	-2025	-2047.6 	1.51648 	43.2587
-2025.06	4  	-2025	-2029.22	0.337314	51.1774
