avg     	gen	max     	min     	std    	time   
-2562.81	4  	-2368.87	-3275.84	122.684	55.8716
-2513.85	5  	-2338.53	-2983.29	89.9568	64.442 
-2478.05	6  	-2338.53	-3055.46	80.8063	73.1475
-2449.12	7  	-2293.98	-3005.98	74.7646	81.5109
-2421.36	8  	-2293.98	-2937.87	65.4029	90.0921
-2401.45	9  	-2281.53	-2691.03	58.4824	98.716 
-2382.48	10 	-2281.53	-3702.66	81.193 	107.356
-2357.05	11 	-2247.37	-2689.92	52.301 	115.977
-2336.87	12 	-2226.4 	-2576.65	44.1707	124.616
-2323.2 	13 	-2226.4 	-3531.91	72.0087	133.186
-2308.04	14 	-2226.4 	-2676.47	49.9873	141.781
-2291.68	15 	-2225.28	-2678.25	45.2084	150.196
-2282.44	16 	-2215.96	-2918.41	50.6324	158.908
-2262.74	17 	-2200.33	-2473.7 	27.2676	167.344
-2250.91	18 	-2200.33	-2465.16	27.4834	176.098
-2244.7 	19 	-2200.33	-2734.81	37.4476	184.975
-2236.53	20 	-2184.64	-2527.7 	31.2827	193.634
-2226.45	21 	-2184.64	-2353.33	19.0196	202.007
-2220.54	22 	-2176.29	-2677.45	32.1519	210.245
-2214.44	23 	-2166.51	-2752.21	40.1205	218.778
-2201.65	24 	-2165.81	-2282.02	16.5887	227.311
-2193.71	25 	-2159.9 	-2332.01	17.4079	235.677
-2185.97	26 	-2159.9 	-2438.14	18.5816	244.016
-2179.28	27 	-2159.2 	-2379.7 	15.5734	252.365
-2174.1 	28 	-2156.01	-2319.25	12.7457	260.809
-2169.72	29 	-2153.13	-2341.44	16.0195	269.053
-2170.65	30 	-2152.43	-3574.06	73.8375	277.314
-2163.89	31 	-2152.43	-2450.11	22.268 	286.043
-2159.89	32 	-2152.43	-2318.26	13.0937	294.651
-2159.94	33 	-2149.17	-2683.11	29.1435	303.321
-2156.67	34 	-2149.07	-2314.16	11.4936	311.613
-2158.29	35 	-2146.95	-2700.84	35.7491	320.137
-2153.82	36 	-2146.91	-2383.75	14.2232	328.529
-2152.2 	37 	-2146.21	-2287.88	11.0714	337.156
-2152.06	38 	-2145.68	-2384.05	15.6627	345.895
-2149.35	39 	-2144.19	-2220.43	7.58966	354.357
-2150.55	40 	-2144.19	-2683.1 	30.4086	362.858
-2150.55	41 	-2144.18	-2649.46	27.0552	371.606
-2147.93	42 	-2143.49	-2316.97	12.5481	380.067
-2147.86	43 	-2143.4 	-2680.85	25.4116	388.582
-2146.38	44 	-2143.2 	-2329.04	11.1198	396.925
-2146.73	45 	-2143.2 	-2363.03	16.6005	405.57 
-2147.77	46 	-2142.59	-2378.31	20.8532	413.99 
-2144.75	47 	-2142.09	-2242.27	7.12627	422.572
-2148.04	48 	-2142   	-2556.94	29.5865	431.172
-2146.17	49 	-2141.81	-2515.64	23.4552	439.952
-2144.99	50 	-2141.39	-2383.29	16.0775	448.479
-2144.7 	51 	-2141.04	-2488.73	17.4508	457.147
-2146.08	52 	-2140.75	-2559.72	22.8083	465.893
-2143.84	53 	-2140.34	-2314.03	11.081 	474.413
-2145.21	54 	-2140.04	-2596.82	27.4781	482.757
-2144.27	55 	-2140.04	-2347.91	15.731 	491.175
-2144.82	56 	-2140.04	-2610.49	28.4995	499.783
-2145.21	57 	-2140.04	-2598.71	26.1435	508.339
-2155.73	58 	-2140.04	-7866.33	256.861	517.098
-2142.3 	59 	-2140.04	-2311.04	11.676 	525.599
-2144.38	60 	-2139.45	-2451.83	21.8238	534.293
-2143.01	61 	-2139.45	-2385.33	17.0093	542.744
-2142.19	62 	-2139.35	-2286.82	11.7692	551.09 
-2143.27	63 	-2139.35	-2714.7 	27.6228	559.448
-2142.24	64 	-2138.6 	-2311.06	14.2476	567.835
-2142.52	65 	-2138.6 	-2242.81	11.3589	576.158
-2141.9 	66 	-2138.6 	-2245.08	10.6829	584.503
-2142.41	67 	-2138.54	-2403.34	20.7749	593.115
-2142.89	68 	-2137.79	-2433.62	21.9637	601.561
-2142.53	69 	-2137.79	-2597.2 	24.4049	609.879
-2140.75	70 	-2137.79	-2259.94	9.90517	618.278
-2142.02	71 	-2137.79	-2429.55	19.314 	626.492
-2140.87	72 	-2137.47	-2327.65	16.3203	634.976
-2140.29	73 	-2137.47	-2371.42	15.374 	643.337
-2141.96	74 	-2137.47	-2531.61	24.8152	652.119
-2157.3 	75 	-2137.47	-10086.2	355.466	660.637
-2139.82	76 	-2137.47	-2238.63	8.92269	669.074
-2142.76	77 	-2137.47	-2746.31	39.9119	677.482
-2139.53	78 	-2137.47	-2268.05	10.2113	686.124
-2139.68	79 	-2137.47	-2313.06	12.2926	694.801
-2142.33	80 	-2137.47	-2650.31	34.1855	703.168
-2140.37	81 	-2137.47	-2513.48	20.2792	711.919
-2139.88	82 	-2137.47	-2521.46	19.8349	720.481
-2139.29	83 	-2137.47	-2299.73	11.5717	728.795
-2139.26	84 	-2137.47	-2250.02	8.897  	737.226
-2140.02	85 	-2137.47	-2300.45	11.9709	745.923
-2139.54	86 	-2137.47	-2241.94	9.4905 	754.495
-2140.33	87 	-2137.47	-2407.78	18.2318	762.747
-2140.33	88 	-2137.47	-2445.22	19.7375	771.361
-2142.21	89 	-2137.47	-3002.53	40.8323	780.138
-2141.03	90 	-2137.47	-2317.75	18.6983	788.444
-2140.16	91 	-2137.47	-2450.52	18.5792	796.893
-2139.55	92 	-2137.47	-2355.47	15.6183	805.398
-2141.17	93 	-2137.47	-2451.81	18.61  	813.693
-2141.04	94 	-2137.47	-2395.05	20.0708	822.113
-2140.24	95 	-2137.47	-2281.74	14.8069	830.616
-2141.11	96 	-2137.47	-2622.71	26.4015	839.262
-2140.01	97 	-2137.47	-2425.75	16.3107	848.28 
-2141.76	98 	-2137.47	-2637.21	33.4777	856.929
-2141   	99 	-2137.47	-2642.04	25.683 	864.939
avg     	gen	max     	min     	std    	time   
-3155.95	0  	-2381.6 	-20305.6	1076.07	21.6408
-2839.3 	1  	-2377.06	-4754.71	244.24 	30.1586
