

-2158.34	89 	-2154.05	-2461.64	25.0249	767.286

-2159.2 	90 	-2154.05	-2612.89	29.0191	775.513

-2157.2 	91 	-2154.05	-2674.12	25.4504	784.184

-2157.87	92 	-2154.05	-2456   	23.9865	792.582

-2156.96	93 	-2154.05	-2285.18	13.3179	800.96 

-2158.46	94 	-2154.05	-2573.28	27.6407	809.205

-2157.4 	95 	-2154.05	-2423.37	18.0433	817.692

-2157.73	96 	-2154.05	-2423.22	21.9756	826.241

-2156.61	97 	-2154.05	-2318.64	14.9937	834.641

-2155.65	98 	-2154.05	-2255.48	8.04787	842.919

-2157.16	99 	-2154.05	-2404.44	16.853 	851.14 



-3159.27	0  	-2404.82	-6420.5 	509.419	21.6155

-3178.68	1  	-2391.3 	-42812.3	3089.72	29.9695

-2855.98	2  	-2391.3 	-10742.4	691.606	38.2534

-2665.46	3  	-2359.62	-5396.9 	237.922	46.7568

-2586.22	4  	-2339.21	-5232.93	231.345	55.1413

-2527.48	5  	-2333.63	-5133.19	198.867	63.766 

-2463.85	6  	-2324.96	-3250.81	77.8907	72.0871

-2438.83	7  	-2297.65	-3315.15	114.07 	80.5494

-2422.77	8  	-2297.65	-6874.24	226.08 	88.852 

-2391.3 	9  	-2281.09	-3546.89	124.383	97.3128

-2360.59	10 	-2281.09	-2590.62	48.2648	105.803

-2363.05	11 	-2266.11	-9964.39	343.736	114.287

-2338.97	12 	-2255.96	-2590.68	47.08  	122.834

-2323.62	13 	-2254.37	-2768.92	42.7646	131.288

-2313.68	14 	-2251.05	-2586.83	39.5006	139.865

-2302.81	15 	-2215.36	-2533.25	36.7719	148.414

-2290.86	16 	-2211.21	-2569.42	37.3938	156.947

-2277.08	17 	-2207.26	-2424.81	29.2623	165.585

-2267.66	18 	-2207.26	-2534.26	31.0422	174.016

-2269.94	19 	-2207.26	-7700.25	245.087	182.502

-2246.6 	20 	-2206.72	-2499.22	25.3431	191.115

-2239.17	21 	-2198.71	-2374.63	23.7845	199.573

-2229.74	22 	-2190.06	-2329.65	20.0397	208.192

-2223.61	23 	-2187.78	-2323.92	18.1531	216.432

-2217.62	24 	-2181.23	-2313.62	19.0592	224.832

-2214.04	25 	-2179.15	-2354.23	21.4233	233.375

-2209.78	26 	-2177.72	-2374.62	22.0437	241.678

-2206.99	27 	-2174.76	-2585.81	30.2981	250.187

-2206.51	28 	-2169.47	-3048.56	50.4284	258.879

-2198.08	29 	-2169.47	-2698.22	29.0355	267.495

-2194.36	30 	-2168.97	-2639.9 	32.3663	275.803

-2189.38	31 	-2167.12	-2300.93	17.8823	284.238

-2187.54	32 	-2166.9 	-2399.19	21.9379	292.636

-2184.63	33 	-2166.56	-2348.9 	18.363 	301.14 

-2181.81	34 	-2162.78	-2370.98	16.8301	309.457

-2181.02	35 	-2160.06	-2386.33	18.5476	317.859

-2179.05	36 	-2160.06	-2375.61	18.3073	326.521

-2178.92	37 	-2153.11	-2456.15	24.0093	334.966

-2174.22	38 	-2152.09	-2285.16	13.621 	343.553

-2170.71	39 	-2149.26	-2287.3 	13.6077	351.978

-2167.12	40 	-2144.38	-2526.87	25.8176	360.322

-2162.35	41 	-2144.38	-2346.55	15.2436	368.86 

-2158.9 	42 	-2144.38	-2555.75	23.8728	377.655

-2154.91	43 	-2143.06	-2325.6 	14.9804	385.725

-2153.63	44 	-2142.02	-2321.77	17.9563	393.843

-2154.36	45 	-2141.98	-3319.63	61.8716	402.216

-2147.71	46 	-2139.77	-2255.15	8.89697	410.926

-2146.93	47 	-2139.68	-2330.26	12.9319	419.646

-2146.57	48 	-2138.17	-2304.79	17.7375	428.19 

-2149.78	49 	-2137.38	-4199.36	95.5012	436.661

-2143.77	50 	-2137.09	-2501.3 	23.3894	444.992

-2142.39	51 	-2136.3 	-2372.2 	17.5838	453.303

-2140.42	52 	-2135.41	-2278.18	9.58805	461.676

-2141.26	53 	-2134.21	-2802.09	30.9983	469.931

-2140.8 	54 	-2133.51	-2536.5 	27.8493	478.123

-2138.71	55 	-2133.51	-2270.1 	11.4638	486.459

-2138.28	56 	-2133.51	-2311.41	14.2286	494.87 

-2137.39	57 	-2133.51	-2259.73	11.1776	503.66 

-2140.67	58 	-2133.21	-3638.75	69.8106	512.114

-2136.72	59 	-2132.81	-2355.22	15.6705	520.327

-2136.67	60 	-2132.81	-2292.68	14.5354	528.791

-2134.93	61 	-2132.51	-2189.53	6.49594	537.274

-2135.79	62 	-2132.51	-2405.28	15.859 	545.916

