avg  	gen	max  	min  	std	time   
-144000	36 	-144000	-144000	0  	3988.6 
-144000	37 	-144000	-144000	0  	4093.69
-144000	38 	-144000	-144000	0  	4194.63
-144000	39 	-144000	-144000	0  	4295.46
-144000	40 	-144000	-144000	0  	4396.35
-144000	41 	-144000	-144000	0  	4492.08
-144000	42 	-144000	-144000	0  	4591.53
-144000	43 	-144000	-144000	0  	4687.57
-144000	44 	-144000	-144000	0  	4784.39
-144000	45 	-144000	-144000	0  	4879.8 
-144000	46 	-144000	-144000	0  	4976.37
-144000	47 	-144000	-144000	0  	5071.84
-144000	48 	-144000	-144000	0  	5168.49
-144000	49 	-144000	-144000	0  	5264.91
-144000	50 	-144000	-144000	0  	5357.08
-144000	51 	-144000	-144000	0  	5453.84
-144000	52 	-144000	-144000	0  	5552.75
-144000	53 	-144000	-144000	0  	5651.18
-144000	54 	-144000	-144000	0  	5745.68
-144000	55 	-144000	-144000	0  	5844.15
-144000	56 	-144000	-144000	0  	5937.77
-144000	57 	-144000	-144000	0  	6031.31
-144000	58 	-144000	-144000	0  	6126.8 
-144000	59 	-144000	-144000	0  	6221.8 
-144000	60 	-144000	-144000	0  	6316.74
-144000	61 	-144000	-144000	0  	6411.8 
-144000	62 	-144000	-144000	0  	6505.39
-144000	63 	-144000	-144000	0  	6600.43
-144000	64 	-144000	-144000	0  	6695.12
-144000	65 	-144000	-144000	0  	6785.22
-144000	66 	-144000	-144000	0  	6876.32
-144000	67 	-144000	-144000	0  	6967.17
-144000	68 	-144000	-144000	0  	7059.41
-144000	69 	-144000	-144000	0  	7153.28
-144000	70 	-144000	-144000	0  	7249.31
-144000	71 	-144000	-144000	0  	7339.21
-144000	72 	-144000	-144000	0  	7432.15
-144000	73 	-144000	-144000	0  	7522.68
-144000	74 	-144000	-144000	0  	7617.03
-144000	75 	-144000	-144000	0  	7708.16
-144000	76 	-144000	-144000	0  	7798.37
-144000	77 	-144000	-144000	0  	7891.15
-144000	78 	-144000	-144000	0  	7980.06
-144000	79 	-144000	-144000	0  	8070.88
-144000	80 	-144000	-144000	0  	8161.69
-144000	81 	-144000	-144000	0  	8251.4 
-144000	82 	-144000	-144000	0  	8342.17
-144000	83 	-144000	-144000	0  	8431.59
-144000	84 	-144000	-144000	0  	8523.24
-144000	85 	-144000	-144000	0  	8612.9 
-144000	86 	-144000	-144000	0  	8700.53
-144000	87 	-144000	-144000	0  	8791.03
-144000	88 	-144000	-144000	0  	8883.15
-144000	89 	-144000	-144000	0  	8971.12
-144000	90 	-144000	-144000	0  	9057.01
-144000	91 	-144000	-144000	0  	9145.2 
-144000	92 	-144000	-144000	0  	9233.88
-144000	93 	-144000	-144000	0  	9320.74
-144000	94 	-144000	-144000	0  	9406.87
-144000	95 	-144000	-144000	0  	9490.03
-144000	96 	-144000	-144000	0  	9576.83
-144000	97 	-144000	-144000	0  	9663.29
-144000	98 	-144000	-144000	0  	9748.29
-144000	99 	-144000	-144000	0  	9835.33
avg    	gen	max    	min    	std	time   
-144000	0  	-144000	-144000	0  	199.496
-144000	1  	-144000	-144000	0  	304.727
-144000	2  	-144000	-144000	0  	411.285
-144000	3  	-144000	-144000	0  	518.99 
-144000	4  	-144000	-144000	0  	621.597
-144000	5  	-144000	-144000	0  	728.535
-144000	6  	-144000	-144000	0  	832.389
-144000	7  	-144000	-144000	0  	937.371
-144000	8  	-144000	-144000	0  	1037.95
-144000	9  	-144000	-144000	0  	1143.37
-144000	10 	-144000	-144000	0  	1250.92
-144000	11 	-144000	-144000	0  	1356.19
-144000	12 	-144000	-144000	0  	1462.27
-144000	13 	-144000	-144000	0  	1564.01
-144000	14 	-144000	-144000	0  	1664.61
-144000	15 	-144000	-144000	0  	1767   
-144000	16 	-144000	-144000	0  	1871.35
-144000	17 	-144000	-144000	0  	1975.77
-144000	18 	-144000	-144000	0  	2073.92
-144000	19 	-144000	-144000	0  	2174.31
-144000	20 	-144000	-144000	0  	2276.67
-144000	21 	-144000	-144000	0  	2378.33
-144000	22 	-144000	-144000	0  	2481.17
-144000	23 	-144000	-144000	0  	2583.08
-144000	24 	-144000	-144000	0  	2683.28
-144000	25 	-144000	-144000	0  	2785.73
-144000	26 	-144000	-144000	0  	2885.47
-144000	27 	-144000	-144000	0  	2985.39
-144000	28 	-144000	-144000	0  	3088.7 
-144000	29 	-144000	-144000	0  	3191.53
-144000	30 	-144000	-144000	0  	3292.16
-144000	31 	-144000	-144000	0  	3388.85
-144000	32 	-144000	-144000	0  	3488.38
-144000	33 	-144000	-144000	0  	3587.66
-144000	34 	-144000	-144000	0  	3690.19
-144000	35 	-144000	-144000	0  	3790.05
-144000	36 	-144000	-144000	0  	3891.65
-144000	37 	-144000	-144000	0  	3988.92
-144000	38 	-144000	-144000	0  	4089.24
-144000	39 	-144000	-144000	0  	4187.51
-144000	40 	-144000	-144000	0  	4284.51
-144000	41 	-144000	-144000	0  	4377.5 
-144000	42 	-144000	-144000	0  	4472.6 
-144000	43 	-144000	-144000	0  	4569.17
-144000	44 	-144000	-144000	0  	4663.3 
-144000	45 	-144000	-144000	0  	4759.29
-144000	46 	-144000	-144000	0  	4849.8 
-144000	47 	-144000	-144000	0  	4946.12
-144000	48 	-144000	-144000	0  	5041.52
-144000	49 	-144000	-144000	0  	5134.55
-144000	50 	-144000	-144000	0  	5230.74
-144000	51 	-144000	-144000	0  	5325.54
-144000	52 	-144000	-144000	0  	5417.16
-144000	53 	-144000	-144000	0  	5507.9 
-144000	54 	-144000	-144000	0  	5603.51
-144000	55 	-144000	-144000	0  	5693.14
-144000	56 	-144000	-144000	0  	5784.43
-144000	57 	-144000	-144000	0  	5876.43
-144000	58 	-144000	-144000	0  	5967.3 
-144000	59 	-144000	-144000	0  	6060.01
-144000	60 	-144000	-144000	0  	6154.41
-144000	61 	-144000	-144000	0  	6243.43
-144000	62 	-144000	-144000	0  	6332.14
-144000	63 	-144000	-144000	0  	6424.69
-144000	64 	-144000	-144000	0  	6514.78
-144000	65 	-144000	-144000	0  	6604.82
-144000	66 	-144000	-144000	0  	6692.21
-144000	67 	-144000	-144000	0  	6782.4 
-144000	68 	-144000	-144000	0  	6873.9 
-144000	69 	-144000	-144000	0  	6961.82
-144000	70 	-144000	-144000	0  	7050.83
-144000	71 	-144000	-144000	0  	7139.99
-144000	72 	-144000	-144000	0  	7232.64
-144000	73 	-144000	-144000	0  	7323.94
-144000	74 	-144000	-144000	0  	7410.5 
-144000	75 	-144000	-144000	0  	7500.77
-144000	76 	-144000	-144000	0  	7588.97
-144000	77 	-144000	-144000	0  	7679.51
-144000	78 	-144000	-144000	0  	7768.86
-144000	79 	-144000	-144000	0  	7860.77
-144000	80 	-144000	-144000	0  	7949.9 
-144000	81 	-144000	-144000	0  	8039.75
-144000	82 	-144000	-144000	0  	8127.77
-144000	83 	-144000	-144000	0  	8213.79
-144000	84 	-144000	-144000	0  	8303.52
-144000	85 	-144000	-144000	0  	8388.54
-144000	86 	-144000	-144000	0  	8475.69
-144000	87 	-144000	-144000	0  	8564.58
-144000	88 	-144000	-144000	0  	8650.67
-144000	89 	-144000	-144000	0  	8736.74
-144000	90 	-144000	-144000	0  	8826.09
-144000	91 	-144000	-144000	0  	8910.47
-144000	92 	-144000	-144000	0  	8995.5 
-144000	93 	-144000	-144000	0  	9078   
-144000	94 	-144000	-144000	0  	9163.32
-144000	95 	-144000	-144000	0  	9247.94
-144000	96 	-144000	-144000	0  	9333.07
-144000	97 	-144000	-144000	0  	9413.68
-144000	98 	-144000	-144000	0  	9496.98
-144000	99 	-144000	-144000	0  	9580.52
avg    	gen	max    	min    	std	time   
-144000	0  	-144000	-144000	0  	202.102
-144000	1  	-144000	-144000	0  	309.706
-144000	2  	-144000	-144000	0  	414.604
-144000	3  	-144000	-144000	0  	522.473
-144000	4  	-144000	-144000	0  	626.609
-144000	5  	-144000	-144000	0  	735.768
-144000	6  	-144000	-144000	0  	843.973
-144000	7  	-144000	-144000	0  	946.304
-144000	8  	-144000	-144000	0  	1049.83
-144000	9  	-144000	-144000	0  	1154   
-144000	10 	-144000	-144000	0  	1260.72
-144000	11 	-144000	-144000	0  	1365.64
-144000	12 	-144000	-144000	0  	1472.98
-144000	13 	-144000	-144000	0  	1577.05
-144000	14 	-144000	-144000	0  	1683.36
-144000	15 	-144000	-144000	0  	1786.2 
-144000	16 	-144000	-144000	0  	1887.65
-144000	17 	-144000	-144000	0  	1992.71
-144000	18 	-144000	-144000	0  	2097.65
-144000	19 	-144000	-144000	0  	2203.72
-144000	20 	-144000	-144000	0  	2305.27
-144000	21 	-144000	-144000	0  	2408.81
-144000	22 	-144000	-144000	0  	2517.24
-144000	23 	-144000	-144000	0  	2616.9 
-144000	24 	-144000	-144000	0  	2716.91
-144000	25 	-144000	-144000	0  	2819.79
-144000	26 	-144000	-144000	0  	2923.73
-144000	27 	-144000	-144000	0  	3028.27
-144000	28 	-144000	-144000	0  	3131.19
-144000	29 	-144000	-144000	0  	3236.01
-144000	30 	-144000	-144000	0  	3338.39
-144000	31 	-144000	-144000	0  	3438.73
-144000	32 	-144000	-144000	0  	3542.61
-144000	33 	-144000	-144000	0  	3648.08
-144000	34 	-144000	-144000	0  	3752.29
-144000	35 	-144000	-144000	0  	3854.27
-144000	36 	-144000	-144000	0  	3957.73
-144000	37 	-144000	-144000	0  	4056.73
-144000	38 	-144000	-144000	0  	4157.64
-144000	39 	-144000	-144000	0  	4258.79
-144000	40 	-144000	-144000	0  	4359.04
-144000	41 	-144000	-144000	0  	4456.11
-144000	42 	-144000	-144000	0  	4559.16
-144000	43 	-144000	-144000	0  	4658.6 
-144000	44 	-144000	-144000	0  	4756.65
-144000	45 	-144000	-144000	0  	4859.08
-144000	46 	-144000	-144000	0  	4959.28
-144000	47 	-144000	-144000	0  	5057.81
-144000	48 	-144000	-144000	0  	5157.75
-144000	49 	-144000	-144000	0  	5255.42
-144000	50 	-144000	-144000	0  	5354.21
-144000	51 	-144000	-144000	0  	5448.62
-144000	52 	-144000	-144000	0  	5543.89
-144000	53 	-144000	-144000	0  	5643.4 
-144000	54 	-144000	-144000	0  	5745.01
-144000	55 	-144000	-144000	0  	5843.61
-144000	56 	-144000	-144000	0  	5944.71
-144000	57 	-144000	-144000	0  	6044.82
-144000	58 	-144000	-144000	0  	6144.28
-144000	59 	-144000	-144000	0  	6241.05
-144000	60 	-144000	-144000	0  	6339.91
-144000	61 	-144000	-144000	0  	6440.68
-144000	62 	-144000	-144000	0  	6537.91
-144000	63 	-144000	-144000	0  	6631.59
-144000	64 	-144000	-144000	0  	6730.55
-144000	65 	-144000	-144000	0  	6827.34
-144000	66 	-144000	-144000	0  	6922.12
-144000	67 	-144000	-144000	0  	7017.73
-144000	68 	-144000	-144000	0  	7114.96
-144000	69 	-144000	-144000	0  	7207.62
-144000	70 	-144000	-144000	0  	7301.66
-144000	71 	-144000	-144000	0  	7398.72
-144000	72 	-144000	-144000	0  	7493.21
-144000	73 	-144000	-144000	0  	7586.02
-144000	74 	-144000	-144000	0  	7679.6 
-144000	75 	-144000	-144000	0  	7770.3 
-144000	76 	-144000	-144000	0  	7858.84
-144000	77 	-144000	-144000	0  	7952.59
-144000	78 	-144000	-144000	0  	8043.26
-144000	79 	-144000	-144000	0  	8135.03
-144000	80 	-144000	-144000	0  	8226.02
-144000	81 	-144000	-144000	0  	8318.04
-144000	82 	-144000	-144000	0  	8408.61
-144000	83 	-144000	-144000	0  	8500.24
-144000	84 	-144000	-144000	0  	8597.23
-144000	85 	-144000	-144000	0  	8686.26
-144000	86 	-144000	-144000	0  	8775.58
-144000	87 	-144000	-144000	0  	8868.61
-144000	88 	-144000	-144000	0  	8958.6 
-144000	89 	-144000	-144000	0  	9049.31
-144000	90 	-144000	-144000	0  	9140.07
-144000	91 	-144000	-144000	0  	9232.87
-144000	92 	-144000	-144000	0  	9326.63
-144000	93 	-144000	-144000	0  	9418.75
-144000	94 	-144000	-144000	0  	9511.57
-144000	95 	-144000	-144000	0  	9600.17
-144000	96 	-144000	-144000	0  	9691.63
-144000	97 	-144000	-144000	0  	9784.73
-144000	98 	-144000	-144000	0  	9872.63
-144000	99 	-144000	-144000	0  	9966.15
avg    	gen	max    	min    	std	time   
-144000	0  	-144000	-144000	0  	199.412
-144000	1  	-144000	-144000	0  	309.325
-144000	2  	-144000	-144000	0  	418.167
-144000	3  	-144000	-144000	0  	526.633
-144000	4  	-144000	-144000	0  	631.245
-144000	5  	-144000	-144000	0  	740.271
-144000	6  	-144000	-144000	0  	843.003
