% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.707168231e+01 +3.707168231e+01 +2.013168231e+01 +2.013168231e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
5 +3.360181980e+01 +3.360181980e+01 +1.666181980e+01 +1.666181980e+01 +9.4987e-01 +4.8595e-01 +4.7709e-02 +6.0855e-01 +1.5781e-01 +8.0351e-01 +9.4889e-01 +7.8219e-01 +6.6931e-01 +6.9927e-01 +8.3863e-02 +9.4678e-01 +6.4089e-01 +1.8116e-01 +6.2833e-01 +1.1802e-01 +4.5074e-01 +1.6539e-02 +6.0913e-01 +4.4465e-01
6 +3.182327780e+01 +3.182327780e+01 +1.488327780e+01 +1.488327780e+01 +9.9403e-01 +4.4311e-01 +3.8842e-01 +3.4733e-03 +9.5259e-01 +9.6688e-03 +6.7554e-01 +9.4972e-01 +8.9896e-02 +1.1471e-01 +1.9664e-01 +5.7223e-01 +7.9517e-01 +1.4975e-01 +4.5582e-01 +6.7660e-01 +1.3419e-01 +3.8801e-01 +2.1207e-01 +3.9777e-01
18 +2.913189148e+01 +2.913189148e+01 +1.219189148e+01 +1.219189148e+01 +1.6551e-01 +6.8245e-01 +2.0436e-02 +3.1817e-01 +9.8783e-01 +6.5412e-01 +4.3025e-01 +9.8921e-01 +9.4529e-01 +5.2871e-01 +4.8413e-01 +6.1954e-01 +1.4970e-01 +6.1748e-01 +7.4988e-02 +8.1343e-01 +4.0758e-01 +8.8869e-01 +4.1598e-01 +2.2755e-01
57 +2.635559386e+01 +2.635559386e+01 +9.415593858e+00 +9.415593858e+00 +1.9827e-01 +1.6691e-01 +2.1602e-01 +5.8647e-01 +8.2983e-01 +6.7546e-01 +7.5021e-03 +8.9158e-01 +8.8733e-01 +1.8337e-01 +8.7456e-01 +8.4653e-01 +3.8397e-01 +1.3446e-01 +2.4095e-01 +1.6977e-01 +5.1695e-01 +1.9297e-01 +6.6993e-01 +7.4193e-01
72 +2.524994834e+01 +2.524994834e+01 +8.309948340e+00 +8.309948340e+00 +5.4016e-01 +6.6333e-01 +3.1112e-02 +3.4321e-01 +4.7804e-01 +4.6617e-01 +9.5338e-01 +1.2376e-01 +3.0446e-01 +3.3608e-02 +7.2274e-01 +4.0371e-01 +5.5709e-01 +5.9486e-02 +2.7826e-01 +6.6042e-01 +3.6383e-01 +7.4082e-01 +2.7455e-02 +7.4492e-01
123 +2.464782350e+01 +2.464782350e+01 +7.707823505e+00 +7.707823505e+00 +5.2632e-01 +3.1597e-01 +4.4084e-01 +1.5974e-01 +8.6015e-01 +9.4442e-01 +9.4045e-01 +8.0533e-01 +5.9105e-01 +8.8269e-01 +9.1537e-01 +4.3898e-01 +1.0032e-01 +1.2001e-01 +6.2042e-01 +7.1920e-02 +1.5217e-01 +9.4447e-01 +4.7685e-01 +3.2274e-01
315 +2.241404135e+01 +2.241404135e+01 +5.474041350e+00 +5.474041350e+00 +5.4600e-01 +2.8009e-01 +3.0162e-01 +5.6465e-01 +6.1844e-01 +9.7245e-01 +2.8640e-01 +8.9536e-01 +4.9096e-01 +1.4553e-01 +8.1330e-01 +8.0935e-01 +5.2996e-02 +9.0437e-01 +9.7469e-01 +5.9251e-01 +9.2040e-01 +9.7919e-01 +5.9308e-03 +7.9489e-01
485 +2.180039772e+01 +2.180039772e+01 +4.860397717e+00 +4.860397717e+00 +4.4312e-01 +2.3453e-01 +4.4057e-01 +6.5501e-02 +5.8578e-01 +4.0284e-01 +7.7721e-01 +5.3305e-01 +9.7146e-02 +3.7938e-01 +6.6721e-01 +6.8341e-01 +5.4432e-01 +2.5373e-01 +9.8320e-01 +5.2959e-01 +3.8386e-01 +9.4036e-01 +8.2061e-02 +6.5980e-01
782 +1.999924722e+01 +1.999924722e+01 +3.059247223e+00 +3.059247223e+00 +7.0991e-01 +1.0469e-01 +9.9297e-02 +1.4433e-01 +9.9071e-01 +3.9782e-01 +8.5737e-01 +8.9536e-01 +4.9096e-01 +1.4553e-01 +8.1330e-01 +8.0935e-01 +5.2996e-02 +9.0437e-01 +9.7469e-01 +5.9251e-01 +9.2040e-01 +9.7919e-01 +5.9308e-03 +7.9489e-01
1614 +1.938262714e+01 +1.938262714e+01 +2.442627136e+00 +2.442627136e+00 +4.4233e-01 +3.2750e-01 +5.3747e-01 +6.8929e-01 +4.2224e-01 +9.0708e-01 +2.8699e-01 +1.2466e-01 +9.2720e-01 +1.0809e-01 +9.9776e-01 +8.4869e-02 +4.8325e-01 +2.1281e-02 +8.6205e-01 +7.0516e-01 +7.4778e-01 +8.8481e-01 +2.3308e-01 +7.3965e-01
9293 +1.884961929e+01 +1.884961929e+01 +1.909619292e+00 +1.909619292e+00 +1.6551e-01 +6.8245e-01 +2.0436e-02 +3.1817e-01 +9.8783e-01 +6.5412e-01 +4.3025e-01 +9.9002e-01 +9.4529e-01 +5.2871e-01 +8.9625e-01 +3.2682e-01 +1.9105e-01 +3.3078e-03 +8.4012e-01 +2.1007e-01 +9.3605e-01 +8.7947e-01 +6.1657e-01 +3.5270e-01
18748 +1.740212478e+01 +1.740212478e+01 +4.621247776e-01 +4.621247776e-01 +6.4018e-01 +8.9641e-01 +5.6391e-02 +7.3252e-01 +5.1711e-01 +9.8383e-01 +4.9647e-01 +1.2957e-01 +3.8805e-01 +3.3407e-01 +4.0925e-01 +4.6534e-01 +4.2793e-01 +2.1281e-02 +8.6205e-01 +7.2715e-01 +8.4048e-01 +5.6992e-01 +1.5823e-01 +4.3056e-01
41462 +1.698995180e+01 +1.698995180e+01 +4.995179869e-02 +4.995179869e-02 +6.4018e-01 +8.9641e-01 +5.6391e-02 +7.3252e-01 +5.1711e-01 +9.8383e-01 +4.9647e-01 +1.2957e-01 +3.8805e-01 +3.3407e-01 +4.0925e-01 +4.6534e-01 +4.2793e-01 +2.1281e-02 +8.6205e-01 +7.2715e-01 +8.4048e-01 +6.2432e-01 +3.0299e-01 +4.0432e-01
45364 +1.690771040e+01 +1.690771040e+01 -3.228960024e-02 -3.228960024e-02 +6.4018e-01 +8.9641e-01 +5.6391e-02 +7.3252e-01 +5.1711e-01 +9.8383e-01 +4.9647e-01 +1.2957e-01 +3.8805e-01 +3.3407e-01 +4.0925e-01 +4.6534e-01 +4.2793e-01 +2.1281e-02 +8.6205e-01 +7.2715e-01 +8.4048e-01 +6.2432e-01 +3.0299e-01 +7.4401e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.544776293e+01 +1.544776293e+01 +3.425776293e+01 +3.425776293e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.009839629e+01 +1.009839629e+01 +2.890839629e+01 +2.890839629e+01 +2.9147e-01 +1.2425e-01 +7.2573e-01 +5.6697e-02 +8.8028e-01 +4.3679e-01 +8.0847e-01 +2.8733e-01 +1.1713e-01 +6.6501e-01 +7.0649e-01 +3.0358e-01 +1.4478e-01 +5.8346e-02 +3.9926e-01 +1.1811e-01 +5.6890e-01 +9.6788e-01 +4.6013e-01 +6.7953e-01
15 +7.862509003e+00 +7.862509003e+00 +2.667250900e+01 +2.667250900e+01 +5.0642e-01 +2.4816e-01 +7.9528e-01 +2.0286e-01 +1.3012e-01 +4.1945e-01 +6.2146e-01 +9.7139e-01 +1.5587e-01 +2.3471e-02 +3.4511e-01 +8.2470e-01 +9.8736e-01 +1.0540e-01 +4.4076e-01 +2.7281e-01 +2.5458e-02 +2.8441e-02 +7.4948e-01 +3.4662e-01
83 +7.747017199e+00 +7.747017199e+00 +2.655701720e+01 +2.655701720e+01 +2.4454e-01 +9.6949e-01 +6.9476e-01 +4.8750e-01 +1.7523e-01 +3.8809e-01 +6.8158e-01 +8.7228e-01 +5.0360e-02 +1.2160e-02 +2.2068e-01 +3.5907e-01 +8.5877e-02 +3.8990e-01 +5.6130e-01 +8.7246e-01 +2.9488e-01 +3.8696e-01 +2.8018e-01 +9.3438e-01
463 +7.337082213e+00 +7.337082213e+00 +2.614708221e+01 +2.614708221e+01 +5.8892e-01 +3.0124e-01 +1.2728e-01 +1.4897e-01 +4.6351e-01 +9.2860e-01 +8.6110e-01 +7.2345e-01 +5.4207e-02 +3.1949e-01 +9.5757e-02 +4.3746e-01 +1.1507e-01 +7.2501e-01 +3.2202e-01 +4.8392e-02 +4.2153e-01 +8.2474e-01 +7.2973e-01 +8.1606e-01
1849 +6.967885072e+00 +6.967885072e+00 +2.577788507e+01 +2.577788507e+01 +1.1733e-01 +3.9804e-01 +5.6310e-01 +8.0126e-01 +7.3188e-01 +3.6022e-02 +9.3625e-01 +7.9789e-01 +2.2009e-01 +6.1452e-01 +6.1553e-02 +9.7919e-01 +9.3330e-01 +1.2910e-01 +2.6430e-01 +8.7471e-02 +3.0712e-01 +7.5697e-01 +6.7762e-01 +4.5516e-01
3780 +6.724391323e+00 +6.724391323e+00 +2.553439132e+01 +2.553439132e+01 +2.6116e-01 +2.2473e-01 +5.6310e-01 +8.0126e-01 +7.3188e-01 +3.6022e-02 +9.3625e-01 +7.9789e-01 +2.2009e-01 +6.1452e-01 +6.1553e-02 +9.7919e-01 +9.3330e-01 +1.2910e-01 +2.6430e-01 +8.7471e-02 +3.0712e-01 +7.5697e-01 +6.7762e-01 +4.5516e-01
5346 +6.466857458e+00 +6.466857458e+00 +2.527685746e+01 +2.527685746e+01 +8.4551e-01 +5.8930e-02 +7.5802e-01 +6.5760e-01 +9.6019e-01 +4.7328e-01 +6.6418e-01 +7.5725e-01 +6.7918e-01 +3.1069e-02 +9.8092e-01 +2.0000e-01 +1.7602e-01 +4.9058e-01 +1.1478e-01 +2.1811e-01 +6.3280e-01 +7.2540e-01 +7.9056e-01 +5.2081e-01
20960 +6.301929763e+00 +6.301929763e+00 +2.511192976e+01 +2.511192976e+01 +6.0509e-01 +4.7681e-01 +6.8207e-01 +2.0230e-01 +9.6019e-01 +4.3148e-01 +8.3782e-01 +2.8912e-01 +6.1167e-01 +9.4672e-01 +8.6926e-01 +8.3159e-01 +8.0058e-01 +4.7836e-01 +1.7513e-01 +7.2712e-01 +2.6428e-01 +9.7600e-01 +1.3691e-02 +9.8205e-01
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.571434203e+01 +3.571434203e+01 +3.088643420e+02 +3.088643420e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
