% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
620 +6.038769255e-01 +6.038769255e-01 +8.008387693e+01 +8.008387693e+01 +2.7916e-01 -9.9751e-01 -5.9870e-01 +2.0402e+00 -2.9436e+00 +6.7502e-01 -3.3423e-02 +3.2856e-01 -1.8035e+00 -3.0666e+00 -3.9783e+00 +2.1742e+00 +1.1796e+00 -1.7052e-01 +3.6014e+00 +2.5070e+00 -7.1265e-02 -3.8384e+00 +2.6920e+00 +1.2757e+00
673 +2.918517958e-01 +2.918517958e-01 +7.977185180e+01 +7.977185180e+01 +1.8080e-01 -1.2489e+00 -7.3910e-01 +2.0520e+00 -2.8156e+00 +6.1508e-01 -5.2355e-02 +4.1046e-02 -1.6117e+00 -3.0507e+00 -3.7658e+00 +2.0348e+00 +1.0822e+00 -9.2916e-02 +3.6382e+00 +2.6484e+00 +1.3768e-01 -4.0050e+00 +2.5564e+00 +1.2421e+00
702 +1.661634012e-01 +1.661634012e-01 +7.964616340e+01 +7.964616340e+01 +2.1287e-01 -1.2195e+00 -6.9027e-01 +2.0916e+00 -2.7566e+00 +5.7549e-01 -1.5750e-01 -7.6802e-03 -1.4910e+00 -2.9893e+00 -3.8138e+00 +1.9702e+00 +1.0739e+00 -2.1452e-01 +3.6537e+00 +2.8697e+00 -5.8262e-02 -4.0407e+00 +2.5202e+00 +1.3856e+00
738 +1.481104708e-01 +1.481104708e-01 +7.962811047e+01 +7.962811047e+01 +1.8857e-01 -1.2598e+00 -5.9244e-01 +2.0250e+00 -2.5888e+00 +3.5421e-01 -2.8179e-01 +3.4965e-02 -1.4768e+00 -3.0911e+00 -3.8198e+00 +2.0783e+00 +1.1249e+00 -1.0585e-02 +3.7136e+00 +2.9612e+00 -1.4572e-01 -3.9110e+00 +2.4380e+00 +1.3044e+00
752 +9.697754855e-02 +9.697754855e-02 +7.957697755e+01 +7.957697755e+01 +1.7933e-01 -1.2729e+00 -7.4874e-01 +1.9734e+00 -2.7176e+00 +3.5806e-01 -2.1553e-01 +2.0356e-02 -1.5504e+00 -3.0991e+00 -3.8706e+00 +1.9899e+00 +1.1335e+00 -6.9982e-03 +3.7016e+00 +2.8911e+00 -6.7620e-02 -3.8110e+00 +2.2737e+00 +1.3450e+00
845 +4.718287073e-02 +4.718287073e-02 +7.952718287e+01 +7.952718287e+01 +2.1966e-01 -1.2164e+00 -7.5739e-01 +2.0129e+00 -2.7541e+00 +3.7234e-01 -4.5109e-02 +1.2662e-01 -1.5831e+00 -3.0042e+00 -3.8474e+00 +2.0553e+00 +1.0388e+00 -6.4367e-02 +3.6724e+00 +2.9701e+00 -7.3429e-02 -3.9208e+00 +2.3159e+00 +1.3464e+00
867 +3.793063738e-02 +3.793063738e-02 +7.951793064e+01 +7.951793064e+01 +2.1047e-01 -1.1470e+00 -7.5974e-01 +1.9516e+00 -2.7254e+00 +4.1668e-01 -1.0184e-01 +1.2314e-01 -1.6693e+00 -2.9865e+00 -3.8771e+00 +2.0600e+00 +1.0384e+00 -2.1355e-02 +3.6102e+00 +2.9715e+00 -9.0525e-02 -3.9752e+00 +2.2707e+00 +1.3501e+00
920 +2.074404532e-02 +2.074404532e-02 +7.950074405e+01 +7.950074405e+01 +2.4363e-01 -1.1374e+00 -7.3781e-01 +1.9245e+00 -2.6877e+00 +4.1409e-01 -6.6696e-02 +1.2328e-01 -1.6469e+00 -3.0339e+00 -3.8658e+00 +2.0356e+00 +1.1065e+00 +2.6593e-02 +3.6440e+00 +2.8864e+00 -8.7769e-02 -3.9397e+00 +2.3353e+00 +1.3653e+00
970 +1.481134026e-02 +1.481134026e-02 +7.949481134e+01 +7.949481134e+01 +2.3254e-01 -1.1279e+00 -6.9777e-01 +1.9291e+00 -2.7015e+00 +4.3364e-01 -1.0642e-01 +1.1915e-01 -1.6456e+00 -3.0500e+00 -3.8767e+00 +2.0447e+00 +1.0860e+00 -5.9684e-02 +3.6822e+00 +2.9123e+00 -7.4117e-02 -3.9894e+00 +2.3515e+00 +1.4081e+00
997 +8.768441498e-03 +8.768441498e-03 +7.948876844e+01 +7.948876844e+01 +2.2581e-01 -1.1471e+00 -7.0478e-01 +1.8982e+00 -2.6552e+00 +4.5699e-01 -9.1906e-02 +1.3605e-01 -1.6380e+00 -3.0625e+00 -3.8741e+00 +2.0290e+00 +1.0749e+00 -1.0356e-01 +3.6874e+00 +2.8751e+00 -9.4720e-02 -3.9176e+00 +2.3665e+00 +1.3595e+00
1049 +6.206805661e-03 +6.206805661e-03 +7.948620681e+01 +7.948620681e+01 +2.0301e-01 -1.1652e+00 -7.0751e-01 +1.8977e+00 -2.6736e+00 +4.2277e-01 -8.9962e-02 +1.2735e-01 -1.6528e+00 -3.0518e+00 -3.8585e+00 +2.0159e+00 +1.0951e+00 -8.3185e-02 +3.6663e+00 +2.8971e+00 -1.1374e-01 -3.9057e+00 +2.3621e+00 +1.3589e+00
1124 +3.777097777e-03 +3.777097777e-03 +7.948377710e+01 +7.948377710e+01 +2.3633e-01 -1.1700e+00 -7.0082e-01 +1.8983e+00 -2.6870e+00 +4.2978e-01 -1.1091e-01 +1.2108e-01 -1.6341e+00 -3.0399e+00 -3.8609e+00 +2.0147e+00 +1.0964e+00 -7.5973e-02 +3.6567e+00 +2.8957e+00 -1.0699e-01 -3.9203e+00 +2.3343e+00 +1.3612e+00
1189 +2.367182752e-03 +2.367182752e-03 +7.948236718e+01 +7.948236718e+01 +2.2837e-01 -1.1723e+00 -7.0284e-01 +1.9160e+00 -2.6868e+00 +4.3085e-01 -1.0557e-01 +1.1771e-01 -1.6294e+00 -3.0540e+00 -3.8513e+00 +2.0042e+00 +1.0795e+00 -9.5604e-02 +3.6439e+00 +2.9183e+00 -1.1987e-01 -3.9198e+00 +2.3506e+00 +1.3656e+00
1195 +1.559265433e-03 +1.559265433e-03 +7.948155927e+01 +7.948155927e+01 +2.3796e-01 -1.1749e+00 -7.0820e-01 +1.9244e+00 -2.6889e+00 +4.3233e-01 -1.0978e-01 +1.2707e-01 -1.6318e+00 -3.0521e+00 -3.8515e+00 +2.0113e+00 +1.0778e+00 -9.0615e-02 +3.6477e+00 +2.9192e+00 -1.1100e-01 -3.9254e+00 +2.3532e+00 +1.3581e+00
1219 +9.178041536e-04 +9.178041536e-04 +7.948091780e+01 +7.948091780e+01 +2.5032e-01 -1.1640e+00 -7.2254e-01 +1.9291e+00 -2.6927e+00 +4.3850e-01 -1.0989e-01 +1.2778e-01 -1.6303e+00 -3.0441e+00 -3.8509e+00 +2.0142e+00 +1.0753e+00 -8.5035e-02 +3.6494e+00 +2.9133e+00 -1.2106e-01 -3.9195e+00 +2.3503e+00 +1.3483e+00
1276 +5.901860451e-04 +5.901860451e-04 +7.948059019e+01 +7.948059019e+01 +2.5454e-01 -1.1555e+00 -7.2402e-01 +1.9218e+00 -2.6858e+00 +4.4479e-01 -1.1748e-01 +1.1240e-01 -1.6473e+00 -3.0397e+00 -3.8524e+00 +2.0155e+00 +1.0821e+00 -9.4040e-02 +3.6471e+00 +2.9047e+00 -1.2022e-01 -3.9191e+00 +2.3660e+00 +1.3546e+00
1305 +3.669841791e-04 +3.669841791e-04 +7.948036698e+01 +7.948036698e+01 +2.5013e-01 -1.1571e+00 -7.2051e-01 +1.9229e+00 -2.6849e+00 +4.4607e-01 -1.1419e-01 +1.1622e-01 -1.6397e+00 -3.0525e+00 -3.8454e+00 +2.0178e+00 +1.0779e+00 -9.1806e-02 +3.6471e+00 +2.9014e+00 -1.2307e-01 -3.9254e+00 +2.3604e+00 +1.3603e+00
1357 +2.407636099e-04 +2.407636099e-04 +7.948024076e+01 +7.948024076e+01 +2.5050e-01 -1.1538e+00 -7.2187e-01 +1.9242e+00 -2.6806e+00 +4.4266e-01 -1.1717e-01 +1.1699e-01 -1.6406e+00 -3.0466e+00 -3.8483e+00 +2.0193e+00 +1.0813e+00 -9.4459e-02 +3.6485e+00 +2.9089e+00 -1.2213e-01 -3.9264e+00 +2.3637e+00 +1.3632e+00
1414 +1.263192622e-04 +1.263192622e-04 +7.948012632e+01 +7.948012632e+01 +2.5701e-01 -1.1502e+00 -7.2579e-01 +1.9269e+00 -2.6806e+00 +4.3798e-01 -1.1787e-01 +1.2087e-01 -1.6394e+00 -3.0482e+00 -3.8561e+00 +2.0146e+00 +1.0887e+00 -8.6227e-02 +3.6483e+00 +2.9128e+00 -1.2568e-01 -3.9278e+00 +2.3627e+00 +1.3621e+00
