1: tournsize='10'
2: tournsize='97'
3: tournsize='83'
4: tournsize='212'
5: tournsize='61'
6: tournsize='177'
7: tournsize='34'
8: tournsize='144'
9: tournsize='21'
10: tournsize='33'
11: tournsize='12'
12: tournsize='55'
13: tournsize='18'
14: tournsize='109'
15: tournsize='192'
16: tournsize='110'
17: tournsize='209'
18: tournsize='31'
19: tournsize='95'
20: tournsize='84'
21: tournsize='63'
22: tournsize='87'
23: tournsize='51'
24: tournsize='11'
25: tournsize='96'
26: tournsize='60'
27: tournsize='211'
28: tournsize='19'
29: tournsize='32'
30: tournsize='197'
31: tournsize='88'
