"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1",1,0,0,4.93699872493744,184.795752167702,0,0,0,0
"2",2,0,0,3.08127389103174,184.796770344491,0,0,0,0
"3",3,0,0,3.48765802383423,184.796984624338,0,0,0,0
"4",4,0,0,3.41656702756882,184.798483554359,0,0,0,0
"5",5,0,0,3.21796628832817,184.804896058649,0,0,0,0
"6",6,0,0,3.6410351395607,184.823177014261,0,0,0,0
"7",7,0,0,3.24993504583836,184.823407558617,0,0,0,0
"8",8,0,0,3.06426610052586,184.83754313164,0,0,0,0
"9",9,0,0,3.38534241914749,184.842047542408,0,0,0,0
"10",10,0,0,4.44744968414307,184.877882118925,0,0,0,0
"11",11,0,0,3.02038496360183,184.879402345958,0,0,0,0
"12",12,0,0,3.44207245111465,184.882522745406,0,0,0,0
"13",13,0,0,3.21165150403976,184.885502247689,0,0,0,0
"14",14,0,0,3.5142537355423,184.920800516062,0,0,0,0
"15",15,0,0,3.13093928992748,184.922333176588,0,0,0,0
"16",16,0,0,3.30550462007523,185.14251895898,0,0,0,0
"17",17,0,0,3.22468315064907,187.129233375452,0,0,0,0
"18",18,0,0,3.66800308227539,843.617577790991,0,0,0,0
"19",19,0,0,3.11433236300945,843.620299548794,0,0,0,0
"20",20,0,0,3.27935895323753,2320.70854638272,0,0,0,0
"21",21,0,0,3.08018068224192,2514.43858551467,0,0,0,0
"22",22,0,0,4.77059483528137,2593.52442259567,0,0,0,0
"23",23,0,0,3.40832215547562,2593.5306478607,0,0,0,0
"24",24,0,0,3.10264340788126,2593.53365101753,0,0,0,0
"25",25,0,0,3.74451512098312,2593.53566474074,0,0,0,0
"26",26,0,0,3.0555740185082,2593.56123677108,0,0,0,0
"27",27,0,0,3.48340311646461,2593.60970229677,0,0,0,0
"28",28,0,0,3.37856668233871,2594.04040128256,0,0,0,0
"29",29,0,0,3.21936947107315,2666.31597319844,0,0,0,0
"30",30,0,0,3.33861175179482,2695.72671042164,0,0,0,0
"31",31,0,0,4.87279999256134,3505.22570904834,0,0,0,0
"32",32,0,0,3.33505162596703,3505.2274218889,0,0,0,0
"33",33,0,0,3.43581146001816,3505.23387827,0,0,0,0
"34",34,0,0,3.74374938011169,3505.31713582475,0,0,0,0
"35",35,0,0,3.10138932615519,3505.3527204112,0,0,0,0
"36",36,0,0,3.00073446199531,3505.70056718871,0,0,0,0
"37",37,0,0,4.30810701847076,3508.59209561677,0,0,0,0
"38",38,0,0,4.10458707809448,3508.74792513033,0,0,0,0
"39",39,0,0,3.63422536849976,3508.93308349153,0,0,0,0
"40",40,0,0,3.76208865642548,4220.32497215955,0,0,0,0
"41",41,0,0,3.22420382499695,4278.90021105457,0,0,0,0
"42",42,0,0,3.30597430467606,4654.07421386486,0,0,0,0
"43",43,0,0,3.22459995746613,5167.19536480602,0,0,0,0
"44",44,0,0,3.10604088753462,5216.6262227179,0,0,0,0
"45",45,0,0,4.00034844875336,5233.29076664079,0,0,0,0
"46",46,0,0,3.17629852890968,5310.85060745918,0,0,0,0
"47",47,0,0,3.29584422707558,5397.59931905857,0,0,0,0
"48",48,0,0,3.13110674917698,5542.50180005947,0,0,0,0
"49",49,0,0,3.40179508924484,5542.50898694798,0,0,0,0
"50",50,0,0,3.21623334288597,5788.27325890878,0,0,0,0
"51",51,0,0,3.39854645729065,6139.84250582724,0,0,0,0
"52",52,0,0,3.11263958364725,6265.90043160962,0,0,0,0
"53",53,0,0,3.00690638134256,6834.65286946652,0,0,0,0
"54",54,0,0,3.02967318333685,6902.79968306886,0,0,0,0
"55",55,0,0,3.25247001647949,7920.96522215307,0,0,0,0
"56",56,0,0,3.0930592790246,7981.2939109399,0,0,0,0
"57",57,0,0,3.04299938678741,8207.08759911878,0,0,0,0
"58",58,0,0,3.20184715092182,8233.13877216192,0,0,0,0
"59",59,0,0,4.12402963638306,9170.51056265581,0,0,0,0
"60",60,0,0,3.61403930187225,9170.51099900091,0,0,0,0
"61",61,0,0,3.56979215145111,9170.51565295798,0,0,0,0
"62",62,0,0,3.01190969906747,9170.51746037692,0,0,0,0
"63",63,0,0,3.24920812249184,9170.53291774962,0,0,0,0
"64",64,0,0,3.07839758694172,9318.81567339675,0,0,0,0
"65",65,0,0,3.8709659576416,9318.81619909144,0,0,0,0
"66",66,0,0,5.10409998893738,9931.84791291583,0,0,0,0
"67",67,0,0,3.67822635173798,9931.84870858791,0,0,0,0
"68",68,0,0,3.19878599047661,9931.85051376225,0,0,0,0
"69",69,0,0,3.58715850114822,9931.85147319376,0,0,0,0
"70",70,0,0,3.03537103906274,9931.85442106794,0,0,0,0
"71",71,0,0,3.28973942995071,9931.8592277206,0,0,0,0
"72",72,0,0,3.41698548197746,9931.86143646936,0,0,0,0
"73",73,0,0,5.6111741065979,9931.87933703793,0,0,0,0
"74",74,0,0,3.74335408210754,9931.87951087662,0,0,0,0
"75",75,0,0,3.08548794686794,9931.88028862338,0,0,0,0
"76",76,0,0,4.03586792945862,9931.88058120181,0,0,0,0
"77",77,0,0,3.45964381098747,9931.88061787368,0,0,0,0
"78",78,0,0,3.04836038500071,9931.88141754344,0,0,0,0
"79",79,0,0,4.64407539367676,9931.88168135724,0,0,0,0
"80",80,0,0,3.44725567102432,9931.88179286057,0,0,0,0
"81",81,0,0,3.28498485684395,9931.88190795597,0,0,0,0
"82",82,0,0,3.58834993839264,9931.88210943883,0,0,0,0
"83",83,0,0,5.30056476593018,9931.88221732859,0,0,0,0
"84",84,0,0,3.26079294085503,9931.88260963334,0,0,0,0
"85",85,0,0,3.29970914125443,9931.88284517716,0,0,0,0
