"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1",1,0,0,4.93699872493744,4013.70096206665,0,0,0,0
"2",2,0,0,3.08127389103174,4013.70107541493,0,0,0,0
"3",3,0,0,3.48765802383423,4013.70584240627,0,0,0,0
"4",4,0,0,3.41656702756882,4013.70721897793,0,0,0,0
"5",5,0,0,3.21796628832817,4013.71557348701,0,0,0,0
"6",6,0,0,3.6410351395607,4013.71609367662,0,0,0,0
"7",7,0,0,3.24993504583836,4013.71732628513,0,0,0,0
"8",8,0,0,3.06426610052586,4013.72930228539,0,0,0,0
"9",9,0,0,3.38534241914749,4013.78954493492,0,0,0,0
"10",10,0,0,4.44744968414307,4013.79808350116,0,0,0,0
"11",11,0,0,3.02038496360183,4013.79836951183,0,0,0,0
"12",12,0,0,3.44207245111465,4013.80454847805,0,0,0,0
"13",13,0,0,3.21165150403976,4013.8405659988,0,0,0,0
"14",14,0,0,3.5142537355423,4014.43595551749,0,0,0,0
"15",15,0,0,3.13093928992748,4014.94731974043,0,0,0,0
"16",16,0,0,3.30550462007523,4014.96898005523,0,0,0,0
"17",17,0,0,3.22468315064907,4015.44791676509,0,0,0,0
"18",18,0,0,3.66800308227539,4050.2138595335,0,0,0,0
"19",19,0,0,3.11433236300945,4157.28360555258,0,0,0,0
"20",20,0,0,3.27935895323753,4611.91772179676,0,0,0,0
"21",21,0,0,3.08018068224192,4662.9962377685,0,0,0,0
"22",22,0,0,4.77059483528137,5245.70139216414,0,0,0,0
"23",23,0,0,3.40832215547562,5245.70199710608,0,0,0,0
"24",24,0,0,3.10264340788126,5245.70429508354,0,0,0,0
"25",25,0,0,3.74451512098312,5245.7218334053,0,0,0,0
"26",26,0,0,3.0555740185082,5245.76148400495,0,0,0,0
"27",27,0,0,3.48340311646461,5245.76317703601,0,0,0,0
"28",28,0,0,3.37856668233871,5246.34561530734,0,0,0,0
"29",29,0,0,3.21936947107315,5290.06400959187,0,0,0,0
"30",30,0,0,3.33861175179482,6335.39343775917,0,0,0,0
"31",31,0,0,4.87279999256134,6641.99498405956,0,0,0,0
"32",32,0,0,3.33505162596703,6641.99635665627,0,0,0,0
"33",33,0,0,3.43581146001816,6642.00019146351,0,0,0,0
"34",34,0,0,3.74374938011169,6642.00099854752,0,0,0,0
"35",35,0,0,3.10138932615519,6642.02329693999,0,0,0,0
"36",36,0,0,3.00073446199531,6642.09051830377,0,0,0,0
"37",37,0,0,4.30810701847076,6644.43251626904,0,0,0,0
"38",38,0,0,4.10458707809448,6644.43374381733,0,0,0,0
"39",39,0,0,3.63422536849976,6646.9505528324,0,0,0,0
"40",40,0,0,3.76208865642548,6647.12744859328,0,0,0,0
"41",41,0,0,3.22420382499695,6781.47904892068,0,0,0,0
"42",42,0,0,3.30597430467606,7486.70475243092,0,0,0,0
