"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1",1,0,0,4.93699872493744,1956.05969429016,0,0,0,0
"2",2,0,0,3.08127389103174,1956.06082916167,0,0,0,0
"3",3,0,0,3.48765802383423,1956.06321458501,0,0,0,0
"4",4,0,0,3.41656702756882,1956.07468596116,0,0,0,0
"5",5,0,0,3.21796628832817,2670.37671223762,0,0,0,0
"6",6,0,0,3.6410351395607,2848.19925332983,0,0,0,0
"7",7,0,0,3.24993504583836,2848.20003645085,0,0,0,0
"8",8,0,0,3.06426610052586,3021.09780683543,0,0,0,0
"9",9,0,0,3.38534241914749,3021.58660389964,0,0,0,0
"10",10,0,0,4.44744968414307,3685.14280611077,0,0,0,0
"11",11,0,0,3.02038496360183,3685.14371722101,0,0,0,0
"12",12,0,0,3.44207245111465,3685.14617317878,0,0,0,0
"13",13,0,0,3.21165150403976,3685.15153959585,0,0,0,0
"14",14,0,0,3.5142537355423,3685.17021921802,0,0,0,0
"15",15,0,0,3.13093928992748,3685.21165050571,0,0,0,0
"16",16,0,0,3.30550462007523,3685.41170016642,0,0,0,0
"17",17,0,0,3.22468315064907,3685.5240220254,0,0,0,0
"18",18,0,0,3.66800308227539,3685.52450354842,0,0,0,0
"19",19,0,0,3.11433236300945,4114.14727524096,0,0,0,0
"20",20,0,0,3.27935895323753,4116.80574200785,0,0,0,0
"21",21,0,0,3.08018068224192,4352.44239620822,0,0,0,0
"22",22,0,0,4.77059483528137,4778.35088436238,0,0,0,0
"23",23,0,0,3.40832215547562,4778.3596346207,0,0,0,0
"24",24,0,0,3.10264340788126,4778.36362498081,0,0,0,0
"25",25,0,0,3.74451512098312,4778.45320250561,0,0,0,0
"26",26,0,0,3.0555740185082,4779.92833410139,0,0,0,0
"27",27,0,0,3.48340311646461,5079.6696254615,0,0,0,0
"28",28,0,0,3.37856668233871,5270.09920835847,0,0,0,0
"29",29,0,0,3.21936947107315,5270.16230830727,0,0,0,0
"30",30,0,0,3.33861175179482,5270.26670816314,0,0,0,0
"31",31,0,0,4.87279999256134,5585.25157974604,0,0,0,0
"32",32,0,0,3.33505162596703,5585.25539282606,0,0,0,0
"33",33,0,0,3.43581146001816,5585.28684173634,0,0,0,0
"34",34,0,0,3.74374938011169,5586.2712328307,0,0,0,0
"35",35,0,0,3.10138932615519,5855.18207929336,0,0,0,0
"36",36,0,0,3.00073446199531,6587.50944609602,0,0,0,0
"37",37,0,0,4.30810701847076,6693.14615345488,0,0,0,0
