1: crossover='0.9', mutation='0.1', n_generations='100'
90: crossover='0.025996833028216315', mutation='0.9412347661492125', n_generations='82'
91: crossover='0.21327017722374997', mutation='0.9321858037311793', n_generations='55'
92: crossover='0.02590303300639596', mutation='0.8398288667510202', n_generations='199'
93: crossover='0.6275091135683709', mutation='0.3036888901413456', n_generations='71'
94: crossover='0.02516327777390548', mutation='0.8502946935561059', n_generations='71'
95: crossover='0.510816730040614', mutation='0.43563132694485474', n_generations='235'
96: crossover='0.024993600750531475', mutation='0.9513051087754759', n_generations='155'
97: crossover='0.7747768443651536', mutation='0.7230366430038092', n_generations='156'
98: crossover='0.024964778360456408', mutation='0.4784921031792624', n_generations='238'
99: crossover='0.9720748561314414', mutation='0.32066344725816587', n_generations='100'
100: crossover='0.02486330416442728', mutation='0.5488653888860807', n_generations='81'
101: crossover='0.97890450375369', mutation='0.35918821548807145', n_generations='208'
102: crossover='0.02476583427929513', mutation='0.9014353243279143', n_generations='116'
103: crossover='0.47132014579241144', mutation='0.9429614332376356', n_generations='219'
104: crossover='0.7127212898925809', mutation='0.035408752683238176', n_generations='81'
105: crossover='0.860723423636309', mutation='0.44667643400491563', n_generations='111'
106: crossover='0.5970417809288692', mutation='0.08499173975652696', n_generations='63'
107: crossover='0.9284947323191244', mutation='0.6802957228034991', n_generations='246'
108: crossover='0.10161723679237722', mutation='0.35389122072183987', n_generations='202'
109: crossover='0.8670522497442711', mutation='0.6588535816418067', n_generations='80'
110: crossover='0.07754647866996711', mutation='0.4515822792222344', n_generations='132'
111: crossover='0.9017460035586226', mutation='0.4955472072665389', n_generations='53'
112: crossover='0.05387747105452412', mutation='0.17170688402623246', n_generations='235'
113: crossover='0.17242164086285927', mutation='0.5537860413624285', n_generations='65'
114: crossover='0.10266944904744812', mutation='0.49864208622798234', n_generations='198'
115: crossover='0.7713247057746933', mutation='0.1324717531566153', n_generations='241'
116: crossover='0.10255032491946392', mutation='0.3176969693634045', n_generations='72'
117: crossover='0.2502003544287166', mutation='0.08453407308892769', n_generations='52'
118: crossover='0.10227034618206166', mutation='0.7084626526395172', n_generations='76'
119: crossover='0.5898036576629233', mutation='0.16419660601491215', n_generations='191'
120: crossover='0.04086052446983124', mutation='0.0188752048249613', n_generations='211'
121: crossover='0.8638299432834138', mutation='0.3653597306710942', n_generations='60'
122: crossover='0.0034177561036422555', mutation='0.8577759876171929', n_generations='162'
123: crossover='0.9873379573362989', mutation='0.3099361721988205', n_generations='222'
124: crossover='0.365683172172225', mutation='0.09821287592367478', n_generations='192'
125: crossover='0.10558992122679844', mutation='0.37800581868880145', n_generations='171'
126: crossover='0.857873299334667', mutation='0.09967551296086352', n_generations='147'
127: crossover='0.625696929031249', mutation='0.258129054027453', n_generations='250'
128: crossover='0.023034228152018388', mutation='0.1045690735383048', n_generations='219'
129: crossover='0.2001816549427986', mutation='0.9524512864710314', n_generations='176'
130: crossover='0.029264663839048244', mutation='0.1542849509415376', n_generations='160'
131: crossover='0.5936924692573818', mutation='0.41235427658853474', n_generations='228'
132: crossover='0.04031561881970058', mutation='0.4048355590890751', n_generations='143'
133: crossover='0.9990323109967753', mutation='0.3546383037981371', n_generations='72'
134: crossover='0.0032181103270808586', mutation='0.8371299154836526', n_generations='128'
135: crossover='0.43198614886636855', mutation='0.2258889383152013', n_generations='206'
136: crossover='0.005069129108586035', mutation='0.30249630658688265', n_generations='152'
137: crossover='0.8419769927904707', mutation='0.3718884462938905', n_generations='209'
138: crossover='0.7335347763081309', mutation='0.0989430429359408', n_generations='215'
139: crossover='0.9445962014253079', mutation='0.5016498197785784', n_generations='83'
140: crossover='0.21541960613793287', mutation='0.15369981367562757', n_generations='247'
141: crossover='0.5978208320226389', mutation='0.39279079708549014', n_generations='100'
142: crossover='0.9610476568919307', mutation='0.15239528099905097', n_generations='202'
143: crossover='0.6367713414009195', mutation='0.4013279678226741', n_generations='71'
144: crossover='0.12116147104907471', mutation='0.15349650928908953', n_generations='229'
145: crossover='0.6960614412397698', mutation='0.9035415882678633', n_generations='207'
146: crossover='0.17229005633733763', mutation='0.1510554925116775', n_generations='140'
147: crossover='0.9639763504373728', mutation='0.28594161626036385', n_generations='246'
148: crossover='0.24973499296323431', mutation='0.10574757638851895', n_generations='232'
149: crossover='0.511060034074255', mutation='0.4813819182286675', n_generations='54'
150: crossover='0.28351229000120914', mutation='0.09821287592367478', n_generations='187'
151: crossover='0.2569048240580575', mutation='0.5533229757377097', n_generations='232'
152: crossover='0.006033587262174289', mutation='0.987802278480195', n_generations='200'
153: crossover='0.26267887057294237', mutation='0.33498076209397376', n_generations='244'
154: crossover='0.2415624497337252', mutation='0.14896394839317162', n_generations='144'
155: crossover='0.8493591986487734', mutation='0.8015673641214853', n_generations='196'
156: crossover='0.24852068211664846', mutation='0.12904937333572486', n_generations='165'
