1: params='algorithm/gaParams.txt', region='EastJapan', tournsize='3', year='2006'
2: params='algorithm/gaParams.txt', region='EastJapan', tournsize='10', year='2006'
3: params='algorithm/gaParams.txt', region='EastJapan', tournsize='50', year='2006'
4: params='algorithm/gaParams.txt', region='EastJapan', tournsize='36', year='2006'
5: params='algorithm/gaParams.txt', region='EastJapan', tournsize='33', year='2006'
6: params='algorithm/gaParams.txt', region='EastJapan', tournsize='32', year='2006'
7: params='algorithm/gaParams.txt', region='EastJapan', tournsize='30', year='2006'
8: params='algorithm/gaParams.txt', region='EastJapan', tournsize='12', year='2006'
9: params='algorithm/gaParams.txt', region='EastJapan', tournsize='6', year='2006'
