% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.977281728e+01 +8.977281728e+01 +1.692528173e+02 +1.692528173e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
7 +8.832302107e+01 +8.832302107e+01 +1.678030211e+02 +1.678030211e+02 +2.0561e-01 +5.3522e-01 +4.1922e-01 +2.4411e-01 +7.7495e-01 +2.6198e-01 +4.6376e-01 +2.1581e-01 +3.0711e-02 +3.4733e-01 +1.4872e-01 +8.0566e-01 +2.5246e-01 +4.6991e-01 +8.4480e-01 +4.1925e-01 +1.5340e-01 +1.9083e-01 +4.3013e-01 +1.9561e-01
18 +8.518613337e+01 +8.518613337e+01 +1.646661334e+02 +1.646661334e+02 +7.7934e-01 +3.5829e-01 +4.0452e-02 +4.0967e-01 +2.2541e-01 +7.5632e-02 +3.9895e-01 +7.6594e-01 +8.5639e-01 +8.3016e-02 +3.9246e-03 +8.8890e-01 +9.0311e-01 +6.5215e-01 +6.4861e-01 +4.7226e-02 +6.4222e-02 +2.7422e-03 +2.1590e-01 +7.1050e-01
167 +8.241685175e+01 +8.241685175e+01 +1.618968517e+02 +1.618968517e+02 +6.0004e-01 +5.1585e-01 +3.9185e-01 +8.3026e-01 +1.0497e-01 +7.4001e-01 +2.1361e-02 +8.3919e-01 +1.7353e-01 +1.3760e-01 +3.2237e-01 +3.7061e-01 +2.1060e-01 +8.9133e-01 +9.5158e-01 +7.4147e-01 +8.7915e-01 +2.1465e-01 +7.0802e-01 +6.6795e-01
242 +8.107694954e+01 +8.107694954e+01 +1.605569495e+02 +1.605569495e+02 +1.6273e-01 +1.2981e-01 +1.9632e-01 +7.5807e-01 +5.8997e-02 +9.2887e-01 +1.4012e-01 +2.7419e-01 +1.9648e-01 +2.4494e-01 +8.0114e-02 +7.1720e-01 +5.3875e-01 +6.8159e-01 +7.8671e-01 +7.7081e-01 +4.0315e-01 +5.7625e-01 +5.7964e-01 +5.9179e-01
6444 +7.920318179e+01 +7.920318179e+01 +1.586831818e+02 +1.586831818e+02 +2.1040e-01 +5.3693e-01 +7.8946e-01 +7.3017e-01 +2.6118e-01 +9.4537e-01 +5.9760e-01 +6.5671e-01 +1.3534e-01 +1.6696e-01 +3.7605e-02 +7.7438e-01 +5.7626e-01 +3.1884e-01 +9.9370e-01 +8.5410e-01 +3.9907e-01 +3.1863e-01 +7.6694e-01 +9.3744e-01
27253 +7.732184024e+01 +7.732184024e+01 +1.568018402e+02 +1.568018402e+02 +5.6487e-01 +1.2008e-01 +5.7182e-01 +8.4820e-01 +7.4162e-02 +1.4863e-01 +2.2279e-01 +2.6258e-01 +6.1068e-03 +5.1914e-01 +3.0514e-02 +5.3651e-01 +9.8999e-01 +4.6550e-01 +9.1208e-01 +9.7679e-01 +8.7939e-01 +4.7393e-02 +6.5444e-01 +3.7788e-01
35294 +7.500904153e+01 +7.500904153e+01 +1.544890415e+02 +1.544890415e+02 +2.2632e-01 +3.0159e-01 +2.6414e-01 +7.5807e-01 +5.8997e-02 +9.0881e-01 +9.0905e-01 +1.0988e-01 +3.0598e-02 +5.3244e-02 +6.6944e-05 +8.8890e-01 +8.8517e-01 +8.0039e-01 +9.0041e-01 +5.0697e-01 +2.8266e-01 +3.5099e-02 +6.3339e-01 +8.9283e-01
53306 +7.361366197e+01 +7.361366197e+01 +1.530936620e+02 +1.530936620e+02 +2.8819e-01 +2.3710e-01 +5.7846e-02 +8.9715e-01 +4.3539e-02 +9.4606e-01 +6.3104e-01 +1.0988e-01 +3.0598e-02 +5.3244e-02 +6.6944e-05 +8.8890e-01 +8.8517e-01 +8.0039e-01 +9.0041e-01 +5.0697e-01 +2.8266e-01 +3.5099e-02 +6.3339e-01 +8.9283e-01
66578 +7.211839728e+01 +7.211839728e+01 +1.515983973e+02 +1.515983973e+02 +1.4283e-02 +3.3706e-02 +5.7846e-02 +8.9715e-01 +4.3539e-02 +9.4606e-01 +6.3104e-01 +1.0988e-01 +3.0598e-02 +5.3244e-02 +6.6944e-05 +8.8890e-01 +8.8517e-01 +5.1902e-02 +9.6639e-01 +4.5879e-01 +1.0564e-01 +3.5099e-02 +6.3339e-01 +9.1560e-01
