% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.324243229e+03 +1.324243229e+03 +2.324243229e+03 +2.324243229e+03 -1.6740e+00 -1.6287e+00 -5.7337e-01 +4.8710e+00 +1.6654e+00 -1.6702e+00 -4.6887e+00 +2.9206e+00 -2.8069e+00 -4.5743e-01 +4.3769e+00 +1.0492e+00 -9.5481e-01 +1.0756e+00 +7.7319e-01 -9.8326e-02 -3.7748e+00 +2.7226e+00 +2.3599e+00 +1.5899e+00
119 +9.055750123e+02 +9.055750123e+02 +1.905575012e+03 +1.905575012e+03 -1.7052e+00 -3.0045e+00 +1.4265e+00 +3.8493e+00 +6.4737e+00 +3.1512e+00 -2.5990e+00 +1.5747e+00 +3.4000e+00 -2.0670e+00 +2.0252e-01 -2.6704e+00 -3.2950e+00 -3.9252e+00 +2.2757e+00 +1.8680e+00 -2.8970e+00 -4.0445e+00 +4.2883e+00 -4.8137e+00
222 +5.876946360e+02 +5.876946360e+02 +1.587694636e+03 +1.587694636e+03 -6.1985e-01 +3.3309e-01 +1.2256e+00 +4.0426e+00 +3.8936e+00 -2.5932e-01 -2.4389e+00 +1.2704e+00 +2.2126e+00 -3.1919e+00 +1.2969e+00 -1.9357e+00 -4.2005e+00 -2.4827e+00 +3.7264e+00 +3.8173e+00 -2.9546e-01 +4.1772e-01 +3.1259e+00 -4.1230e+00
264 +3.829157474e+02 +3.829157474e+02 +1.382915747e+03 +1.382915747e+03 +5.3529e-01 +4.0779e+00 +2.6487e+00 +4.2314e+00 +3.5108e+00 -9.9828e-01 +6.3265e-01 -2.4867e+00 -6.0153e-01 -2.2794e+00 -1.5478e+00 -2.4420e+00 -2.1838e+00 -2.7406e+00 +4.7199e+00 +4.6614e+00 -1.3071e+00 +1.0807e+00 +4.1197e-01 -3.6805e+00
459 +2.386139463e+02 +2.386139463e+02 +1.238613946e+03 +1.238613946e+03 +4.0660e-01 +5.4343e+00 +3.6965e+00 +3.5126e+00 +5.4110e+00 -1.9708e+00 -1.5900e-01 -4.5310e-01 -2.2690e+00 -2.5210e+00 -1.4623e+00 -3.0397e+00 -2.0698e+00 -2.4427e+00 +3.7886e+00 +4.2305e+00 +1.6204e+00 +1.3700e+00 -8.2301e-01 -2.2041e+00
803 +1.540109295e+02 +1.540109295e+02 +1.154010929e+03 +1.154010929e+03 +5.0557e-01 +5.4396e+00 +3.7260e+00 +3.6589e+00 +5.2549e+00 -1.9555e+00 +6.3227e-02 -3.8517e-01 -2.0163e+00 -2.6210e+00 -1.5692e+00 -3.0905e+00 -1.5661e+00 -2.3399e+00 +3.7165e+00 +4.4778e+00 +1.6499e+00 +1.1403e+00 -6.9402e-01 -1.9709e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.620271561e+03 +2.620271561e+03 +2.690301561e+03 +2.690301561e+03 -8.5143e-01 +2.5142e+00 +3.1082e+00 -2.2650e-01 +4.9127e+00 -3.2766e+00 -2.3323e-01 +3.8526e+00 +3.0963e+00 +1.5209e+00 -4.0622e+00 -3.3866e+00 -3.9059e+00 -8.6812e-01 -3.2507e+00 +4.5992e+00 +7.1286e-01 -3.0883e+00 -1.9932e+00 -2.6077e+00
56 +1.379741748e+03 +1.379741748e+03 +1.449771748e+03 +1.449771748e+03 +5.7104e-02 -6.0738e-02 +3.3089e+00 +1.3916e+00 +1.3621e+00 -4.0742e+00 +1.8100e-01 +6.4207e+00 +4.7107e+00 +1.7135e+00 -5.0354e+00 -1.4607e+00 +5.6893e-02 -3.0151e+00 +6.6545e-01 +1.2628e+00 -1.3044e+00 -3.0739e+00 -1.9354e+00 -5.7632e+00
91 +9.574068770e+02 +9.574068770e+02 +1.027436877e+03 +1.027436877e+03 -4.8128e-01 -5.7066e+00 -4.0695e+00 -3.3288e+00 +5.1468e+00 -3.1408e+00 -5.0210e+00 +3.6485e+00 +3.4346e-01 +1.3942e+00 +7.0116e-01 -4.7669e+00 +6.1437e+00 -1.0821e+01 -4.0605e+00 -9.3174e-01 -3.5915e+00 +2.3015e+00 +2.8377e+00 -3.3812e-01
