1: crossover='0.9', mutation='0.1', n_generations='100'
90: crossover='0.8952392192856831', mutation='0.1807031579916969', n_generations='160'
91: crossover='0.48581730869557826', mutation='0.49604214343092834', n_generations='74'
92: crossover='0.00909818972009202', mutation='0.3551408583284196', n_generations='237'
93: crossover='0.9673138995728228', mutation='0.6463491548747546', n_generations='123'
94: crossover='0.29427304506949736', mutation='0.14386186511648702', n_generations='107'
95: crossover='0.45683091770747986', mutation='0.2945608609208581', n_generations='142'
96: crossover='0.3932088494411782', mutation='0.7709647777639064', n_generations='250'
97: crossover='0.7388526807108466', mutation='0.8614198463527266', n_generations='50'
98: crossover='0.5538402265865318', mutation='0.3502767986272487', n_generations='80'
99: crossover='0.8754968129061432', mutation='0.10107617505028044', n_generations='242'
100: crossover='0.9637195722168173', mutation='0.9920216038394711', n_generations='138'
101: crossover='0.6640908658682784', mutation='0.24845246083412453', n_generations='79'
102: crossover='0.4833575944243045', mutation='0.017669649916581598', n_generations='240'
103: crossover='0.2112669300563076', mutation='0.8359936784285312', n_generations='81'
104: crossover='0.9351174997644218', mutation='0.1804897823005467', n_generations='137'
105: crossover='0.9050082914727147', mutation='0.0579837226580906', n_generations='184'
106: crossover='0.1646704141490536', mutation='0.18039571645188512', n_generations='141'
107: crossover='0.755904432634135', mutation='0.6469805459479001', n_generations='88'
108: crossover='0.7767678317770105', mutation='0.18027361836683486', n_generations='175'
109: crossover='0.8678326377940097', mutation='0.36961383850108187', n_generations='184'
110: crossover='0.6747514190644528', mutation='0.6097430919590717', n_generations='173'
111: crossover='0.21361532194664878', mutation='0.9033305765374477', n_generations='133'
112: crossover='0.7737377590759866', mutation='0.18012959701707998', n_generations='176'
113: crossover='0.14324771575598738', mutation='0.7504018059585306', n_generations='93'
114: crossover='0.3527276962656831', mutation='0.4349052428455753', n_generations='193'
115: crossover='0.5790968515558119', mutation='0.4308122643453449', n_generations='52'
116: crossover='0.6748428162909709', mutation='0.6015405526274393', n_generations='223'
117: crossover='0.19725732208102498', mutation='0.22639158231417467', n_generations='150'
118: crossover='0.01644240142365483', mutation='0.16127550305987992', n_generations='140'
119: crossover='0.5885854259554546', mutation='0.1575825566442809', n_generations='52'
120: crossover='0.20495159514333627', mutation='0.18028719407320815', n_generations='120'
121: crossover='0.07289023864810862', mutation='0.8361960692789646', n_generations='167'
122: crossover='0.5885854259554546', mutation='0.01764702860682313', n_generations='52'
123: crossover='0.051479629310482', mutation='0.3614925076515296', n_generations='84'
124: crossover='0.6748293867224627', mutation='0.7273829227049368', n_generations='84'
125: crossover='0.7532189486069155', mutation='0.4911552068682965', n_generations='125'
126: crossover='0.3496196542066933', mutation='0.5688668366325632', n_generations='85'
127: crossover='0.2889850418291061', mutation='0.6682927982885482', n_generations='155'
128: crossover='0.04518024192889336', mutation='0.233913044029047', n_generations='99'
129: crossover='0.21445540920193107', mutation='0.2275097687726133', n_generations='100'
