ngen	time     	min     	avg     	max     	std    
    	0.0821722	-6039.72	-5155   	-4609.88	476.533
    	0.108854 	-5993.42	-5515.72	-4609.88	597.19 
    	0.128734 	-5993.42	-5666.09	-4609.88	531.128
    	0.161612 	-4609.88	-4357.77	-4294.75	126.055
    	0.187926 	-4423.98	-4372.29	-4294.75	63.3116
    	0.220684 	-6083.46	-5725.72	-4294.75	715.484
    	0.247336 	-4858.41	-4745.67	-4294.75	225.464
    	0.280135 	-4785.84	-4687.62	-4294.75	196.435
    	0.300872 	-4785.84	-4427.65	-4294.75	183.243
    	0.328866 	-4294.75	-4215.09	-4161.98	65.0422
ngen	time     	min     	avg     	max     	std    
    	0.0816329	-4278.88	-3991.9 	-3800.57	234.322
    	0.11075  	-6027.11	-5136.5 	-3800.57	1090.78
    	0.146841 	-6629.19	-6063.47	-3800.57	1131.45
    	0.175525 	-6629.19	-5372.03	-3800.57	903.644
    	0.211452 	-5397.52	-5078.13	-3800.57	638.779
    	0.247111 	-5325.85	-5020.79	-3800.57	610.11 
    	0.275764 	-5983.18	-5415.19	-3800.57	846.499
    	0.30481  	-5664.87	-5224.21	-3800.57	723.825
    	0.333661 	-6220.6 	-5557.65	-3800.57	944.411
    	0.36994  	-6159.12	-5687.41	-3800.57	943.417
