% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.756574751e+03 +1.756574751e+03 +1.849514751e+03 +1.849514751e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.513412671e+03 +1.513412671e+03 +1.606352671e+03 +1.606352671e+03 +8.6238e-01 +8.3992e-01 +3.4457e-01 +1.4511e-01 +6.6436e-01 +9.6793e-01 +2.6941e-01 +1.2003e-01 +1.9297e-02 +2.8067e-01 +1.3777e-01 +3.3768e-01 +2.2205e-01 +6.2551e-01 +2.7017e-02 +4.0624e-01 +1.8094e-01 +5.4315e-01 +6.5877e-01 +1.7809e-01
3 +1.463503803e+03 +1.463503803e+03 +1.556443803e+03 +1.556443803e+03 +3.7666e-01 +2.1734e-01 +6.3696e-01 +2.8891e-01 +3.0446e-01 +9.1698e-01 +6.4417e-01 +9.1444e-01 +7.6999e-01 +8.3454e-01 +8.2923e-01 +3.9198e-01 +1.9335e-01 +6.1859e-01 +3.4746e-02 +6.9465e-01 +8.8350e-01 +7.8143e-01 +5.9696e-01 +7.8817e-01
7 +1.400136745e+03 +1.400136745e+03 +1.493076745e+03 +1.493076745e+03 +6.9245e-01 +9.4455e-01 +6.6493e-01 +6.1278e-01 +6.2427e-01 +9.3708e-01 +7.4621e-01 +9.2642e-01 +9.5573e-01 +3.0363e-02 +9.3916e-01 +1.2264e-01 +2.4401e-01 +1.3299e-02 +8.0727e-01 +6.7575e-01 +2.5733e-01 +2.5240e-01 +9.6193e-01 +4.0753e-01
149 +1.361982579e+03 +1.361982579e+03 +1.454922579e+03 +1.454922579e+03 +4.8150e-01 +6.4932e-01 +9.1398e-01 +7.8622e-01 +2.7967e-01 +8.6194e-01 +5.0550e-01 +1.6566e-02 +7.7931e-01 +5.0113e-01 +1.4899e-01 +5.5234e-03 +5.3372e-01 +3.1708e-02 +5.9256e-01 +5.7804e-01 +1.6588e-01 +8.0387e-01 +1.7746e-01 +5.3021e-01
154 +1.260512066e+03 +1.260512066e+03 +1.353452066e+03 +1.353452066e+03 +6.0743e-01 +1.4288e-01 +4.2403e-01 +4.8751e-01 +5.6274e-01 +7.2341e-01 +9.9152e-01 +3.0009e-02 +9.0973e-01 +7.3922e-01 +5.3886e-01 +9.9189e-02 +1.4281e-01 +4.0436e-02 +6.7808e-01 +7.0734e-02 +9.7913e-01 +8.6327e-01 +9.2064e-01 +1.9536e-01
687 +1.181902640e+03 +1.181902640e+03 +1.274842640e+03 +1.274842640e+03 +9.3560e-01 +7.1555e-01 +8.2652e-01 +9.3940e-01 +8.8743e-01 +9.9922e-01 +9.4413e-01 +6.3767e-02 +8.0833e-01 +8.1801e-01 +4.5251e-01 +6.9083e-02 +8.0125e-01 +9.1502e-01 +5.6120e-01 +3.2496e-02 +5.0219e-01 +8.4848e-01 +3.8966e-01 +1.0381e-01
2463 +1.112278994e+03 +1.112278994e+03 +1.205218994e+03 +1.205218994e+03 +9.8394e-01 +1.1094e-01 +1.9380e-01 +5.2390e-01 +9.2913e-01 +9.5775e-01 +5.0550e-01 +1.6566e-02 +7.7931e-01 +5.0113e-01 +1.4899e-01 +5.5234e-03 +1.4111e-01 +1.5931e-01 +3.2579e-01 +1.7848e-01 +8.2986e-01 +2.9074e-01 +9.1937e-01 +3.6348e-01
30264 +1.054750106e+03 +1.054750106e+03 +1.147690106e+03 +1.147690106e+03 +6.8428e-01 +4.6406e-01 +6.2895e-01 +8.2451e-01 +9.2913e-01 +9.5775e-01 +9.6876e-01 +1.6566e-02 +7.7931e-01 +5.0113e-01 +1.4899e-01 +5.5234e-03 +1.4111e-01 +1.5931e-01 +3.2579e-01 +8.8298e-01 +9.1875e-01 +7.9830e-01 +8.1692e-01 +4.7153e-01
51162 +1.045220949e+03 +1.045220949e+03 +1.138160949e+03 +1.138160949e+03 +7.7534e-01 +3.2729e-01 +9.3576e-01 +8.2451e-01 +9.2913e-01 +9.5775e-01 +9.6876e-01 +1.6566e-02 +7.7931e-01 +5.0113e-01 +1.4899e-01 +4.7512e-04 +1.4111e-01 +1.5931e-01 +3.2579e-01 +2.3040e-01 +9.1875e-01 +4.3033e-01 +8.1692e-01 +4.7153e-01
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.653243133e+03 +2.653243133e+03 +2.688593133e+03 +2.688593133e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +2.345166702e+03 +2.345166702e+03 +2.380516702e+03 +2.380516702e+03 +9.1713e-01 +2.5884e-01 +5.9915e-01 +8.1125e-01 +8.7051e-01 +1.3960e-01 +2.3990e-01 +3.8626e-01 +8.4776e-01 +7.8910e-01 +2.5353e-01 +5.0453e-01 +6.8469e-01 +2.2404e-02 +4.6501e-01 +7.1209e-01 +3.0141e-02 +9.6895e-01 +8.6426e-01 +2.9252e-01
3 +2.325791147e+03 +2.325791147e+03 +2.361141147e+03 +2.361141147e+03 +6.0702e-01 +9.5659e-01 +8.2813e-01 +2.9884e-01 +2.3322e-01 +7.3301e-01 +1.5302e-01 +7.3415e-01 +2.9583e-01 +8.8880e-01 +1.5351e-01 +7.3635e-01 +5.6413e-01 +3.6102e-01 +3.8115e-01 +3.2177e-01 +2.9508e-01 +6.0990e-01 +8.8356e-01 +8.4158e-01
4 +2.140748082e+03 +2.140748082e+03 +2.176098082e+03 +2.176098082e+03 +3.6533e-01 +5.1427e-01 +4.6043e-01 +7.9037e-01 +7.0741e-01 +7.2158e-02 +4.2377e-01 +2.8737e-01 +5.1596e-01 +8.6276e-02 +9.3804e-01 +8.4146e-01 +7.2830e-01 +3.3840e-01 +6.4317e-01 +9.1639e-02 +9.5987e-02 +5.6202e-01 +7.6884e-01 +7.6411e-01
