Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,2067.301029995664,0,3600.0,-1,0.0,0.0,1,2067.301029995664,0,0.0,SAT,,393.618,
2,2,1,2026.301029995664,0,3600.0,-1,392.684,0.0,1,2026.301029995664,1,392.684,SAT,,375.723,
3,3,1,2030.301029995664,0,3600.0,-1,767.112,0.0,1,2030.301029995664,1,1159.796,SAT,,230.664,
4,4,1,2037.301029995664,0,3600.0,-1,997.236,0.0,1,2037.301029995664,2,2157.032,SAT,,491.404,
5,5,1,2829.301029995664,0,3600.0,-1,1487.396,0.0,1,2829.301029995664,2,3644.428,SAT,,490.973,
