% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.396983841e+02 +6.396983841e+02 +1.776083841e+02 +1.776083841e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 +6.256580996e+02 +6.256580996e+02 +1.635680996e+02 +1.635680996e+02 +4.2275e-01 +5.7345e-01 +1.2029e-01 +5.4778e-01 +8.9944e-01 +8.0203e-01 +1.2686e-01 +1.6228e-02 +9.6912e-01 +5.2289e-01 +4.7660e-01 +5.0051e-01 +3.0501e-01 +1.0784e-01 +7.4208e-01 +8.8890e-01 +4.6660e-01 +7.8773e-01 +9.1728e-01 +1.5756e-01
38 +5.959567927e+02 +5.959567927e+02 +1.338667927e+02 +1.338667927e+02 +3.0622e-01 +6.0426e-01 +4.8087e-01 +8.1908e-01 +4.3181e-01 +2.2012e-01 +6.1356e-01 +3.0727e-02 +8.7358e-01 +8.4325e-01 +5.7090e-01 +7.0801e-01 +6.2981e-02 +6.5744e-01 +5.9210e-01 +8.1793e-02 +5.0986e-01 +9.8216e-01 +6.2114e-01 +7.8993e-01
100 +5.859234317e+02 +5.859234317e+02 +1.238334317e+02 +1.238334317e+02 +6.6217e-01 +2.5209e-01 +3.3276e-01 +6.1054e-01 +9.4744e-01 +1.6865e-01 +3.5817e-01 +8.5475e-01 +2.3344e-01 +6.2088e-01 +4.9250e-01 +1.6287e-01 +2.5757e-01 +3.6129e-01 +7.7766e-01 +5.2657e-01 +1.2227e-01 +5.7169e-01 +3.7321e-01 +2.8288e-01
119 +5.393086158e+02 +5.393086158e+02 +7.721861580e+01 +7.721861580e+01 +5.3811e-01 +3.2493e-01 +2.8470e-01 +9.9629e-01 +8.0915e-01 +4.9851e-02 +3.6095e-01 +5.3717e-01 +8.6763e-01 +6.5355e-01 +5.6582e-01 +9.0230e-01 +4.1980e-02 +3.2290e-01 +2.1445e-01 +1.8686e-01 +2.1778e-01 +6.1134e-01 +3.3495e-01 +6.0603e-01
1663 +5.341591788e+02 +5.341591788e+02 +7.206917877e+01 +7.206917877e+01 +3.5239e-01 +9.5090e-01 +3.5264e-01 +6.3679e-01 +3.8822e-03 +4.2580e-01 +5.2112e-01 +4.3460e-01 +9.9403e-01 +4.4768e-02 +2.7583e-03 +7.8415e-01 +3.7032e-02 +1.4464e-01 +9.0813e-01 +6.3151e-02 +1.4430e-02 +8.5697e-01 +6.0278e-01 +5.5534e-01
3475 +5.227524238e+02 +5.227524238e+02 +6.066242381e+01 +6.066242381e+01 +3.4034e-01 +3.1843e-01 +6.0769e-01 +2.6203e-01 +1.0256e-01 +5.0345e-01 +9.3417e-01 +6.1463e-01 +6.3383e-01 +9.8004e-02 +7.6317e-01 +5.4715e-01 +1.0860e-01 +3.6711e-01 +5.1077e-01 +1.7297e-02 +4.1864e-01 +4.5729e-01 +8.5107e-01 +7.0457e-01
8221 +5.046617243e+02 +5.046617243e+02 +4.257172425e+01 +4.257172425e+01 +2.3344e-01 +2.0160e-01 +5.3070e-01 +8.4802e-01 +8.2002e-01 +1.5498e-01 +2.7758e-01 +3.4032e-01 +6.3383e-01 +9.8004e-02 +7.6317e-01 +5.4715e-01 +1.0860e-01 +3.6711e-01 +5.1077e-01 +1.7297e-02 +4.1864e-01 +4.5729e-01 +8.5107e-01 +7.0457e-01
11325 +4.995489013e+02 +4.995489013e+02 +3.745890133e+01 +3.745890133e+01 +4.0726e-01 +6.5855e-01 +9.9117e-01 +5.4871e-01 +9.0674e-01 +4.1575e-02 +1.3275e-01 +8.2893e-01 +9.9486e-01 +1.4768e-01 +7.6382e-01 +2.5649e-01 +3.9286e-02 +3.7430e-01 +7.0089e-01 +1.2454e-01 +3.2846e-01 +4.4135e-01 +7.2941e-01 +8.7556e-01
17999 +4.794426756e+02 +4.794426756e+02 +1.735267558e+01 +1.735267558e+01 +6.8095e-01 +5.3347e-01 +5.2085e-01 +6.5721e-01 +7.9948e-01 +3.2467e-01 +5.4798e-01 +8.3156e-01 +4.7989e-02 +6.8265e-02 +5.9203e-01 +9.1040e-01 +3.9286e-02 +3.7430e-01 +7.0089e-01 +1.2454e-01 +3.2846e-01 +4.4135e-01 +7.2941e-01 +8.7556e-01
46419 +4.772327965e+02 +4.772327965e+02 +1.514279652e+01 +1.514279652e+01 +3.8717e-01 +7.2890e-01 +5.7818e-01 +6.5721e-01 +7.9948e-01 +3.2467e-01 +5.4798e-01 +8.3156e-01 +4.7989e-02 +6.8265e-02 +5.9203e-01 +9.1040e-01 +3.9286e-02 +3.7430e-01 +7.0089e-01 +1.2454e-01 +3.2846e-01 +4.4135e-01 +7.2941e-01 +8.7556e-01
69550 +4.649158972e+02 +4.649158972e+02 +2.825897210e+00 +2.825897210e+00 +4.5503e-01 +5.3668e-01 +7.0147e-01 +6.5721e-01 +7.9948e-01 +3.2467e-01 +5.4798e-01 +8.3156e-01 +4.7989e-02 +6.8265e-02 +5.9203e-01 +9.1040e-01 +3.9286e-02 +3.7430e-01 +9.4872e-01 +1.2454e-01 +3.2846e-01 +4.4135e-01 +6.6334e-01 +8.7556e-01
83659 +4.555201489e+02 +4.555201489e+02 -6.569851068e+00 -6.569851068e+00 +5.3431e-01 +5.4659e-01 +5.6557e-01 +6.5680e-01 +1.0256e-01 +6.8527e-01 +5.4798e-01 +8.3156e-01 +4.7989e-02 +6.1596e-01 +6.9121e-01 +3.9286e-02 +3.9286e-02 +3.7430e-01 +9.4872e-01 +1.2454e-01 +3.2846e-01 +4.4135e-01 +6.6334e-01 +8.7556e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.180024892e+02 +6.180024892e+02 +6.956624892e+02 +6.956624892e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
9 +6.000354472e+02 +6.000354472e+02 +6.776954472e+02 +6.776954472e+02 +9.5939e-01 +5.0358e-01 +9.4127e-01 +1.1919e-01 +8.6682e-01 +3.3432e-01 +7.4044e-01 +7.0775e-01 +6.0010e-01 +6.6146e-01 +5.0329e-01 +7.9622e-01 +3.0076e-01 +2.1351e-01 +5.5830e-01 +9.7717e-01 +2.1925e-01 +3.5751e-01 +7.8602e-01 +7.0078e-02
50 +5.372150949e+02 +5.372150949e+02 +6.148750949e+02 +6.148750949e+02 +6.7580e-01 +5.3697e-01 +3.4869e-01 +1.1093e-01 +7.7864e-01 +8.6038e-01 +3.9973e-01 +6.1758e-01 +2.2060e-01 +1.3073e-01 +7.7156e-01 +1.4664e-01 +4.9220e-01 +2.5141e-01 +5.9793e-01 +9.8690e-01 +4.5508e-01 +7.9475e-01 +3.4204e-01 +1.3043e-02
548 +5.258847508e+02 +5.258847508e+02 +6.035447508e+02 +6.035447508e+02 +2.8812e-01 +7.9679e-01 +3.7917e-01 +8.4512e-01 +3.8472e-01 +8.7481e-01 +4.1771e-01 +6.1758e-01 +2.2060e-01 +1.3073e-01 +7.7156e-01 +1.4664e-01 +4.9220e-01 +2.5141e-01 +5.9793e-01 +9.8690e-01 +4.5508e-01 +7.9475e-01 +3.4204e-01 +1.3043e-02
2417 +5.202948716e+02 +5.202948716e+02 +5.979548716e+02 +5.979548716e+02 +6.2493e-01 +2.2113e-02 +2.8454e-01 +4.5125e-02 +3.8472e-01 +8.7481e-01 +4.1771e-01 +6.1758e-01 +2.2060e-01 +1.3073e-01 +7.7156e-01 +1.4664e-01 +4.9220e-01 +2.5141e-01 +5.9793e-01 +9.8690e-01 +4.5508e-01 +7.9475e-01 +3.4204e-01 +1.3043e-02
