"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1",1,0,0,6.93699872493744,347.635686397552,0,0,0,0
"2",2,0,0,5.08127389103174,347.635776534867,0,0,0,0
"3",3,0,0,5.48765802383423,347.6362759045,0,0,0,0
"4",4,0,0,5.41656702756882,347.637527047989,0,0,0,0
"5",5,0,0,5.21796628832817,347.640478293189,0,0,0,0
"6",6,0,0,5.6410351395607,347.64368451779,0,0,0,0
"7",7,0,0,5.24993504583836,347.649287796485,0,0,0,0
"8",8,0,0,5.06426610052586,347.653268543613,0,0,0,0
"9",9,0,0,5.38534241914749,347.656088667488,0,0,0,0
"10",10,0,0,6.44744968414307,347.657587396478,0,0,0,0
"11",11,0,0,5.02038496360183,347.660648875573,0,0,0,0
"12",12,0,0,5.44207245111465,347.688808320946,0,0,0,0
"13",13,0,0,5.21165150403976,347.786609692756,0,0,0,0
"14",14,0,0,5.5142537355423,348.5605047148,0,0,0,0
"15",15,0,0,5.13093928992748,898.793845302121,0,0,0,0
"16",16,0,0,5.30550462007523,1933.75903397387,0,0,0,0
"17",17,0,0,5.22468315064907,2335.43622864581,0,0,0,0
"18",18,0,0,5.66800308227539,3285.95482078508,0,0,0,0
"19",19,0,0,5.11433236300945,3555.36540130391,0,0,0,0
"20",20,0,0,5.27935895323753,3998.22822809848,0,0,0,0
"21",21,0,0,5.08018068224192,4073.45531951083,0,0,0,0
"22",22,0,0,6.77059483528137,4224.83774009985,0,0,0,0
"23",23,0,0,5.40832215547562,4224.8394768328,0,0,0,0
"24",24,0,0,5.10264340788126,4224.84596482462,0,0,0,0
"25",25,0,0,5.74451512098312,4224.84652844268,0,0,0,0
"26",26,0,0,5.0555740185082,4224.88859663609,0,0,0,0
"27",27,0,0,5.48340311646461,4225.10011257836,0,0,0,0
"28",28,0,0,5.37856668233871,4225.16923632382,0,0,0,0
"29",29,0,0,5.21936947107315,4397.2202911118,0,0,0,0
"30",30,0,0,5.33861175179482,4397.22206466266,0,0,0,0
"31",31,0,0,6.87279999256134,5913.06078132363,0,0,0,0
"32",32,0,0,5.33505162596703,5913.06385597547,0,0,0,0
"33",33,0,0,5.43581146001816,5913.08284620228,0,0,0,0
"34",34,0,0,5.74374938011169,5913.08569239559,0,0,0,0
"35",35,0,0,5.10138932615519,5913.20594324293,0,0,0,0
"36",36,0,0,5.00073446199531,5913.23552627699,0,0,0,0
"37",37,0,0,6.30810701847076,6030.88658899084,0,0,0,0
"38",38,0,0,6.10458707809448,6030.9057050842,0,0,0,0
"39",39,0,0,5.63422536849976,6030.9280053006,0,0,0,0
"40",40,0,0,5.76208865642548,6030.98679745418,0,0,0,0
"41",41,0,0,5.22420382499695,6031.57832470497,0,0,0,0
"42",42,0,0,5.30597430467606,6033.21652741818,0,0,0,0
"43",43,0,0,5.22459995746613,6515.89497911837,0,0,0,0
"44",44,0,0,5.10604088753462,6818.28156342458,0,0,0,0
"45",45,0,0,6.00034844875336,6981.85779217934,0,0,0,0
"46",46,0,0,5.17629852890968,6984.46189686762,0,0,0,0
"47",47,0,0,5.29584422707558,6989.7378530405,0,0,0,0
"48",48,0,0,5.13110674917698,8066.98561500167,0,0,0,0
"49",49,0,0,5.40179508924484,8412.13911113824,0,0,0,0
"50",50,0,0,5.21623334288597,9325.39976236108,0,0,0,0
"51",51,0,0,5.39854645729065,9448.769552689,0,0,0,0
"52",52,0,0,5.11263958364725,9448.78005942775,0,0,0,0
"53",53,0,0,5.00690638134256,9749.4580643315,0,0,0,0
"54",54,0,0,5.02967318333685,9805.37465654014,0,0,0,0
"55",55,0,0,5.25247001647949,9836.75269677717,0,0,0,0
"56",56,0,0,5.0930592790246,9836.79674676981,0,0,0,0
"57",57,0,0,5.04299938678741,10135.2736871074,0,0,0,0
"58",58,0,0,5.20184715092182,10138.9678483816,0,0,0,0
"59",59,0,0,6.12402963638306,10254.4141689218,0,0,0,0
"60",60,0,0,5.61403930187225,10944.8791663482,0,0,0,0
"61",61,0,0,5.56979215145111,12345.2517691487,0,0,0,0
"62",62,0,0,5.01190969906747,12429.0151403584,0,0,0,0
"63",63,0,0,5.24920812249184,13050.305758843,0,0,0,0
"64",64,0,0,5.07839758694172,13050.3062030432,0,0,0,0
"65",65,0,0,5.8709659576416,13505.5121974001,0,0,0,0
"66",66,0,0,7.10409998893738,14685.3164856232,0,0,0,0
"67",67,0,0,5.67822635173798,14685.3171849114,0,0,0,0
"68",68,0,0,5.19878599047661,14685.3173071443,0,0,0,0
"69",69,0,0,5.58715850114822,14685.3176167282,0,0,0,0
"70",70,0,0,5.03537103906274,14685.3178848438,0,0,0,0
"71",71,0,0,5.28973942995071,14685.3209836185,0,0,0,0
"72",72,0,0,5.41698548197746,14685.3270198384,0,0,0,0
"73",73,0,0,7.6111741065979,14685.3323292136,0,0,0,0
"74",74,0,0,5.74335408210754,14685.3325681835,0,0,0,0
"75",75,0,0,5.08548794686794,14685.3326859143,0,0,0,0
"76",76,0,0,6.03586792945862,14685.3327933537,0,0,0,0
"77",77,0,0,5.45964381098747,14685.3337219035,0,0,0,0
"78",78,0,0,5.04836038500071,14685.3341867222,0,0,0,0
"79",79,0,0,6.64407539367676,14685.3342417818,0,0,0,0
"80",80,0,0,5.44725567102432,14685.3343174346,0,0,0,0
"81",81,0,0,5.28498485684395,14685.3343662229,0,0,0,0
"82",82,0,0,5.58834993839264,14685.3344570277,0,0,0,0
"83",83,0,0,7.30056476593018,14685.3349739744,0,0,0,0
"84",84,0,0,5.26079294085503,14685.3350261142,0,0,0,0
"85",85,0,0,5.29970914125443,14685.3350534468,0,0,0,0
"86",86,0,0,5.85064494609833,14685.3354052099,0,0,0,0
"87",87,0,0,5.05156510695815,14685.3354490414,0,0,0,0
"88",88,0,0,5.14294031262398,14685.3355358934,0,0,0,0
"89",89,0,0,5.3421625494957,14685.3355738969,0,0,0,0
"90",90,0,0,5.05195436999202,14685.3357633796,0,0,0,0
"91",91,0,0,5.33742427825928,14685.3358603157,0,0,0,0
"92",92,0,0,5.05141443014145,14685.335958614,0,0,0,0
"93",93,0,0,5.35127934813499,14685.3365398991,0,0,0,0
"94",94,0,0,5.03814928978682,14685.3404440622,0,0,0,0
"95",95,0,0,5.22091740369797,14685.341493316,0,0,0,0
"96",96,0,0,5.18613629043102,14685.3430719061,0,0,0,0
"97",97,0,0,5.19522450864315,14685.3438144972,0,0,0,0
"98",98,0,0,5.55768352746964,14685.346076803,0,0,0,0
"99",99,0,0,6.27088487148285,14685.3470452331,0,0,0,0
"100",100,0,0,5.67973411083221,14685.3482630573,0,0,0,0
"101",101,0,0,5.35044977068901,14685.3491745192,0,0,0,0
"102",102,0,0,5.03812416270375,14685.3525758647,0,0,0,0
"103",103,0,0,5.11666130274534,14685.3534753198,0,0,0,0
"104",104,0,0,5.38579162955284,14685.3556572482,0,0,0,0
"105",105,0,0,6.40860056877136,14685.3576087932,0,0,0,0
"106",106,0,0,5.53160774707794,14685.3615963071,0,0,0,0
"107",107,0,0,5.60590708255768,14685.3616013559,0,0,0,0
"108",108,0,0,5.58757394552231,14685.3627236772,0,0,0,0
"109",109,0,0,5.61652386188507,14685.364688053,0,0,0,0
"110",110,0,0,5.22407622635365,14685.3671790472,0,0,0,0
"111",111,0,0,5.08269710838795,14685.3686176741,0,0,0,0
"112",112,0,0,5.38642606139183,14685.3698349887,0,0,0,0
"113",113,0,0,6.14791643619537,14685.3713660924,0,0,0,0
"114",114,0,0,5.40386119484901,14685.3792341547,0,0,0,0
"115",115,0,0,5.25185298919678,14685.3821793061,0,0,0,0
"116",116,0,0,5.15044277906418,14685.3907052468,0,0,0,0
"117",117,0,0,5.05337134003639,14685.3999653466,0,0,0,0
"118",118,0,0,5.43718913197517,14685.4033500312,0,0,0,0
"119",119,0,0,5.17993280291557,14685.4065880368,0,0,0,0
"120",120,0,0,5.53975933790207,14685.4104491843,0,0,0,0
"121",121,0,0,5.27516421675682,14685.4213776191,0,0,0,0
"122",122,0,0,5.22209031879902,14685.4234601889,0,0,0,0
"123",123,0,0,5.12813958525658,14685.4238524514,0,0,0,0
"124",124,0,0,5.05139249190688,14685.4301181823,0,0,0,0
"125",125,0,0,6.14701926708221,14685.4618544766,0,0,0,0
"126",126,0,0,5.42851492762566,14685.4634533307,0,0,0,0
"127",127,0,0,5.51202321052551,14685.4913497281,0,0,0,0
"128",128,0,0,5.68919742107391,14685.5131488529,0,0,0,0
"129",129,0,0,5.54932874441147,14685.5253505164,0,0,0,0
"130",130,0,0,5.27603960037231,14685.5314431238,0,0,0,0
"131",131,0,0,5.55607742071152,14685.5680705728,0,0,0,0
"132",132,0,0,5.0603190921247,14685.5945596374,0,0,0,0
"133",133,0,0,5.04422711953521,14685.6090948016,0,0,0,0
"134",134,0,0,5.01726353727281,14685.646437782,0,0,0,0
"135",135,0,0,5.45845118165016,14685.6575676739,0,0,0,0
"136",136,0,0,5.39494258165359,14685.8054854137,0,0,0,0
"137",137,0,0,5.29040974378586,14685.8056027631,0,0,0,0
"138",138,0,0,6.44806230068207,14686.1413500001,0,0,0,0
"139",139,0,0,5.55878895521164,14686.3456328671,0,0,0,0
"140",140,0,0,5.18809363245964,14686.3668911017,0,0,0,0
"141",141,0,0,6.11845004558563,14686.6438012272,0,0,0,0
"142",142,0,0,5.23384672403336,14686.6455876511,0,0,0,0
"143",143,0,0,5.87626123428345,14686.646549,0,0,0,0
"144",144,0,0,5.62087124586105,14686.827227409,0,0,0,0
"145",145,0,0,5.25337147712708,14687.3966853357,0,0,0,0
"146",146,0,0,5.14695167541504,14687.4153356311,0,0,0,0
"147",147,0,0,5.05939717963338,14687.4455446029,0,0,0,0
"148",148,0,0,5.24006995558739,14688.6252538614,0,0,0,0
"149",149,0,0,5.55276119709015,14688.7310914116,0,0,0,0
"150",150,0,0,5.227589443326,14688.7315313047,0,0,0,0
"151",151,0,0,5.58852916955948,14688.8160926333,0,0,0,0
"152",152,0,0,5.0979159027338,14690.7327719335,0,0,0,0
"153",153,0,0,5.40552747249603,14691.0771124691,0,0,0,0
"154",154,0,0,5.25380247831345,14692.5388789252,0,0,0,0
"155",155,0,0,5.1959352940321,14693.661656178,0,0,0,0
"156",156,0,0,5.1539204120636,14695.3229910891,0,0,0,0
"157",157,0,0,5.01666737534106,14699.6761854639,0,0,0,0
"158",158,0,0,5.08571373671293,14706.1623701803,0,0,0,0
"159",159,0,0,5.66869980096817,14706.8066000388,0,0,0,0
"160",160,0,0,5.99254441261292,14719.4737088494,0,0,0,0
"161",161,0,0,5.23885987699032,14739.8597849278,0,0,0,0
"162",162,0,0,5.10596644133329,14812.7876665458,0,0,0,0
"163",163,0,0,5.37917363643646,14831.9255490964,0,0,0,0
"164",164,0,0,6.35900962352753,14831.9275398355,0,0,0,0
