1: tournsize='10'
2: tournsize='49'
3: tournsize='6'
4: tournsize='115'
5: tournsize='227'
6: tournsize='195'
7: tournsize='27'
8: tournsize='234'
9: tournsize='79'
10: tournsize='28'
11: tournsize='8'
12: tournsize='193'
13: tournsize='206'
14: tournsize='7'
15: tournsize='224'
16: tournsize='62'
17: tournsize='37'
18: tournsize='95'
19: tournsize='130'
20: tournsize='101'
21: tournsize='72'
22: tournsize='229'
23: tournsize='32'
24: tournsize='243'
25: tournsize='148'
26: tournsize='33'
27: tournsize='34'
28: tournsize='237'
29: tournsize='223'
30: tournsize='219'
31: tournsize='106'
32: tournsize='99'
33: tournsize='129'
34: tournsize='59'
35: tournsize='58'
36: tournsize='44'
37: tournsize='45'
38: tournsize='232'
39: tournsize='239'
40: tournsize='233'
41: tournsize='170'
42: tournsize='155'
43: tournsize='242'
44: tournsize='64'
45: tournsize='15'
46: tournsize='147'
47: tournsize='153'
48: tournsize='198'
49: tournsize='189'
50: tournsize='145'
51: tournsize='23'
52: tournsize='144'
53: tournsize='125'
54: tournsize='25'
55: tournsize='163'
56: tournsize='24'
57: tournsize='225'
58: tournsize='151'
59: tournsize='68'
