% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.124201902e+02 +9.124201902e+02 +4.503301902e+02 +4.503301902e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
8152 +9.095380269e+02 +9.095380269e+02 +4.474480269e+02 +4.474480269e+02 +7.8293e-01 +5.8020e-01 +4.4820e-01 +5.7361e-01 +6.7413e-02 +4.0164e-01 +3.7626e-01 +7.8181e-01 +1.0864e-02 +1.3575e-02 +4.5825e-01 +2.5967e-01 +9.5122e-01 +9.0592e-02 +4.2090e-01 +2.5800e-02 +6.4611e-01 +3.4965e-01 +1.2372e-01 +6.1772e-01
25693 +8.749428877e+02 +8.749428877e+02 +4.128528877e+02 +4.128528877e+02 +7.8293e-01 +5.8020e-01 +4.4820e-01 +5.7361e-01 +6.7413e-02 +4.0164e-01 +3.7626e-01 +7.8181e-01 +1.0864e-02 +1.3575e-02 +4.5825e-01 +2.5967e-01 +3.4731e-01 +2.1515e-01 +2.5596e-01 +1.5309e-01 +8.9573e-02 +4.5627e-01 +1.2953e-01 +9.2685e-01
57709 +8.597370630e+02 +8.597370630e+02 +3.976470630e+02 +3.976470630e+02 +6.8440e-01 +6.1890e-01 +4.6560e-01 +9.0025e-02 +8.6657e-01 +1.1003e-01 +2.4261e-01 +8.5806e-01 +1.0864e-02 +1.3575e-02 +4.5825e-01 +2.5967e-01 +3.4731e-01 +2.1515e-01 +2.5596e-01 +1.5309e-01 +8.9573e-02 +4.5627e-01 +1.2953e-01 +8.6454e-01
88374 +8.442641673e+02 +8.442641673e+02 +3.821741673e+02 +3.821741673e+02 +3.8627e-01 +6.1890e-01 +7.2224e-01 +6.8371e-01 +8.6657e-01 +1.1003e-01 +2.4261e-01 +8.5806e-01 +1.0864e-02 +1.3575e-02 +4.5825e-01 +2.5967e-01 +3.4731e-01 +2.1515e-01 +2.5596e-01 +1.5309e-01 +4.2584e-02 +4.5627e-01 +2.5627e-02 +6.5972e-01
94213 +8.201693159e+02 +8.201693159e+02 +3.580793159e+02 +3.580793159e+02 +7.0955e-01 +1.8445e-01 +6.8537e-01 +6.8371e-01 +8.6657e-01 +9.2105e-01 +1.5791e-01 +9.1064e-01 +7.4701e-01 +1.3575e-02 +2.1390e-02 +2.5967e-01 +3.1552e-01 +1.2351e-01 +3.2120e-03 +1.3570e-02 +8.9573e-02 +7.3672e-01 +5.1828e-02 +6.4193e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.473743362e+02 +9.473743362e+02 +1.025034336e+03 +1.025034336e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +9.025090387e+02 +9.025090387e+02 +9.801690387e+02 +9.801690387e+02 +1.2665e-01 +7.3414e-02 +1.0690e-01 +6.7320e-01 +1.9890e-01 +7.6634e-01 +2.3486e-01 +7.1627e-03 +7.3036e-01 +1.1239e-01 +3.3874e-01 +7.5746e-01 +1.2412e-01 +4.0195e-01 +4.2188e-01 +2.1143e-01 +7.1453e-01 +1.3981e-01 +7.5735e-01 +1.7200e-01
417 +8.595294591e+02 +8.595294591e+02 +9.371894591e+02 +9.371894591e+02 +9.6213e-01 +9.3388e-01 +5.0304e-01 +8.5606e-01 +7.1380e-02 +1.4234e-01 +4.9991e-01 +8.6350e-01 +9.0661e-01 +1.1022e-01 +6.1584e-01 +2.0569e-01 +7.6190e-01 +7.0499e-01 +1.4285e-01 +4.5185e-01 +7.1924e-01 +2.2084e-01 +8.9067e-01 +2.1177e-04
