% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.124201902e+02 +9.124201902e+02 +4.503301902e+02 +4.503301902e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
11085 +8.908477350e+02 +8.908477350e+02 +4.287577350e+02 +4.287577350e+02 +8.2918e-01 +6.7132e-01 +7.5117e-01 +7.9398e-01 +5.8361e-01 +7.8751e-01 +7.1076e-01 +8.9183e-01 +5.1967e-02 +9.0848e-01 +5.8071e-01 +1.8314e-02 +5.4832e-01 +7.5813e-02 +3.0057e-01 +4.7188e-02 +5.9341e-01 +4.7637e-01 +4.3964e-02 +9.5776e-01
21924 +8.669593194e+02 +8.669593194e+02 +4.048693194e+02 +4.048693194e+02 +5.6056e-01 +4.5533e-01 +5.0098e-01 +2.7332e-01 +7.4138e-01 +4.0282e-01 +5.4132e-01 +7.8348e-01 +6.2800e-01 +5.4593e-02 +3.3111e-01 +4.2725e-02 +9.3309e-01 +7.0274e-01 +1.6318e-01 +4.0770e-02 +5.0488e-01 +8.1891e-01 +5.7979e-02 +8.0034e-01
45470 +8.456482518e+02 +8.456482518e+02 +3.835582518e+02 +3.835582518e+02 +6.6197e-01 +4.5533e-01 +5.0098e-01 +2.7332e-01 +7.4138e-01 +8.1596e-01 +3.4316e-01 +8.9183e-01 +5.1967e-02 +3.9036e-02 +7.5320e-02 +1.2993e-02 +4.3539e-01 +5.3419e-01 +1.6318e-01 +4.0770e-02 +5.0488e-01 +8.1891e-01 +3.8321e-02 +5.3429e-01
61787 +8.255348461e+02 +8.255348461e+02 +3.634448461e+02 +3.634448461e+02 +3.2463e-01 +5.6763e-01 +3.7555e-01 +8.3241e-01 +7.4138e-01 +7.9385e-01 +3.4316e-01 +8.9183e-01 +5.1967e-02 +3.9036e-02 +7.5320e-02 +1.2993e-02 +4.3539e-01 +5.3419e-01 +1.6318e-01 +4.0770e-02 +5.0488e-01 +8.1891e-01 +3.8321e-02 +7.9854e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.473743362e+02 +9.473743362e+02 +1.025034336e+03 +1.025034336e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
99 +8.967848250e+02 +8.967848250e+02 +9.744448250e+02 +9.744448250e+02 +5.0146e-01 +1.7483e-01 +8.1508e-01 +9.1663e-01 +2.0957e-01 +9.5227e-01 +1.2800e-01 +6.0258e-01 +3.4645e-01 +2.9306e-01 +2.4180e-01 +3.1749e-01 +3.4157e-01 +6.0493e-01 +8.4483e-02 +2.7012e-01 +5.2305e-01 +4.4110e-02 +8.9333e-01 +8.6754e-02
154 +8.536741490e+02 +8.536741490e+02 +9.313341490e+02 +9.313341490e+02 +6.7499e-01 +6.5973e-01 +4.8209e-01 +6.2088e-01 +2.5137e-01 +9.2397e-01 +5.5061e-01 +7.7433e-01 +8.5694e-01 +2.9144e-01 +8.5866e-01 +9.7686e-01 +1.5874e-02 +1.5914e-01 +1.7193e-01 +9.6446e-01 +4.9885e-01 +5.0859e-01 +8.1538e-01 +3.1028e-02
7371 +8.408171689e+02 +8.408171689e+02 +9.184771689e+02 +9.184771689e+02 +6.0027e-01 +9.2114e-01 +5.0175e-01 +7.7839e-01 +7.4199e-01 +3.3028e-01 +5.8336e-01 +8.5726e-02 +4.4295e-02 +4.7897e-01 +8.9238e-01 +8.8162e-01 +8.9487e-01 +2.6250e-02 +1.2121e-01 +5.1194e-01 +5.7160e-01 +6.8997e-03 +6.0739e-01 +6.9710e-02
17077 +8.221317519e+02 +8.221317519e+02 +8.997917519e+02 +8.997917519e+02 +6.3790e-01 +7.1043e-02 +9.9233e-01 +7.7839e-01 +7.4199e-01 +3.3028e-01 +5.8336e-01 +8.5726e-02 +4.4295e-02 +4.7897e-01 +8.9238e-01 +8.8162e-01 +8.9487e-01 +2.6250e-02 +1.2121e-01 +5.1194e-01 +5.7160e-01 +6.8997e-03 +9.0662e-01 +6.1027e-02
53188 +8.120196169e+02 +8.120196169e+02 +8.896796169e+02 +8.896796169e+02 +5.7188e-01 +6.2176e-01 +4.6737e-01 +9.1077e-01 +8.2327e-01 +2.0240e-01 +5.9937e-01 +2.5986e-02 +1.2951e-02 +1.7774e-01 +6.4781e-01 +6.9638e-01 +5.6348e-01 +2.1394e-01 +2.0906e-01 +5.1162e-01 +7.3359e-01 +8.9420e-02 +9.1275e-01 +3.1028e-02
57235 +7.901232837e+02 +7.901232837e+02 +8.677832837e+02 +8.677832837e+02 +1.5137e-01 +9.8916e-01 +1.8948e-02 +9.1856e-01 +9.7975e-01 +7.3368e-01 +6.9228e-01 +8.8724e-01 +6.9701e-01 +7.6931e-02 +8.1774e-01 +6.9638e-01 +8.3311e-01 +2.1394e-01 +2.0906e-01 +5.1162e-01 +3.3893e-02 +8.9420e-02 +9.1275e-01 +3.1028e-02
76249 +7.740698010e+02 +7.740698010e+02 +8.517298010e+02 +8.517298010e+02 +6.9018e-01 +2.3710e-02 +5.5096e-01 +1.5417e-01 +8.2556e-02 +9.9218e-01 +5.2317e-01 +2.6886e-02 +6.9701e-01 +7.6931e-02 +8.1774e-01 +6.8925e-01 +8.3311e-01 +2.1394e-01 +2.0906e-01 +2.2975e-01 +3.3893e-02 +8.9420e-02 +9.1275e-01 +3.1028e-02
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.797623408e+02 +7.797623408e+02 +8.954423408e+02 +8.954423408e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
157 +7.210401488e+02 +7.210401488e+02 +8.367201488e+02 +8.367201488e+02 +4.8278e-01 +6.0052e-02 +2.3694e-01 +4.4056e-01 +6.9063e-02 +1.3475e-01 +1.9349e-01 +5.0930e-01 +5.9679e-01 +5.5885e-01 +8.4897e-01 +5.8651e-02 +2.8198e-01 +5.3833e-01 +6.9497e-02 +5.2259e-01 +3.0357e-01 +6.8439e-01 +7.7617e-01 +8.1619e-02
