% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.673205870e+03 +2.673205870e+03 +2.703175870e+03 +2.703175870e+03 -2.4452e+00 -1.9739e+00 -2.7941e+00 +1.0549e+00 +4.8694e+00 -1.7908e+00 +3.1290e+00 -4.2549e+00 +1.5016e+00 -1.3701e+00 +1.4390e+00 -2.0534e+00 -2.1888e+00 -3.9885e+00 -1.3997e+00 -1.9640e-01 +4.7462e-01 -1.4865e+00 -2.0469e+00 +1.1904e+00
69 +2.439232399e+03 +2.439232399e+03 +2.469202399e+03 +2.469202399e+03 -3.9429e-01 -1.9248e+00 -3.1099e+00 -2.3278e+00 +4.7515e+00 -1.7722e+00 +3.4936e+00 -6.9271e+00 -1.9745e+00 -3.4693e-01 -6.5309e-02 +3.0080e-01 -7.2626e-01 +2.6465e+00 -2.7959e-01 +1.1494e+00 -2.4212e+00 +4.0793e+00 -3.8067e+00 -1.6013e+00
168 +1.505488686e+03 +1.505488686e+03 +1.535458686e+03 +1.535458686e+03 +7.9549e-01 -8.1347e-01 -4.6185e+00 -2.1731e+00 +2.9312e+00 -3.4052e-01 -2.9136e+00 -1.0184e+00 -3.8301e-01 -3.5369e+00 -8.3142e-01 +2.0979e+00 +1.1696e+00 +2.1255e+00 +3.5778e+00 -2.2450e-01 -2.4607e+00 +2.6111e+00 +3.7320e+00 -1.0154e-01
296 +9.895406114e+02 +9.895406114e+02 +1.019510611e+03 +1.019510611e+03 -1.1554e-01 -1.0636e+00 -5.2448e+00 -1.0824e+00 +3.8852e+00 +3.5116e-01 -1.1414e+00 -4.6023e+00 -1.0469e+00 -3.3038e+00 +1.6747e-01 -2.8823e-01 +1.7165e+00 +1.8993e+00 +4.3072e-01 +1.2659e+00 -4.3791e+00 +2.8612e+00 +5.3370e-01 -4.1373e+00
373 +6.192824404e+02 +6.192824404e+02 +6.492524404e+02 +6.492524404e+02 +2.4614e-01 -1.8512e+00 -2.7735e+00 -9.7878e-01 +4.3659e+00 +2.4455e+00 -4.1035e+00 -3.4864e+00 -9.5793e-01 -3.0088e+00 +1.9435e+00 -1.0459e+00 +3.1251e+00 +1.5500e+00 -7.4748e-01 +2.0991e+00 -4.2122e+00 -7.3589e-02 +1.5937e+00 -3.7654e+00
416 +3.914384473e+02 +3.914384473e+02 +4.214084473e+02 +4.214084473e+02 +1.5913e-01 -5.2238e-01 -3.5079e+00 -1.5458e+00 +4.1207e+00 +3.0276e+00 -3.6718e+00 -4.3286e+00 +9.3249e-02 -2.5932e+00 +3.8148e-01 -1.0639e+00 +4.2178e+00 +2.7145e+00 -1.4368e+00 +1.9651e+00 -3.0645e+00 +1.1475e+00 +1.1169e+00 -3.6068e+00
591 +2.293285840e+02 +2.293285840e+02 +2.592985840e+02 +2.592985840e+02 +1.1564e+00 -1.5493e+00 -3.9409e+00 -2.0672e+00 +3.0580e+00 +3.0606e+00 -3.8808e+00 -4.0740e+00 +7.7750e-01 -2.8740e+00 +8.2573e-01 -1.2094e+00 +3.7576e+00 +2.0855e+00 -1.7470e+00 +2.6126e+00 -3.2468e+00 +6.5554e-01 +1.3543e+00 -3.7027e+00
696 +1.543262906e+02 +1.543262906e+02 +1.842962906e+02 +1.842962906e+02 +1.1992e+00 -1.6706e+00 -3.6566e+00 -2.1824e+00 +3.0297e+00 +2.9310e+00 -3.6151e+00 -3.5561e+00 +4.2772e-01 -2.3896e+00 +9.5473e-01 -1.0697e+00 +3.7559e+00 +2.3331e+00 -1.4773e+00 +2.6672e+00 -3.1051e+00 +5.0361e-01 +1.3014e+00 -3.6806e+00
826 +9.576963811e+01 +9.576963811e+01 +1.257396381e+02 +1.257396381e+02 +1.2134e+00 -1.6884e+00 -3.5090e+00 -2.2027e+00 +3.2588e+00 +2.7475e+00 -4.0747e+00 -3.5340e+00 -4.7523e-02 -2.1289e+00 +4.8547e-01 -1.0918e+00 +3.6403e+00 +2.1199e+00 -1.2960e+00 +2.7305e+00 -3.2388e+00 +4.7034e-01 +1.6258e+00 -3.5999e+00
908 +6.069194016e+01 +6.069194016e+01 +9.066194016e+01 +9.066194016e+01 +1.1896e+00 -1.8315e+00 -3.4678e+00 -2.1298e+00 +3.1376e+00 +2.7615e+00 -4.1943e+00 -3.3639e+00 +1.4402e-01 -2.0473e+00 +6.1336e-01 -1.2069e+00 +3.6975e+00 +2.1822e+00 -1.3483e+00 +2.8038e+00 -3.3449e+00 +2.4224e-01 +1.7761e+00 -3.6797e+00
