1: crossover='0.9', inds='500', mutation='0.1', n_generations='100'
2: crossover='0.24957469801053256', inds='636', mutation='0.24935965856322562', n_generations='114'
3: crossover='0.11633485689279055', inds='553', mutation='0.20128668499288194', n_generations='50'
4: crossover='0.6502855073334343', inds='613', mutation='0.7100151308642039', n_generations='59'
5: crossover='0.43018788706173805', inds='729', mutation='0.7403620499519693', n_generations='59'
6: crossover='0.8667952075485834', inds='529', mutation='0.8047009184287919', n_generations='60'
7: crossover='0.8764578474093534', inds='410', mutation='0.9454156757654633', n_generations='69'
8: crossover='0.6569288132056608', inds='723', mutation='0.1729601127449949', n_generations='107'
9: crossover='0.014760167144817204', inds='376', mutation='0.4951892336015845', n_generations='145'
10: crossover='0.12255886326921828', inds='331', mutation='0.4523936373290718', n_generations='95'
11: crossover='0.7821494403804591', inds='315', mutation='0.6488497147191677', n_generations='64'
12: crossover='0.6263729984362432', inds='744', mutation='0.7472603309874246', n_generations='131'
13: crossover='0.5226439937972344', inds='537', mutation='0.3181864416529674', n_generations='70'
14: crossover='0.01464608863204786', inds='683', mutation='0.1406161298957338', n_generations='126'
15: crossover='0.10664427689994382', inds='565', mutation='0.36100405705036', n_generations='142'
16: crossover='0.20881453212666512', inds='370', mutation='0.4451126738551796', n_generations='147'
17: crossover='0.4026930833070249', inds='423', mutation='0.38501318543488516', n_generations='77'
