1: tournsize='10'
2: tournsize='79'
3: tournsize='175'
4: tournsize='148'
5: tournsize='116'
6: tournsize='61'
7: tournsize='2'
8: tournsize='3'
9: tournsize='110'
10: tournsize='187'
11: tournsize='131'
12: tournsize='86'
13: tournsize='134'
14: tournsize='195'
15: tournsize='132'
16: tournsize='133'
17: tournsize='193'
18: tournsize='126'
19: tournsize='166'
20: tournsize='249'
21: tournsize='238'
22: tournsize='194'
23: tournsize='157'
24: tournsize='236'
25: tournsize='205'
26: tournsize='164'
27: tournsize='109'
28: tournsize='91'
29: tournsize='242'
30: tournsize='80'
31: tournsize='125'
32: tournsize='204'
33: tournsize='246'
34: tournsize='216'
35: tournsize='247'
36: tournsize='50'
37: tournsize='209'
38: tournsize='47'
39: tournsize='248'
40: tournsize='181'
41: tournsize='182'
42: tournsize='17'
43: tournsize='179'
44: tournsize='218'
45: tournsize='14'
46: tournsize='136'
47: tournsize='135'
48: tournsize='159'
49: tournsize='191'
50: tournsize='139'
51: tournsize='46'
52: tournsize='26'
53: tournsize='18'
54: tournsize='206'
55: tournsize='207'
56: tournsize='152'
57: tournsize='208'
58: tournsize='121'
59: tournsize='217'
60: tournsize='99'
61: tournsize='234'
62: tournsize='97'
63: tournsize='196'
64: tournsize='12'
65: tournsize='98'
66: tournsize='188'
67: tournsize='178'
68: tournsize='96'
69: tournsize='215'
70: tournsize='13'
71: tournsize='233'
72: tournsize='141'
73: tournsize='120'
74: tournsize='114'
75: tournsize='81'
76: tournsize='83'
77: tournsize='84'
78: tournsize='43'
79: tournsize='39'
80: tournsize='93'
81: tournsize='40'
82: tournsize='44'
83: tournsize='59'
84: tournsize='69'
85: tournsize='62'
86: tournsize='48'
87: tournsize='64'
88: tournsize='224'
89: tournsize='63'
90: tournsize='160'
91: tournsize='163'
92: tournsize='162'
93: tournsize='244'
94: tournsize='161'
95: tournsize='74'
96: tournsize='9'
97: tournsize='146'
98: tournsize='34'
99: tournsize='68'
100: tournsize='174'
101: tournsize='67'
102: tournsize='171'
103: tournsize='66'
104: tournsize='168'
105: tournsize='65'
106: tournsize='5'
107: tournsize='4'
108: tournsize='105'
109: tournsize='100'
110: tournsize='82'
111: tournsize='101'
112: tournsize='158'
113: tournsize='102'
114: tournsize='92'
115: tournsize='56'
116: tournsize='58'
117: tournsize='240'
118: tournsize='239'
119: tournsize='129'
120: tournsize='241'
121: tournsize='27'
122: tournsize='8'
123: tournsize='103'
124: tournsize='184'
125: tournsize='104'
126: tournsize='85'
127: tournsize='107'
128: tournsize='95'
129: tournsize='51'
130: tournsize='167'
131: tournsize='169'
132: tournsize='172'
133: tournsize='170'
134: tournsize='73'
135: tournsize='32'
136: tournsize='192'
137: tournsize='142'
138: tournsize='24'
139: tournsize='144'
140: tournsize='221'
141: tournsize='118'
142: tournsize='223'
143: tournsize='22'
144: tournsize='78'
145: tournsize='143'
146: tournsize='219'
147: tournsize='11'
148: tournsize='128'
149: tournsize='190'
150: tournsize='122'
151: tournsize='232'
152: tournsize='123'
153: tournsize='229'
154: tournsize='225'
155: tournsize='227'
156: tournsize='151'
157: tournsize='226'
158: tournsize='42'
159: tournsize='29'
160: tournsize='145'
161: tournsize='237'
162: tournsize='150'
163: tournsize='88'
164: tournsize='89'
165: tournsize='149'
166: tournsize='202'
167: tournsize='87'
168: tournsize='189'
169: tournsize='70'
170: tournsize='25'
171: tournsize='111'
172: tournsize='21'
173: tournsize='213'
174: tournsize='94'
175: tournsize='214'
176: tournsize='108'
177: tournsize='38'
178: tournsize='36'
179: tournsize='37'
180: tournsize='45'
181: tournsize='19'
182: tournsize='15'
183: tournsize='231'
184: tournsize='16'
185: tournsize='35'
186: tournsize='230'
187: tournsize='212'
188: tournsize='138'
189: tournsize='173'
190: tournsize='165'
191: tournsize='20'
192: tournsize='127'
193: tournsize='117'
194: tournsize='113'
195: tournsize='115'
196: tournsize='140'
197: tournsize='49'
198: tournsize='210'
199: tournsize='180'
200: tournsize='60'
201: tournsize='28'
202: tournsize='33'
203: tournsize='185'
204: tournsize='52'
205: tournsize='186'
206: tournsize='198'
207: tournsize='90'
208: tournsize='197'
209: tournsize='137'
210: tournsize='235'
211: tournsize='41'
212: tournsize='220'
213: tournsize='156'
214: tournsize='155'
215: tournsize='201'
216: tournsize='154'
217: tournsize='55'
218: tournsize='200'
219: tournsize='183'
220: tournsize='153'
221: tournsize='228'
222: tournsize='245'
223: tournsize='54'
224: tournsize='53'
225: tournsize='31'
226: tournsize='112'
227: tournsize='57'
228: tournsize='250'
229: tournsize='203'
230: tournsize='130'
231: tournsize='124'
232: tournsize='23'
233: tournsize='71'
234: tournsize='72'
235: tournsize='199'
236: tournsize='222'
237: tournsize='77'
238: tournsize='243'
239: tournsize='30'
240: tournsize='177'
241: tournsize='176'
242: tournsize='211'
243: tournsize='75'
244: tournsize='76'
245: tournsize='106'
246: tournsize='119'
247: tournsize='147'
248: tournsize='7'
249: tournsize='6'
