% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.396983841e+02 +6.396983841e+02 +1.776083841e+02 +1.776083841e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 +6.104052996e+02 +6.104052996e+02 +1.483152996e+02 +1.483152996e+02 +5.1930e-01 +1.9763e-01 +6.8327e-01 +9.6460e-01 +7.4165e-02 +8.9509e-01 +3.3431e-01 +7.7171e-01 +8.4402e-01 +9.3075e-01 +9.3485e-01 +1.1150e-02 +2.4617e-01 +3.0542e-01 +7.3713e-01 +6.4976e-01 +2.4101e-01 +9.0683e-01 +2.5218e-01 +4.0404e-01
23 +5.592820749e+02 +5.592820749e+02 +9.719207492e+01 +9.719207492e+01 +6.1580e-01 +6.9157e-01 +6.1196e-01 +3.6515e-02 +3.9097e-01 +7.6497e-01 +2.8735e-01 +6.5783e-01 +5.8173e-01 +5.9388e-01 +8.9433e-01 +9.4102e-01 +1.0814e-03 +6.4707e-01 +8.1773e-01 +1.1748e-01 +1.5348e-01 +5.1661e-01 +8.2177e-01 +4.2305e-01
114 +5.397169206e+02 +5.397169206e+02 +7.762692061e+01 +7.762692061e+01 +5.8347e-01 +4.9753e-01 +8.6242e-01 +5.2671e-01 +9.6352e-01 +8.7560e-02 +4.5832e-01 +6.5929e-01 +6.2415e-01 +1.6496e-01 +8.1970e-01 +8.5062e-01 +3.1196e-01 +3.8646e-01 +4.8275e-01 +9.3303e-01 +4.2006e-01 +8.4463e-01 +9.0350e-01 +5.8637e-01
547 +5.216112510e+02 +5.216112510e+02 +5.952125102e+01 +5.952125102e+01 +5.4000e-01 +9.2644e-01 +5.2212e-01 +5.5224e-01 +1.6159e-02 +9.5527e-02 +2.3008e-01 +9.1569e-01 +6.6965e-01 +9.4462e-02 +5.9811e-01 +3.2297e-01 +2.9866e-01 +9.7213e-01 +1.7003e-01 +8.2095e-02 +2.1624e-01 +7.8371e-01 +7.4218e-01 +8.9056e-01
13165 +5.118296056e+02 +5.118296056e+02 +4.973960560e+01 +4.973960560e+01 +2.1418e-01 +5.3436e-01 +1.4956e-01 +7.9727e-01 +3.2197e-01 +8.7580e-01 +5.0640e-01 +3.6174e-01 +1.0199e-01 +7.8680e-01 +2.7352e-01 +3.7189e-01 +1.0973e-01 +1.9938e-01 +9.1917e-02 +8.2095e-02 +2.1624e-01 +7.8371e-01 +7.4218e-01 +8.9056e-01
18764 +4.956612266e+02 +4.956612266e+02 +3.357122657e+01 +3.357122657e+01 +7.4302e-01 +5.4680e-01 +7.9343e-01 +7.3616e-01 +1.6825e-01 +8.5411e-01 +6.7698e-01 +2.8528e-01 +1.1660e-01 +7.3687e-02 +5.3472e-01 +4.4670e-01 +1.0973e-01 +1.9938e-01 +9.1917e-02 +8.2095e-02 +2.1624e-01 +7.8371e-01 +7.4218e-01 +8.9056e-01
41914 +4.860337541e+02 +4.860337541e+02 +2.394375411e+01 +2.394375411e+01 +2.7991e-01 +5.4680e-01 +7.9343e-01 +7.3616e-01 +1.6825e-01 +8.5411e-01 +6.7698e-01 +2.8528e-01 +1.1660e-01 +7.3687e-02 +5.3472e-01 +4.4670e-01 +1.0973e-01 +1.9938e-01 +9.1917e-02 +8.2095e-02 +2.1624e-01 +7.8371e-01 +7.4218e-01 +8.9056e-01
73316 +4.739725250e+02 +4.739725250e+02 +1.188252501e+01 +1.188252501e+01 +5.2097e-01 +4.6083e-01 +6.6166e-01 +8.2491e-01 +9.6064e-01 +1.7139e-01 +6.6040e-01 +3.7366e-01 +5.0664e-01 +7.3687e-02 +8.3988e-01 +3.6013e-01 +1.1385e-01 +1.9938e-01 +1.5932e-01 +1.8459e-03 +2.9935e-01 +3.6030e-01 +9.0751e-01 +8.4698e-01
80066 +4.619211729e+02 +4.619211729e+02 -1.688271134e-01 -1.688271134e-01 +5.2779e-01 +3.4203e-01 +2.8591e-01 +8.3607e-01 +9.7215e-01 +1.3627e-01 +6.0930e-01 +9.0074e-01 +5.2921e-01 +8.4223e-02 +4.5820e-01 +3.5640e-02 +1.1385e-01 +1.9938e-01 +1.5932e-01 +1.8459e-03 +2.9935e-01 +3.6030e-01 +9.0751e-01 +8.4698e-01
