% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.960016909e+06 +4.960016909e+06 +4.959961969e+06 +4.959961969e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
533 +4.873994447e+06 +4.873994447e+06 +4.873939507e+06 +4.873939507e+06 +2.2360e-01 +6.4664e-01 +1.6234e-01 +1.3521e-01 +9.4498e-01 +7.6853e-01 +3.5848e-01 +1.9267e-01 +1.4746e-02 +6.6279e-01 +6.1723e-01 +2.9887e-01 +2.1568e-01 +5.0313e-01 +7.5139e-02 +1.4986e-01 +9.0294e-01 +8.2974e-01 +7.9960e-01 +3.7317e-01
690 +4.070638070e+06 +4.070638070e+06 +4.070583130e+06 +4.070583130e+06 +1.8011e-01 +2.1645e-01 +6.7634e-02 +2.8457e-01 +9.0982e-01 +7.6505e-01 +8.2409e-01 +1.0212e-01 +9.4367e-03 +7.2433e-01 +8.0754e-02 +5.5334e-01 +9.8225e-01 +2.2753e-01 +9.0733e-01 +4.0168e-01 +1.4954e-01 +9.0882e-01 +4.6728e-01 +1.1534e-01
16821 +3.943311801e+06 +3.943311801e+06 +3.943256861e+06 +3.943256861e+06 +1.8011e-01 +2.1645e-01 +6.7634e-02 +2.8457e-01 +9.0982e-01 +7.6505e-01 +8.2409e-01 +1.0212e-01 +9.4367e-03 +7.2433e-01 +8.0754e-02 +7.9277e-02 +7.6501e-01 +5.2434e-01 +3.0107e-03 +2.8110e-02 +8.5208e-01 +4.3063e-01 +2.7986e-01 +2.1283e-01
17834 +3.587409131e+06 +3.587409131e+06 +3.587354191e+06 +3.587354191e+06 +1.8011e-01 +2.1645e-01 +6.7634e-02 +2.8457e-01 +9.0982e-01 +7.6505e-01 +8.2409e-01 +1.0212e-01 +9.4367e-03 +7.2433e-01 +8.0754e-02 +1.2065e-01 +5.8562e-01 +3.1329e-01 +5.4979e-01 +5.0001e-01 +4.9623e-01 +9.4857e-01 +9.0550e-03 +1.0813e-01
30326 +3.533557647e+06 +3.533557647e+06 +3.533502707e+06 +3.533502707e+06 +1.8011e-01 +2.1645e-01 +8.2186e-02 +2.8457e-01 +9.0982e-01 +7.6505e-01 +9.0776e-01 +1.0212e-01 +9.4367e-03 +8.3124e-01 +3.2140e-01 +9.9890e-01 +7.8490e-01 +2.8287e-01 +1.8997e-01 +5.7128e-01 +9.2687e-01 +9.9572e-01 +2.0024e-01 +3.0300e-01
32302 +3.441537275e+06 +3.441537275e+06 +3.441482335e+06 +3.441482335e+06 +1.8011e-01 +2.1645e-01 +6.7634e-02 +2.8457e-01 +9.0982e-01 +7.6505e-01 +8.2409e-01 +1.0212e-01 +9.4367e-03 +7.2433e-01 +8.0754e-02 +1.2065e-01 +3.3268e-01 +5.1381e-01 +1.0334e-02 +3.0249e-01 +8.5300e-01 +9.4857e-01 +9.0550e-03 +1.0813e-01
34385 +3.355879168e+06 +3.355879168e+06 +3.355824228e+06 +3.355824228e+06 +1.8011e-01 +2.1645e-01 +8.2186e-02 +2.8457e-01 +9.0982e-01 +7.6505e-01 +9.0776e-01 +1.0212e-01 +9.4367e-03 +8.3124e-01 +3.2140e-01 +9.9890e-01 +7.8490e-01 +2.8287e-01 +1.8997e-01 +6.8814e-01 +8.9521e-01 +9.3247e-01 +9.0550e-03 +1.0813e-01
48396 +3.212443924e+06 +3.212443924e+06 +3.212388984e+06 +3.212388984e+06 +2.0868e-01 +1.6839e-01 +1.4605e-02 +1.5895e-01 +9.0982e-01 +7.6505e-01 +9.0776e-01 +1.0212e-01 +9.4367e-03 +8.3124e-01 +3.2140e-01 +9.9890e-01 +7.8490e-01 +2.8287e-01 +1.8997e-01 +6.8814e-01 +8.9521e-01 +9.3247e-01 +9.0550e-03 +1.0813e-01
77177 +3.078564710e+06 +3.078564710e+06 +3.078509770e+06 +3.078509770e+06 +6.2475e-03 +3.1319e-01 +6.7634e-02 +1.8646e-01 +7.3993e-01 +7.6505e-01 +9.0776e-01 +1.0212e-01 +9.4367e-03 +8.3124e-01 +3.2140e-01 +6.9148e-02 +9.0711e-01 +2.8761e-01 +7.4228e-01 +7.4073e-01 +9.9589e-01 +9.4944e-01 +9.0550e-03 +1.0282e-01
