1: tournsize='10'
2: tournsize='97'
3: tournsize='83'
4: tournsize='212'
5: tournsize='61'
6: tournsize='177'
7: tournsize='34'
8: tournsize='144'
9: tournsize='21'
10: tournsize='33'
11: tournsize='12'
12: tournsize='55'
13: tournsize='18'
14: tournsize='109'
15: tournsize='192'
16: tournsize='110'
17: tournsize='209'
