% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.680316576e+01 +3.680316576e+01 -1.554683424e+01 -1.554683424e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
8 +3.508572304e+01 +3.508572304e+01 -1.726427696e+01 -1.726427696e+01 +6.3473e-01 +9.4228e-01 +2.5140e-01 +2.6241e-01 +6.5626e-01 +7.7081e-01 +2.8773e-01 +4.1292e-01 +5.0321e-01 +1.5837e-01 +7.0561e-01 +3.1068e-01 +9.2573e-02 +3.2517e-01 +9.4789e-01 +3.1320e-01 +6.2049e-01 +5.6016e-01 +3.8404e-01 +3.7685e-01
64 +3.125295911e+01 +3.125295911e+01 -2.109704089e+01 -2.109704089e+01 +1.9976e-01 +7.7539e-01 +8.3240e-01 +2.7321e-01 +6.7685e-01 +8.8157e-01 +2.4032e-02 +3.8596e-01 +7.8721e-01 +3.1291e-02 +2.2405e-01 +5.0113e-01 +3.4743e-01 +5.4348e-01 +1.3037e-01 +8.7890e-01 +5.2563e-01 +7.8025e-01 +2.9001e-01 +1.1454e-02
293 +3.079190016e+01 +3.079190016e+01 -2.155809984e+01 -2.155809984e+01 +8.2505e-01 +7.6875e-01 +8.6389e-01 +2.3862e-02 +7.4408e-01 +5.5861e-01 +3.5744e-01 +8.1191e-01 +9.0130e-01 +1.7904e-02 +2.6008e-03 +5.8080e-01 +3.3472e-01 +1.4776e-02 +5.3720e-01 +1.8720e-01 +7.6001e-01 +6.2596e-01 +8.9869e-01 +1.2323e-01
4665 +2.912082016e+01 +2.912082016e+01 -2.322917984e+01 -2.322917984e+01 +7.1839e-01 +5.7420e-01 +8.2814e-01 +4.6119e-02 +1.1780e-02 +5.5760e-01 +1.4869e-01 +8.6058e-02 +8.3241e-01 +4.8110e-02 +8.3394e-01 +9.7035e-01 +3.9527e-01 +9.9831e-02 +5.0625e-01 +6.4221e-01 +5.1731e-01 +4.1375e-01 +7.2501e-01 +8.7647e-02
5533 +2.865179703e+01 +2.865179703e+01 -2.369820297e+01 -2.369820297e+01 +5.1451e-01 +5.7420e-01 +8.2814e-01 +4.6119e-02 +1.1780e-02 +5.5760e-01 +1.4869e-01 +8.6058e-02 +8.3241e-01 +4.8110e-02 +8.3394e-01 +9.7035e-01 +3.9527e-01 +9.9831e-02 +5.0625e-01 +6.4221e-01 +5.1731e-01 +4.1375e-01 +7.2501e-01 +8.7647e-02
17014 +2.785395137e+01 +2.785395137e+01 -2.449604863e+01 -2.449604863e+01 +1.0459e-03 +9.4265e-01 +8.3042e-01 +1.8620e-01 +3.5328e-01 +9.6510e-01 +6.2952e-02 +2.1309e-01 +9.8930e-01 +4.8110e-02 +8.3394e-01 +9.7035e-01 +3.9527e-01 +9.9831e-02 +5.0625e-01 +3.6148e-01 +6.4474e-01 +7.9438e-01 +9.8220e-01 +3.7520e-01
43576 +2.731381644e+01 +2.731381644e+01 -2.503618356e+01 -2.503618356e+01 +3.5240e-01 +5.5060e-01 +6.7131e-01 +1.8620e-01 +3.5328e-01 +9.6510e-01 +6.2952e-02 +2.1309e-01 +9.8930e-01 +4.8110e-02 +8.3394e-01 +9.7035e-01 +3.9527e-01 +9.9831e-02 +5.0625e-01 +3.6148e-01 +6.4474e-01 +7.9438e-01 +7.9135e-01 +1.9608e-01
69600 +2.682831425e+01 +2.682831425e+01 -2.552168575e+01 -2.552168575e+01 +3.5240e-01 +5.5060e-01 +6.7131e-01 +1.8620e-01 +3.5328e-01 +9.6510e-01 +6.2952e-02 +2.1309e-01 +9.8930e-01 +4.8110e-02 +8.3394e-01 +9.7035e-01 +3.9527e-01 +9.9831e-02 +5.0625e-01 +3.6148e-01 +6.4474e-01 +7.9438e-01 +9.3203e-01 +1.6653e-01
82766 +2.510717798e+01 +2.510717798e+01 -2.724282202e+01 -2.724282202e+01 +3.5240e-01 +5.5060e-01 +6.7131e-01 +4.6119e-02 +6.2293e-02 +9.6510e-01 +1.7982e-01 +3.4907e-02 +9.8930e-01 +4.1022e-03 +1.2527e-01 +9.7035e-01 +6.7382e-01 +9.9831e-02 +7.4808e-01 +5.1788e-02 +3.5207e-01 +4.1569e-01 +9.3294e-01 +2.1206e-02
