% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.114693275e+06 +1.114693275e+06 +1.114729175e+06 +1.114729175e+06 -6.0264e-02 -5.1292e-01 -1.9350e+00 -1.9558e+00 +3.4294e+00 -1.4281e+00 -4.3813e+00 -2.6805e+00 +4.0621e+00 +3.5336e+00 -4.8967e+00 -2.4460e+00 -4.9318e-01 +4.9059e+00 +6.7042e-02 +6.0126e-01 -2.8002e+00 +3.7456e+00 -3.1989e+00 +1.6256e+00
68 +7.915339964e+05 +7.915339964e+05 +7.915698964e+05 +7.915698964e+05 +5.7517e+00 +5.5437e+00 -3.4105e-02 +2.5856e-01 -2.8521e+00 -4.8614e-02 -3.3929e+00 -3.9119e+00 +4.8387e+00 +5.9122e+00 -2.7417e-01 -1.6178e+00 +2.3190e+00 +9.5864e+00 +2.8088e+00 -1.9833e+00 -1.8900e-01 +3.8394e+00 -9.9797e+00 -4.8804e-01
93 +4.355905492e+05 +4.355905492e+05 +4.356264492e+05 +4.356264492e+05 +8.6785e+00 +2.6188e+00 +4.1438e+00 +1.5369e+00 -3.3462e+00 -4.4738e+00 -2.1716e+00 -8.3843e+00 +5.3912e+00 +3.2044e+00 -1.5557e-01 -1.1378e+00 +1.1131e+00 +4.1595e+00 +5.8705e-01 +1.7865e+00 -2.1222e+00 +9.3081e+00 -5.2955e+00 -3.6306e+00
112 +2.318594975e+05 +2.318594975e+05 +2.318953975e+05 +2.318953975e+05 +5.8985e+00 +4.3225e+00 +3.2261e+00 +1.5202e+00 -7.2052e+00 -8.8336e+00 -1.9730e+00 -9.7793e+00 +8.1641e+00 -5.5140e-01 -4.5999e-01 +1.2275e+00 +3.1178e+00 +2.2496e+00 -1.4257e+00 -2.2227e+00 +1.0641e+00 +8.3853e+00 -4.9541e+00 -9.2868e+00
134 +6.380453368e+04 +6.380453368e+04 +6.384043368e+04 +6.384043368e+04 +1.9707e+00 +4.2152e+00 +6.7852e+00 +3.7352e+00 -1.0847e+01 -1.0351e+01 -5.3216e+00 -9.2790e+00 +1.0731e+01 -4.2228e+00 -4.3642e+00 -1.9701e+00 -1.3388e-02 -1.6406e+00 -5.0594e-02 +1.6862e+00 -3.3469e-01 +1.2610e+01 -8.0986e+00 -6.9219e+00
154 +3.440568970e+04 +3.440568970e+04 +3.444158970e+04 +3.444158970e+04 +4.6028e+00 +2.3701e+00 +8.4178e+00 +4.4639e+00 -8.2828e+00 -1.0081e+01 -1.4343e+00 -9.3872e+00 +6.8332e+00 -6.2455e+00 -3.7725e+00 +2.3786e-01 +1.0897e+00 -2.3258e+00 -1.1768e+00 +1.0698e+00 -9.4111e-01 +1.6030e+01 -6.2490e+00 -6.5067e+00
164 +1.688252479e+04 +1.688252479e+04 +1.691842479e+04 +1.691842479e+04 +7.3577e-01 +2.9412e+00 +1.0691e+01 +6.9477e+00 -5.8323e+00 -7.0198e+00 +1.3495e+00 -1.0118e+01 +1.0656e+01 -8.5386e+00 -4.2235e+00 -2.3454e+00 +2.4782e-01 -2.3170e+00 -1.8473e+00 -2.7724e+00 +1.5761e+00 +2.1468e+01 -5.1317e+00 -3.3255e+00
166 +1.022427095e+03 +1.022427095e+03 +1.058327095e+03 +1.058327095e+03 +2.5523e+00 +2.4852e+00 +1.0986e+01 +6.1732e+00 -5.6876e+00 -8.2618e+00 +4.7071e-01 -8.8383e+00 +9.9465e+00 -1.0554e+01 -4.9923e+00 -4.6016e+00 +8.9500e-01 -2.2587e+00 -3.3613e+00 -5.5961e+00 +7.5807e-01 +2.1007e+01 -3.7757e+00 -8.2239e+00
172 +9.938772429e+02 +9.938772429e+02 +1.029777243e+03 +1.029777243e+03 +4.1251e-01 +1.0166e+00 +1.2893e+01 +7.3572e+00 -4.4064e+00 -1.0110e+01 +2.1453e+00 -8.6787e+00 +8.6949e+00 -1.1042e+01 -4.0855e+00 -3.4927e+00 -7.4340e-01 -4.1564e+00 -7.7659e-01 -6.3058e+00 -1.5831e+00 +1.8572e+01 -3.9190e+00 -8.4924e+00
251 +5.995302455e+02 +5.995302455e+02 +6.354302455e+02 +6.354302455e+02 -1.0520e+00 +2.9811e+00 +1.0800e+01 +1.7428e+00 -3.7002e+00 -8.7451e+00 +8.2800e-01 -5.9926e+00 +7.1195e+00 -8.1948e+00 -1.7113e+00 -2.0760e+00 -3.2066e+00 -2.8879e+00 -9.4425e-01 -4.7413e+00 +1.2518e-01 +1.3106e+01 -3.1304e+00 -9.1347e+00
399 +3.939767203e+02 +3.939767203e+02 +4.298767203e+02 +4.298767203e+02 +2.9359e-01 +6.2536e+00 +7.1497e+00 +2.8444e+00 -5.2232e+00 -5.8765e+00 -3.2610e-01 -7.9528e+00 +4.5548e+00 -6.8884e+00 -3.0067e+00 -2.8962e+00 -1.9456e+00 -3.5698e+00 -1.7203e+00 -4.5198e+00 +5.7385e+00 +1.0091e+01 -1.5148e+00 -2.6421e+00
442 +2.504540538e+02 +2.504540538e+02 +2.863540538e+02 +2.863540538e+02 -1.2745e+00 +4.8872e+00 +7.4682e+00 +3.2097e+00 -4.1394e+00 -7.0673e+00 -6.2203e-01 -6.7261e+00 +2.9537e+00 -4.9361e+00 -3.3281e+00 -3.8010e+00 -2.0643e+00 -5.0814e+00 -2.2245e+00 -3.1310e+00 +3.7979e+00 +7.9002e+00 -1.2041e+00 -2.3905e+00
554 +1.414982268e+02 +1.414982268e+02 +1.773982268e+02 +1.773982268e+02 +1.1187e+00 +5.3752e+00 +4.9587e+00 +2.7428e+00 -3.7373e+00 -5.3071e+00 -1.8780e+00 -5.3425e+00 -1.9451e+00 -3.4201e+00 -2.5684e+00 -1.9408e+00 -2.1086e+00 -5.1740e+00 -3.6477e-01 -3.6016e+00 +2.0961e+00 +7.7751e+00 -7.2456e-01 -2.5114e+00
610 +9.400262125e+01 +9.400262125e+01 +1.299026213e+02 +1.299026213e+02 +2.1127e+00 +3.9185e+00 +4.2847e+00 +2.5176e+00 -3.7820e+00 -4.7653e+00 -7.0662e-01 -4.6380e+00 -1.7359e+00 -3.1193e+00 -2.7674e+00 -1.0894e+00 -1.6485e+00 -2.9260e+00 +7.5195e-01 -4.1545e+00 +1.9489e+00 +6.3519e+00 -1.5082e+00 -2.1487e+00
703 +6.269884323e+01 +6.269884323e+01 +9.859884323e+01 +9.859884323e+01 +1.0841e+00 +3.8449e+00 +4.0424e+00 +3.4945e+00 -3.2244e+00 -4.2106e+00 -1.5865e+00 -3.1175e+00 -1.1887e+00 -3.1816e+00 -2.6486e+00 -3.5491e-01 -8.3172e-01 -3.1927e+00 +2.0332e+00 -4.2850e+00 +1.7593e+00 +5.2649e+00 -1.2177e+00 -2.2588e+00
896 +3.959566549e+01 +3.959566549e+01 +7.549566549e+01 +7.549566549e+01 +1.1886e+00 +3.3886e+00 +3.2210e+00 +3.9134e+00 -2.3781e+00 -4.1756e+00 -1.9701e+00 -2.4619e+00 -1.3146e+00 -2.8914e+00 -2.1913e+00 -5.9329e-01 -8.6888e-01 -2.4770e+00 +1.7330e+00 -4.1030e+00 +1.5303e+00 +4.6782e+00 -1.5068e+00 -2.3406e+00
1014 +2.494234303e+01 +2.494234303e+01 +6.084234303e+01 +6.084234303e+01 +1.4625e+00 +2.6464e+00 +3.3513e+00 +3.9937e+00 -2.5303e+00 -4.1813e+00 -2.2678e+00 -2.4902e+00 -1.7225e+00 -2.7621e+00 -1.7951e+00 -4.6362e-01 -3.5175e-01 -1.7238e+00 +1.7722e+00 -4.0680e+00 +1.5555e+00 +4.4585e+00 -1.4001e+00 -2.2545e+00
1254 +1.535895798e+01 +1.535895798e+01 +5.125895798e+01 +5.125895798e+01 +1.6575e+00 +2.3620e+00 +3.2181e+00 +3.7531e+00 -2.0151e+00 -3.7430e+00 -2.5436e+00 -2.3071e+00 -1.5039e+00 -2.6042e+00 -1.8114e+00 +5.9065e-02 -7.0356e-01 -9.6688e-01 +1.7408e+00 -3.8729e+00 +1.3078e+00 +4.0387e+00 -1.9038e+00 -2.7227e+00
1423 +9.849765304e+00 +9.849765304e+00 +4.574976530e+01 +4.574976530e+01 +1.9873e+00 +2.1825e+00 +3.2140e+00 +3.5856e+00 -1.9364e+00 -3.5703e+00 -2.6211e+00 -2.3951e+00 -1.9447e+00 -2.6909e+00 -1.7897e+00 +3.7989e-01 -7.9386e-01 -6.8453e-01 +1.5292e+00 -3.9395e+00 +8.7868e-01 +3.7375e+00 -1.6198e+00 -2.8817e+00
1563 +6.186612702e+00 +6.186612702e+00 +4.208661270e+01 +4.208661270e+01 +2.3325e+00 +1.9849e+00 +3.0830e+00 +3.6261e+00 -1.8473e+00 -3.5020e+00 -2.6651e+00 -2.3563e+00 -2.2196e+00 -2.7892e+00 -1.6792e+00 +6.0295e-01 -6.1027e-01 -5.0229e-01 +1.4179e+00 -3.9461e+00 +6.6892e-01 +3.5331e+00 -1.5479e+00 -2.9974e+00
1807 +3.943223598e+00 +3.943223598e+00 +3.984322360e+01 +3.984322360e+01 +2.5509e+00 +1.6426e+00 +2.9991e+00 +3.5985e+00 -1.7789e+00 -3.3312e+00 -2.5304e+00 -2.1766e+00 -2.3389e+00 -2.7316e+00 -1.6850e+00 +5.4954e-01 -5.5446e-01 -4.8028e-01 +1.4451e+00 -3.9243e+00 +7.4188e-01 +3.4035e+00 -1.4535e+00 -2.9879e+00
