% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
17042 +1.317956394e+02 +1.317956394e+02 +5.262756394e+02 +5.262756394e+02 +7.2949e-02 +3.2980e-01 +3.6046e-01 +9.5461e-01 +4.3174e-01 +5.4271e-02 +6.8489e-01 +1.9191e-01 +2.3918e-01 +5.4777e-02 +2.5353e-01 +3.5212e-01 +9.2283e-01 +6.8405e-01 +9.1820e-03 +9.4020e-01 +9.1448e-02 +7.4534e-01 +9.9130e-01 +7.6272e-01
28295 +1.286171974e+02 +1.286171974e+02 +5.230971974e+02 +5.230971974e+02 +7.2949e-02 +3.2980e-01 +3.6046e-01 +9.5461e-01 +4.3174e-01 +5.4271e-02 +6.8489e-01 +1.9191e-01 +2.3918e-01 +5.4777e-02 +2.5353e-01 +3.5212e-01 +9.2283e-01 +8.5266e-01 +9.1820e-03 +9.4020e-01 +5.8217e-02 +1.5008e-01 +1.0276e-02 +1.5483e-01
78878 +1.253935065e+02 +1.253935065e+02 +5.198735065e+02 +5.198735065e+02 +1.1666e-01 +1.1496e-01 +1.4932e-01 +9.9904e-01 +8.4256e-01 +1.4727e-01 +8.9329e-01 +4.3856e-01 +5.8428e-01 +1.2008e-01 +7.7473e-01 +6.9578e-01 +7.5526e-02 +9.8294e-01 +1.5010e-01 +9.3969e-01 +1.5551e-02 +6.8518e-02 +1.8792e-01 +8.4904e-01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.231669958e+02 +1.231669958e+02 -1.239430042e+02 -1.239430042e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.174794756e+02 +1.174794756e+02 -1.296305244e+02 -1.296305244e+02 +4.5506e-01 +3.1100e-01 +1.6885e-01 +8.6489e-01 +2.2465e-01 +7.9234e-01 +1.8145e-02 +8.7483e-01 +9.1308e-01 +8.7287e-01 +7.5191e-01 +3.6117e-01 +5.5523e-01 +8.2055e-01 +5.9342e-01 +3.7133e-01 +9.9443e-01 +2.6261e-01 +7.0511e-01 +5.6638e-01
3 +1.143449496e+02 +1.143449496e+02 -1.327650504e+02 -1.327650504e+02 +9.0568e-02 +4.9540e-01 +9.1034e-01 +6.6722e-01 +6.2102e-01 +6.9502e-01 +2.9685e-01 +1.1154e-01 +4.8404e-01 +7.4464e-01 +7.5105e-02 +7.7678e-01 +5.7001e-01 +3.2007e-01 +4.6243e-01 +3.3020e-01 +6.1199e-01 +9.1554e-02 +5.2274e-01 +5.4738e-01
7 +1.120370061e+02 +1.120370061e+02 -1.350729939e+02 -1.350729939e+02 +2.8721e-02 +8.8335e-02 +6.3912e-01 +2.3248e-01 +9.4296e-02 +6.1047e-01 +4.0342e-02 +1.1465e-01 +1.8282e-01 +4.9811e-02 +9.4622e-01 +7.6371e-01 +1.9642e-01 +4.7314e-01 +2.6211e-01 +7.3862e-01 +6.1214e-01 +2.8809e-01 +2.3243e-01 +7.3240e-01
12 +1.085490469e+02 +1.085490469e+02 -1.385609531e+02 -1.385609531e+02 +6.1630e-01 +9.4537e-01 +6.8976e-01 +2.1755e-01 +2.3734e-01 +4.6177e-01 +9.9796e-01 +3.4746e-01 +8.5673e-02 +7.8846e-01 +2.3255e-01 +8.9113e-01 +5.5512e-01 +3.9889e-01 +6.9583e-01 +3.7062e-01 +3.8254e-01 +4.0150e-01 +9.9294e-01 +7.9948e-01
37 +1.055952864e+02 +1.055952864e+02 -1.415147136e+02 -1.415147136e+02 +3.0973e-01 +2.7950e-01 +1.3007e-01 +5.0443e-02 +5.0125e-01 +8.9314e-02 +1.4509e-01 +6.7187e-02 +3.5606e-01 +8.9588e-01 +4.8341e-01 +2.2020e-01 +7.9088e-01 +3.3573e-01 +8.7724e-01 +7.2834e-01 +5.5658e-01 +4.8631e-01 +8.4319e-01 +5.2064e-01
