% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.831961742e+04 +1.831961742e+04 +1.777311742e+04 +1.777311742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
53 +1.621561293e+04 +1.621561293e+04 +1.566911293e+04 +1.566911293e+04 +2.4559e-01 +8.4900e-01 +8.1188e-01 +1.5585e-01 +9.0115e-01 +1.8107e-01 +2.7017e-01 +6.2533e-01 +3.2431e-01 +9.0623e-01 +3.7365e-01 +5.5088e-01 +7.1248e-01 +1.6055e-01 +3.7519e-01 +1.5469e-01 +3.3226e-01 +5.4187e-01 +5.9754e-02 +8.7132e-01
80 +1.268915630e+04 +1.268915630e+04 +1.214265630e+04 +1.214265630e+04 +4.5829e-01 +9.2696e-01 +7.5141e-01 +4.5949e-01 +9.5837e-01 +8.5538e-02 +1.8841e-01 +9.8320e-01 +8.3006e-01 +7.4962e-01 +9.7082e-01 +6.9284e-01 +8.5907e-01 +4.5320e-01 +9.0801e-01 +4.5966e-01 +6.4189e-01 +8.1785e-02 +1.4350e-01 +8.9297e-01
571 +1.248266447e+04 +1.248266447e+04 +1.193616447e+04 +1.193616447e+04 +5.2765e-01 +2.1624e-01 +1.9250e-01 +8.7378e-01 +6.0109e-01 +6.8050e-01 +1.2263e-01 +2.1697e-01 +5.9853e-01 +9.8506e-01 +4.0690e-01 +9.2554e-02 +8.5928e-01 +3.3676e-01 +2.8141e-01 +2.5485e-01 +6.4189e-01 +8.1785e-02 +1.4350e-01 +8.9297e-01
1688 +9.839143418e+03 +9.839143418e+03 +9.292643418e+03 +9.292643418e+03 +8.0311e-01 +6.6717e-01 +9.9358e-01 +6.6433e-01 +2.9242e-01 +1.1946e-02 +3.8636e-01 +4.7019e-01 +8.3159e-01 +8.7797e-01 +4.2600e-01 +6.1143e-01 +4.4466e-01 +1.6364e-01 +6.4924e-01 +1.7881e-01 +6.9865e-01 +3.5646e-02 +1.6776e-02 +8.0129e-01
2579 +9.565925170e+03 +9.565925170e+03 +9.019425170e+03 +9.019425170e+03 +2.4559e-01 +8.4900e-01 +8.1188e-01 +1.5585e-01 +9.0115e-01 +1.8107e-01 +2.7017e-01 +6.2533e-01 +3.2431e-01 +8.7797e-01 +4.2600e-01 +6.1143e-01 +4.4466e-01 +1.6364e-01 +6.4924e-01 +1.7881e-01 +6.9865e-01 +3.5646e-02 +1.6776e-02 +8.0129e-01
11204 +9.050948402e+03 +9.050948402e+03 +8.504448402e+03 +8.504448402e+03 +9.5656e-01 +8.6299e-01 +4.5664e-02 +5.4536e-01 +8.0243e-02 +3.0528e-01 +2.1900e-01 +6.2533e-01 +3.2431e-01 +8.7797e-01 +3.9602e-01 +6.1143e-01 +4.4466e-01 +1.6364e-01 +6.4924e-01 +4.5751e-02 +6.9865e-01 +3.5646e-02 +1.6776e-02 +8.0129e-01
18606 +8.785190454e+03 +8.785190454e+03 +8.238690454e+03 +8.238690454e+03 +8.8843e-01 +5.4080e-01 +4.9372e-01 +9.8586e-01 +3.4323e-01 +9.4549e-02 +6.3250e-01 +9.8600e-01 +2.2318e-01 +6.2045e-02 +8.5128e-01 +2.9587e-01 +9.8464e-01 +1.6364e-01 +6.4924e-01 +4.5751e-02 +6.9865e-01 +3.5646e-02 +1.6776e-02 +8.0129e-01
31056 +8.677476469e+03 +8.677476469e+03 +8.130976469e+03 +8.130976469e+03 +2.6214e-01 +4.9938e-01 +7.2063e-01 +6.2943e-01 +8.0285e-01 +7.6448e-01 +5.0977e-01 +9.8600e-01 +2.2318e-01 +6.2045e-02 +8.5128e-01 +2.9587e-01 +9.8464e-01 +1.6364e-01 +6.4924e-01 +1.2049e-02 +6.9865e-01 +3.5646e-02 +1.6776e-02 +8.0129e-01
33814 +8.457056281e+03 +8.457056281e+03 +7.910556281e+03 +7.910556281e+03 +3.0616e-01 +2.1927e-01 +7.7495e-01 +1.4668e-01 +3.7511e-01 +1.1346e-01 +1.7046e-01 +7.6240e-01 +2.2318e-01 +3.5076e-03 +8.5128e-01 +2.9587e-01 +9.8464e-01 +1.1235e-01 +6.4924e-01 +4.5751e-02 +8.1058e-01 +3.5646e-02 +1.6776e-02 +8.0129e-01
48324 +8.274288789e+03 +8.274288789e+03 +7.727788789e+03 +7.727788789e+03 +9.0307e-01 +6.6662e-01 +2.3170e-02 +4.9835e-01 +2.8128e-01 +3.7216e-02 +8.5319e-01 +6.2533e-01 +5.2580e-02 +7.4555e-02 +5.9227e-01 +2.9587e-01 +5.9230e-01 +1.1235e-01 +6.4924e-01 +4.5751e-02 +8.1058e-01 +3.5646e-02 +1.6776e-02 +9.8733e-01
52979 +8.082563794e+03 +8.082563794e+03 +7.536063794e+03 +7.536063794e+03 +6.3359e-01 +5.6633e-01 +9.5918e-01 +7.3883e-01 +9.1153e-01 +3.0528e-01 +3.4325e-01 +2.4475e-01 +2.2318e-01 +2.5774e-01 +3.1029e-01 +7.7038e-01 +5.3863e-01 +3.3401e-02 +6.4924e-01 +4.5751e-02 +8.1058e-01 +3.5646e-02 +1.6776e-02 +9.8733e-01
64779 +7.938560690e+03 +7.938560690e+03 +7.392060690e+03 +7.392060690e+03 +5.8182e-01 +6.0616e-01 +9.1485e-01 +3.6308e-01 +9.5387e-01 +3.2558e-01 +5.0977e-01 +7.9508e-01 +3.2431e-01 +3.9583e-01 +5.8853e-01 +5.7216e-01 +8.3953e-01 +8.8555e-02 +6.4924e-01 +4.5751e-02 +8.1058e-01 +3.5646e-02 +1.9591e-03 +9.8145e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.831961742e+04 +1.831961742e+04 +1.931961742e+04 +1.931961742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
52287 +1.774387065e+04 +1.774387065e+04 +1.874387065e+04 +1.874387065e+04 +9.8924e-02 +8.3756e-01 +2.1135e-01 +2.3953e-01 +3.2340e-01 +1.7143e-01 +1.9961e-01 +7.1214e-01 +3.7496e-02 +5.5245e-01 +1.1771e-01 +6.3217e-03 +3.3289e-01 +1.5103e-01 +8.9794e-02 +2.7032e-01 +8.1725e-02 +1.8685e-03 +2.1629e-02 +8.9354e-01
80701 +1.736464899e+04 +1.736464899e+04 +1.836464899e+04 +1.836464899e+04 +7.8210e-01 +3.4225e-01 +1.3515e-01 +6.1200e-01 +7.4502e-01 +6.3172e-01 +3.2960e-04 +4.1660e-01 +1.9200e-01 +3.2827e-01 +1.1771e-01 +6.3217e-03 +3.3289e-01 +1.6483e-01 +8.9794e-02 +2.7032e-01 +8.1725e-02 +1.8685e-03 +2.1629e-02 +9.9328e-01
92397 +1.673200023e+04 +1.673200023e+04 +1.773200023e+04 +1.773200023e+04 +9.8645e-01 +2.4430e-01 +9.3970e-01 +4.6744e-01 +6.9397e-01 +4.0327e-01 +3.3891e-01 +6.4188e-01 +5.9962e-01 +8.5415e-02 +8.7103e-02 +6.3217e-03 +1.5517e-01 +1.6483e-01 +8.9794e-02 +2.7032e-01 +8.1725e-02 +1.8685e-03 +2.1629e-02 +9.9328e-01
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.831961742e+04 +1.831961742e+04 +1.852799742e+04 +1.852799742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.549516017e+04 +1.549516017e+04 +1.570354017e+04 +1.570354017e+04 +9.6155e-01 +1.4405e-01 +7.8697e-01 +6.6202e-01 +5.6128e-01 +4.1060e-01 +7.6981e-01 +5.0205e-01 +3.8747e-01 +2.8197e-01 +3.6764e-01 +3.8917e-01 +3.4632e-02 +7.2198e-01 +1.9467e-01 +9.0110e-01 +5.1274e-01 +1.3513e-01 +3.6254e-01 +7.5493e-01
3 +1.346059953e+04 +1.346059953e+04 +1.366897953e+04 +1.366897953e+04 +9.5709e-01 +1.9669e-01 +1.2791e-02 +1.0354e-01 +5.4410e-02 +3.4890e-01 +4.9032e-01 +1.2756e-02 +9.1093e-01 +7.4298e-02 +5.1147e-01 +1.1324e-01 +5.8477e-01 +7.3256e-01 +4.5382e-01 +7.0829e-01 +6.3373e-01 +3.6747e-01 +9.4035e-01 +3.6558e-01
6 +1.235752744e+04 +1.235752744e+04 +1.256590744e+04 +1.256590744e+04 +1.0824e-01 +5.5675e-01 +1.3218e-01 +8.1374e-01 +3.2635e-01 +3.8616e-01 +6.6760e-01 +4.6027e-01 +1.6388e-02 +2.1590e-02 +2.9377e-01 +4.8262e-01 +9.6082e-01 +1.8617e-01 +3.2555e-01 +7.0948e-01 +4.6460e-01 +7.3713e-01 +3.1025e-01 +7.6000e-01
8 +8.302012797e+03 +8.302012797e+03 +8.510392797e+03 +8.510392797e+03 +9.1954e-02 +6.6716e-01 +4.8401e-02 +2.4118e-01 +4.4793e-01 +8.3306e-01 +1.9127e-02 +9.1167e-01 +3.8137e-01 +6.7345e-01 +5.7680e-01 +6.6694e-01 +8.0581e-02 +1.9401e-01 +8.1105e-01 +8.6113e-01 +3.8375e-01 +6.9020e-01 +8.1903e-01 +6.5884e-01
15 +5.640188510e+03 +5.640188510e+03 +5.848568510e+03 +5.848568510e+03 +8.0833e-01 +6.7178e-01 +7.4097e-02 +3.0421e-02 +2.9682e-02 +2.6777e-02 +6.2974e-01 +6.4767e-02 +2.8302e-01 +7.7842e-01 +8.4950e-01 +2.9819e-01 +1.8969e-01 +1.4340e-01 +7.1844e-01 +1.5296e-01 +1.1176e-01 +6.1212e-01 +6.2440e-01 +7.8242e-01
20 +4.662871885e+03 +4.662871885e+03 +4.871251885e+03 +4.871251885e+03 +9.1932e-01 +8.4728e-01 +2.5717e-01 +3.1473e-01 +8.3506e-01 +6.7767e-01 +2.6095e-01 +4.0113e-01 +8.0395e-01 +6.1100e-01 +1.9620e-01 +4.7876e-02 +7.8630e-02 +3.5781e-01 +6.1581e-01 +4.1431e-02 +8.1031e-01 +2.9785e-01 +7.6503e-01 +7.2900e-01
301 +3.369513622e+03 +3.369513622e+03 +3.577893622e+03 +3.577893622e+03 +9.3990e-01 +6.3862e-02 +2.6154e-01 +2.4970e-02 +1.1262e-02 +9.4996e-01 +5.1918e-01 +9.9885e-01 +5.3647e-01 +9.5757e-01 +9.2599e-01 +5.9465e-01 +2.0761e-01 +1.2190e-01 +9.4598e-01 +1.3082e-01 +5.3108e-01 +8.6323e-01 +5.0127e-01 +9.8526e-01
5392 +3.303344296e+03 +3.303344296e+03 +3.511724296e+03 +3.511724296e+03 +8.6184e-01 +8.2187e-01 +6.0183e-01 +2.8098e-01 +8.3590e-01 +9.8771e-01 +3.0283e-01 +5.3637e-01 +1.6159e-01 +4.9614e-01 +9.1790e-01 +7.5092e-01 +2.0761e-01 +1.2190e-01 +9.4598e-01 +1.3082e-01 +5.3108e-01 +8.6323e-01 +5.0127e-01 +9.8526e-01
13123 +2.883584103e+03 +2.883584103e+03 +3.091964103e+03 +3.091964103e+03 +7.8120e-02 +7.9651e-01 +1.2756e-01 +2.0212e-01 +8.7904e-01 +7.6008e-01 +4.5709e-01 +7.8910e-01 +1.6159e-01 +4.9614e-01 +9.1790e-01 +7.5092e-01 +2.0761e-01 +1.2190e-01 +9.4598e-01 +8.0229e-03 +7.8796e-01 +4.4100e-01 +8.3312e-01 +6.5978e-01
21637 +2.748993060e+03 +2.748993060e+03 +2.957373060e+03 +2.957373060e+03 +2.6959e-02 +7.1993e-03 +3.8883e-01 +9.3246e-01 +8.3740e-01 +3.2626e-01 +8.7905e-01 +4.3415e-01 +5.3597e-01 +7.1248e-01 +5.9619e-01 +6.5890e-01 +2.5875e-01 +1.2190e-01 +9.4598e-01 +8.0229e-03 +7.8796e-01 +4.4100e-01 +8.3312e-01 +8.6911e-01
23626 +2.659751397e+03 +2.659751397e+03 +2.868131397e+03 +2.868131397e+03 +5.5012e-01 +9.3831e-01 +5.3046e-01 +9.3185e-01 +7.9028e-01 +4.9440e-01 +7.4665e-01 +9.5219e-01 +1.3740e-01 +2.5278e-01 +9.0372e-02 +6.5890e-01 +2.5875e-01 +1.2190e-01 +9.4598e-01 +8.0229e-03 +7.8796e-01 +4.4100e-01 +8.3312e-01 +9.9020e-01
