% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.100943907e+07 +1.100943907e+07 +1.100922919e+07 +1.100922919e+07 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.050947948e+07 +1.050947948e+07 +1.050926960e+07 +1.050926960e+07 +9.2948e-01 +2.4520e-01 +4.5403e-01 +7.6423e-01 +7.6119e-01 +3.8471e-01 +9.0958e-01 +9.3453e-01 +3.6713e-01 +8.7891e-01 +3.1905e-01 +7.3637e-01 +5.6943e-01 +2.8343e-01 +1.4158e-02 +4.8879e-01 +4.8611e-01 +1.3418e-01 +1.1602e-01 +3.9466e-01
4 +1.014224732e+07 +1.014224732e+07 +1.014203744e+07 +1.014203744e+07 +8.6863e-01 +9.4244e-01 +5.1207e-01 +8.4918e-01 +1.9263e-02 +4.8467e-01 +2.1850e-01 +4.4231e-01 +6.0177e-01 +7.1148e-01 +3.1909e-01 +4.7329e-01 +9.3020e-01 +9.7250e-01 +5.5183e-01 +7.2079e-01 +5.7234e-02 +1.2922e-01 +7.6665e-01 +8.2646e-01
5 +9.838236868e+06 +9.838236868e+06 +9.838026988e+06 +9.838026988e+06 +3.1690e-01 +8.7833e-01 +6.4960e-01 +2.9994e-01 +1.3635e-01 +6.0746e-01 +9.6869e-01 +6.6345e-01 +4.5763e-01 +6.4761e-01 +8.9109e-01 +9.1381e-01 +2.6207e-01 +7.0432e-01 +4.7154e-02 +6.9097e-01 +1.1210e-01 +8.3050e-01 +1.7226e-01 +3.4907e-01
8 +9.289067677e+06 +9.289067677e+06 +9.288857797e+06 +9.288857797e+06 +1.9196e-01 +8.9958e-01 +4.8923e-02 +1.4817e-01 +1.1960e-01 +5.4482e-01 +2.2149e-02 +7.1604e-02 +3.7336e-01 +8.7255e-03 +1.7108e-01 +4.0792e-01 +7.6195e-01 +1.7011e-01 +5.7869e-01 +1.5632e-01 +6.2204e-01 +7.4351e-01 +3.5839e-01 +6.8192e-01
30 +8.170196182e+06 +8.170196182e+06 +8.169986302e+06 +8.169986302e+06 +8.5122e-01 +1.0427e-01 +5.9945e-01 +6.6017e-01 +2.5562e-01 +7.5813e-01 +7.5145e-01 +9.4052e-01 +6.1377e-01 +1.7727e-01 +2.4714e-01 +7.2921e-01 +9.0932e-01 +2.3958e-01 +1.4502e-02 +5.3806e-01 +2.6262e-01 +9.3825e-01 +2.1322e-01 +8.3571e-01
165 +7.884317923e+06 +7.884317923e+06 +7.884108043e+06 +7.884108043e+06 +7.1403e-02 +4.0968e-02 +5.5742e-03 +7.5353e-01 +2.6470e-01 +9.0747e-01 +9.5795e-01 +7.8226e-01 +1.4675e-01 +8.9335e-01 +3.1312e-01 +1.7933e-01 +9.1303e-01 +4.6061e-01 +1.7425e-02 +7.3039e-01 +1.4583e-02 +7.4785e-01 +2.0128e-02 +8.3264e-01
409 +7.512670832e+06 +7.512670832e+06 +7.512460952e+06 +7.512460952e+06 +2.8977e-01 +1.4102e-01 +8.3574e-01 +5.0537e-02 +1.2275e-01 +9.7666e-01 +4.1341e-01 +8.4429e-01 +2.7501e-01 +7.5620e-01 +8.2312e-01 +5.6578e-01 +7.4635e-01 +4.8285e-01 +9.1024e-01 +2.1154e-01 +3.0829e-01 +8.7918e-01 +3.6401e-02 +9.5958e-01
3759 +7.369014660e+06 +7.369014660e+06 +7.368804780e+06 +7.368804780e+06 +3.8413e-01 +7.5722e-03 +3.6855e-01 +3.0145e-01 +7.7195e-01 +2.8074e-01 +8.1031e-01 +4.9843e-01 +9.7433e-01 +8.7569e-01 +8.3851e-01 +8.6868e-01 +9.6047e-01 +2.2472e-01 +3.1796e-02 +2.1154e-01 +3.0829e-01 +8.7918e-01 +3.6401e-02 +9.5958e-01
16682 +7.151997886e+06 +7.151997886e+06 +7.151788006e+06 +7.151788006e+06 +9.1120e-01 +3.0727e-01 +6.7230e-01 +7.1467e-01 +8.3877e-01 +2.9732e-01 +6.9827e-01 +3.1332e-01 +6.9903e-01 +1.8815e-01 +2.1210e-01 +5.9238e-01 +5.0241e-01 +2.9495e-01 +6.7987e-02 +1.7701e-01 +4.2327e-02 +8.7918e-01 +3.6401e-02 +9.8018e-01
33291 +7.058672572e+06 +7.058672572e+06 +7.058462692e+06 +7.058462692e+06 +1.7107e-01 +9.1726e-01 +2.3582e-01 +9.9517e-01 +6.5884e-02 +2.5086e-01 +2.1913e-01 +6.0806e-01 +1.0540e-02 +7.5785e-01 +7.0806e-01 +6.2035e-01 +9.7839e-01 +3.9528e-02 +3.1796e-02 +4.7026e-02 +4.2327e-02 +8.7918e-01 +3.6401e-02 +9.8018e-01
76170 +6.915758520e+06 +6.915758520e+06 +6.915548640e+06 +6.915548640e+06 +1.8591e-01 +3.6799e-01 +6.4387e-01 +9.1498e-01 +3.4952e-01 +5.9908e-01 +6.2891e-01 +3.3497e-01 +2.0233e-01 +7.0235e-01 +6.6520e-01 +7.4554e-01 +9.2043e-01 +3.9528e-02 +3.1796e-02 +4.7026e-02 +4.2327e-02 +9.8173e-01 +2.3515e-02 +9.9557e-01
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.959149731e+06 +8.959149731e+06 +8.959057641e+06 +8.959057641e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +8.009610352e+06 +8.009610352e+06 +8.009518262e+06 +8.009518262e+06 +5.8312e-01 +3.3011e-01 +7.3482e-01 +2.1676e-01 +8.4221e-01 +2.5369e-01 +1.7145e-02 +1.5127e-01 +4.8858e-01 +8.0923e-01 +9.3972e-01 +7.4396e-01 +6.8800e-01 +8.3139e-01 +1.9036e-01 +2.6904e-01 +2.7107e-01 +6.7668e-01 +5.0517e-01 +4.0655e-01
24 +7.840238423e+06 +7.840238423e+06 +7.840146333e+06 +7.840146333e+06 +7.8703e-01 +4.4477e-01 +5.9099e-01 +5.3811e-01 +3.0772e-01 +6.9171e-01 +3.7095e-01 +6.5248e-01 +8.1234e-01 +7.0071e-01 +2.0457e-01 +5.6123e-01 +1.5120e-01 +6.6503e-01 +8.3579e-01 +5.8740e-01 +7.3962e-01 +9.4558e-01 +1.6310e-01 +1.2086e-01
28 +7.587202529e+06 +7.587202529e+06 +7.587110439e+06 +7.587110439e+06 +4.3225e-01 +6.3301e-01 +8.9915e-01 +6.5232e-02 +4.0299e-01 +6.0960e-01 +8.0729e-01 +8.1392e-01 +1.2076e-02 +3.1967e-01 +4.6962e-01 +2.9229e-01 +1.1502e-02 +1.3719e-01 +5.5082e-01 +9.7866e-01 +1.1942e-01 +7.8707e-02 +8.1528e-01 +5.3249e-02
35 +7.424890122e+06 +7.424890122e+06 +7.424798032e+06 +7.424798032e+06 +6.5851e-01 +6.6791e-02 +7.0699e-01 +8.9302e-01 +4.1244e-04 +8.8008e-01 +2.5948e-01 +2.2173e-01 +7.1103e-02 +7.6763e-01 +6.1754e-01 +7.7301e-01 +4.9175e-01 +8.7264e-01 +4.5957e-01 +6.2211e-01 +2.5147e-01 +5.5059e-01 +9.2158e-01 +3.9131e-01
40 +7.182824028e+06 +7.182824028e+06 +7.182731938e+06 +7.182731938e+06 +9.9893e-01 +6.4073e-02 +7.2443e-01 +6.6209e-01 +9.0810e-01 +1.1337e-01 +9.5030e-01 +3.7434e-01 +1.8143e-01 +6.8799e-01 +3.8798e-02 +3.2292e-01 +5.1456e-01 +7.9359e-02 +4.4440e-01 +9.2209e-01 +1.9079e-01 +7.8549e-01 +9.6309e-01 +4.3991e-01
86 +7.030620904e+06 +7.030620904e+06 +7.030528814e+06 +7.030528814e+06 +1.7059e-01 +1.2102e-01 +6.2278e-01 +1.5827e-01 +9.8403e-01 +5.9984e-01 +7.8715e-01 +1.9675e-01 +9.8966e-01 +9.8357e-01 +8.3732e-01 +4.7107e-02 +4.6966e-01 +5.9394e-01 +7.1433e-01 +1.3406e-01 +8.7323e-02 +3.7206e-01 +8.8657e-01 +1.8066e-01
89 +6.342526241e+06 +6.342526241e+06 +6.342434151e+06 +6.342434151e+06 +8.7091e-01 +8.6527e-01 +4.1508e-01 +8.9714e-01 +9.1866e-01 +2.0152e-01 +4.5269e-01 +1.2378e-02 +2.7897e-01 +9.0150e-01 +5.9386e-01 +4.6533e-01 +1.9651e-02 +2.7655e-01 +9.9459e-01 +5.9770e-01 +3.3707e-01 +9.9609e-01 +7.8590e-01 +5.7220e-02
438 +5.950650184e+06 +5.950650184e+06 +5.950558094e+06 +5.950558094e+06 +5.4195e-01 +7.5019e-01 +4.7850e-01 +6.0364e-01 +9.3585e-01 +3.9397e-01 +6.2580e-01 +6.6462e-01 +4.6984e-01 +8.2940e-01 +9.1177e-01 +8.1564e-01 +1.9959e-01 +8.9272e-01 +9.2502e-01 +7.2239e-01 +4.5703e-02 +9.4517e-01 +9.3000e-01 +6.0138e-02
34033 +5.883862411e+06 +5.883862411e+06 +5.883770321e+06 +5.883770321e+06 +1.0975e-01 +8.3252e-01 +9.5803e-01 +3.3142e-01 +2.9960e-01 +3.5761e-02 +9.8083e-01 +5.7863e-01 +1.9021e-01 +3.5790e-01 +7.2570e-01 +4.5965e-01 +3.3711e-01 +1.1191e-01 +9.6759e-01 +7.2239e-01 +4.5703e-02 +9.4517e-01 +9.6885e-01 +1.1182e-02
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.191113545e+07 +1.191113545e+07 +1.191104756e+07 +1.191104756e+07 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +9.178199693e+06 +9.178199693e+06 +9.178111803e+06 +9.178111803e+06 +5.3915e-01 +2.4954e-01 +6.1277e-01 +2.7405e-01 +6.3135e-01 +1.5245e-01 +5.1961e-01 +1.9754e-01 +2.1572e-01 +2.0191e-01 +6.5359e-01 +3.2991e-01 +2.0323e-01 +4.8182e-01 +8.9617e-01 +5.3901e-01 +6.8247e-01 +7.6566e-01 +9.8920e-01 +6.4161e-01
5 +8.193553983e+06 +8.193553983e+06 +8.193466093e+06 +8.193466093e+06 +6.1459e-01 +1.2767e-02 +4.7859e-01 +2.0604e-01 +1.2094e-01 +5.0322e-01 +6.8756e-01 +7.6170e-01 +6.5940e-01 +1.7113e-01 +9.0629e-01 +1.7974e-01 +7.9088e-01 +8.2127e-01 +5.5257e-01 +3.7822e-01 +7.4039e-01 +1.7602e-01 +3.6530e-01 +8.7948e-01
6 +7.945245777e+06 +7.945245777e+06 +7.945157887e+06 +7.945157887e+06 +4.1727e-02 +9.1200e-01 +8.0620e-01 +9.9380e-01 +2.2148e-01 +7.2295e-01 +7.5464e-01 +9.7679e-01 +9.2819e-01 +6.5759e-01 +5.9296e-01 +8.3537e-02 +1.6040e-02 +7.8066e-01 +8.2100e-02 +2.4846e-01 +2.1276e-01 +9.6382e-01 +2.8397e-01 +6.0482e-01
8 +7.663684438e+06 +7.663684438e+06 +7.663596548e+06 +7.663596548e+06 +8.6733e-02 +6.4675e-01 +7.9872e-01 +8.3406e-01 +8.5411e-01 +2.9950e-01 +5.7849e-01 +6.4826e-02 +1.1156e-02 +2.3224e-01 +2.9793e-02 +2.8811e-01 +7.4615e-01 +6.3949e-01 +6.6033e-01 +9.8649e-02 +5.2225e-01 +4.6539e-01 +6.5921e-01 +9.1242e-01
