(-2035.9719712763995,)
(-2034.9719712763995,)
(-2033.0791812460477,)
(-2035.511134395997,)
(-2035.7269987279365,)
(-2035.1760912590555,)
(-2034.7904849854572,)
(-2034.9719712763995,)
(-2035.0443130979174,)
(-2035.8957604553282,)
(-2037.5337680877105,)
(-2033.0791812460477,)
(-2035.8185137090577,)
(-2034.7624562618569,)
(-2034.9999999999998,)
(-2036.6301879935847,)
(-2035.5740312677276,)
(-2035.311919338094,)
(-2036.841637507905,)
(-2036.9927917514626,)
(-2035.698970004336,)
(-2037.2853350071373,)
(-2035.073786214161,)
(-2034.612949333758,)
(-2037.0566468329907,)
(-2035.7727562184973,)
(-2035.2218487496168,)
(-2034.918884254175,)
(-2035.8121643916606,)
(-2033.9085842975355,)
(-2035.1760912590555,)
(-2034.9719712763995,)
(-2035.8343079762408,)
(-2035.6989700043362,)
(-2035.8185137090575,)
(-2033.9085842975355,)
(-2036.4894549897933,)
(-2036.6040937697617,)
(-2037.086119949235,)
(-2036.6458829821115,)
(-2034.568636235841,)
(-2036.260766815647,)
(-2034.2145192179526,)
(-2037.8240080196013,)
(-2033.4436974992327,)
(-2037.4029442120818,)
(-2034.8343079762408,)
(-2033.4436974992327,)
(-2037.5057393641105,)
(-2035.4948500216801,)
(-2033.8430642615804,)
(-2037.5863650028016,)
(-2034.267606240177,)
(-2034.5228787452804,)
(-2035.8853612200312,)
(-2036.1864904943523,)
(-2035.283890614494,)
(-2035.9105187973125,)
(-2036.1372724716814,)
(-2033.8430642615804,)
(-2036.8343079762406,)
(-2036.4436974992327,)
(-2035.813608784304,)
(-2034.5917600346881,)
(-2035.8873949984652,)
(-2034.6246936830414,)
(-2033.4771212547198,)
(-2034.9626079663021,)
(-2036.267606240177,)
(-2034.1706962271687,)
(-2034.5966649594413,)
(-2033.4771212547198,)
(-2034.7269987279365,)
(-2035.0683911822746,)
(-2034.9768762011531,)
(-2035.1760912590555,)
(-2038.8362424760182,)
(-2034.2907300390243,)
(-2036.204709368446,)
(-2033.9434524456663,)
(-2034.98227123304,)
(-2035.7727562184966,)
(-2037.3187587626246,)
(-2033.9434524456663,)
(-2035.2376430168,)
(-2034.7727562184973,)
(-2034.5740312677278,)
(-2035.908584297535,)
(-2035.3133637307376,)
(-2037.6478174818883,)
(-2034.7427929951198,)
(-2035.6197887582882,)
(-2036.6143937264017,)
(-2034.2204043569727,)
(-2035.1407330037916,)
(-2034.2204043569727,)
(-2036.23418248469,)
(-2037.4751051152537,)
(-2037.4383024673461,)
(-2034.204119982656,)
(-2033.795880017344,)
(-2036.2763801644844,)
(-2034.6812412373756,)
(-2037.2341824846903,)
(-2033.5917600346884,)
(-2035.471726222833,)
(-2034.3556430502213,)
(-2033.5917600346884,)
(-2033.8750612633914,)
(-2035.5844305030241,)
(-2035.0683911822741,)
(-2034.869666231505,)
(-2037.2834005073598,)
(-2035.388985166019,)
(-2034.8185137090577,)
(-2034.5460025441275,)
(-2034.8239087409443,)
(-2034.2218487496166,)
(-2035.3694211779384,)
(-2033.8750612633914,)
(-2035.3119193380942,)
(-2036.8647613067521,)
(-2037.6143937264017,)
(-2035.836242476018,)
(-2034.0280287236,)
(-2035.5214343526366,)
(-2033.8750612633917,)
(-2035.7496324196502,)
(-2034.4259687322726,)
(-2035.4142243829888,)
(-2033.8239087409445,)
(-2033.8239087409445,)
(-2038.633467607349,)
(-2035.0000000000005,)
(-2035.4383024673461,)
(-2036.785089953571,)
(-2036.6478174818885,)
(-2035.4117004974214,)
(-2033.374816209825,)
(-2035.352182518111,)
(-2035.3748162098254,)
(-2034.714764271519,)
(-2036.267606240177,)
(-2033.374816209825,)
(-2036.4333975425925,)
(-2036.3925449767855,)
(-2035.3187587626246,)
(-2035.9543417880961,)
(-2039.7638830155327,)
(-2034.9208187539525,)
(-2035.443697499233,)
(-2036.2498774732167,)
(-2036.9435517243228,)
(-2034.9719712763995,)
(-2036.869666231505,)
(-2034.9208187539525,)
(-2033.3802112417113,)
(-2036.1599061633956,)
(-2033.2164537177298,)
(-2038.1653011952824,)
(-2036.5740312677274,)
(-2034.8676324530713,)
(-2035.665546248849,)
(-2033.879966188145,)
(-2033.3187587626246,)
(-2035.4083392439682,)
(-2034.7113037394097,)
(-2033.2164537177298,)
(-2035.4717262228326,)
(-2036.6955094722264,)
(-2034.4205737003854,)
(-2035.6143937264014,)
(-2034.8224643483006,)
(-2035.387640052032,)
(-2034.3187587626248,)
(-2035.6143937264019,)
(-2033.9208187539523,)
(-2034.364516253185,)
(-2037.3453430935808,)
(-2033.9208187539523,)
(-2035.1426675035684,)
(-2034.311919338094,)
(-2035.762456261857,)
(-2036.096910013008,)
(-2037.012333735074,)
(-2036.0354575339209,)
(-2033.3906104770083,)
(-2036.929184210815,)
(-2035.0791812460477,)
(-2035.5740312677278,)
(-2036.2676062401767,)
(-2033.3906104770083,)
(-2035.1760912590557,)
(-2036.0688812894075,)
(-2036.1687617273917,)
(-2035.7269987279362,)
(-2034.362581753408,)
(-2035.9385475209128,)
(-2036.0846755565913,)
(-2034.3133637307378,)
(-2034.688670047696,)
(-2036.4771212547198,)
(-2036.4259687322724,)
(-2034.3133637307378,)
(-2036.679715205043,)
(-2035.2041199826563,)
(-2034.1760912590555,)
(-2036.6935749724494,)
(-2034.8470325397911,)
(-2035.3173143699807,)
(-2036.2430380486862,)
(-2034.602059991328,)
(-2034.1529674602086,)
(-2036.112704280191,)
(-2033.2833012287035,)
(-2033.2833012287035,)
(-2035.4599818735499,)
(-2035.2602767085132,)
(-2036.186490494352,)
(-2035.2676062401765,)
(-2034.3236636873776,)
(-2035.219914249839,)
(-2034.4417629994557,)
(-2036.2178804714054,)
(-2032.795880017344,)
(-2034.50514997832,)
(-2036.7398225701434,)
(-2032.795880017344,)
(-2035.6370274181154,)
(-2036.795880017344,)
(-2036.795880017344,)
(-2035.4383024673461,)
(-2035.0226336917133,)
(-2035.4259687322724,)
(-2034.539163119597,)
(-2035.181585569599,)
(-2034.7781512503834,)
(-2036.9154237220655,)
(-2037.0335230341434,)
(-2034.539163119597,)
(-2034.5228787452802,)
(-2035.471726222833,)
(-2037.0915149811215,)
(-2035.5671918431974,)
(-2034.9768762011533,)
(-2035.7152543786526,)
(-2035.329058719264,)
(-2036.3521825181115,)
(-2035.1127042801909,)
(-2033.1653011952824,)
(-2035.3699112850718,)
(-2033.1653011952824,)
(-2034.4156687756322,)
(-2035.5111343959966,)
(-2033.7727562184975,)
(-2036.630187993585,)
(-2033.871092985181,)
(-2035.6990692829925,)
(-2035.3119193380942,)
(-2033.4259687322722,)
(-2034.2204043569727,)
(-2035.4894549897936,)
(-2036.3379142832605,)
(-2033.4259687322722,)
(-2036.9892099362266,)
(-2036.3290587192644,)
(-2035.6124592266244,)
(-2036.5894636982202,)
(-2034.9203286468191,)
(-2037.3133637307376,)
(-2034.119543704722,)
(-2035.3625817534078,)
(-2034.4259687322722,)
(-2040.7059087075231,)
(-2035.7269987279365,)
(-2034.119543704722,)
(-2035.943452445666,)
(-2035.2730012720638,)
(-2036.1706962271692,)
(-2038.147572428322,)
(-2034.5174837133932,)
(-2034.6020599913284,)
(-2036.3453430935808,)
(-2033.9188842541753,)
(-2037.7868808611884,)
(-2036.2573062835368,)
(-2034.2390874094438,)
(-2033.9188842541753,)
(-2035.539163119597,)
(-2034.7904849854572,)
(-2035.602059991328,)
(-2035.2218487496164,)
(-2037.0177287669608,)
(-2037.9720705550565,)
(-2034.6178542585112,)
(-2035.4259687322724,)
(-2037.019663266737,)
(-2034.3467874862247,)
(-2035.380211241712,)
(-2034.3467874862247,)
(-2035.1529674602089,)
(-2035.3748162098252,)
(-2035.4717262228328,)
(-2034.0280287236,)
(-2035.211058685843,)
(-2037.711204460753,)
(-2036.5352124803542,)
(-2034.4259687322724,)
(-2035.1480625354557,)
(-2036.0177287669605,)
(-2035.2218487496164,)
(-2034.0280287236,)
(-2034.5740312677274,)
(-2036.8416375079046,)
(-2033.903089986992,)
(-2036.1653011952822,)
(-2037.6143937264019,)
(-2034.5613067041772,)
(-2036.7216036960492,)
(-2035.9488474775528,)
(-2036.6197887582882,)
(-2034.2110586858425,)
(-2036.5686362358408,)
(-2033.903089986992,)
(-2034.964641744736,)
(-2035.2042192613126,)
(-2034.9208187539523,)
(-2035.948847477553,)
(-2035.1407330037914,)
(-2035.8185137090577,)
(-2035.8121643916606,)
(-2037.2232931422602,)
(-2037.5125787886402,)
(-2036.2676062401772,)
(-2033.521434352637,)
(-2033.521434352637,)
(-2035.0177287669603,)
(-2034.6655462488488,)
(-2036.3010299956636,)
